ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1955,1955-09-25,1,24.083,CHI,@,BAL,L 17-23,7,44,6.29,0,1,-3,-3.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
2,1955,1955-10-02,2,24.090,CHI,@,GNB,L 3-24,3,23,7.67,0,1,3,3.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
3,1955,1955-10-09,3,24.097,CHI,,SFO,L 19-20,6,18,3.00,0,0,0,,0,1,2,50.00,23,0,1,52.1,0,0,11.50,-11.00,,,,,0,,,,,
4,1955,1955-10-16,4,24.104,CHI,,BAL,W 38-10,9,94,10.44,2,0,0,,0,0,0,,0,0,,,,,,,,,,,2,,,,,
5,1955,1955-10-23,5,24.111,CHI,@,SFO,W 34-23,17,73,4.29,0,4,20,5.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
6,1955,1955-10-30,6,24.118,CHI,@,RAM,W 31-20,12,46,3.83,0,1,29,29.00,0,1,1,100.00,4,1,0,122.9,0,0,4.00,24.00,,,,,0,,,,,
7,1955,1955-11-06,7,24.125,CHI,,GNB,W 52-31,16,115,7.19,1,0,0,,0,0,0,,0,0,,,,,,,,,,,1,,,,,
8,1955,1955-11-13,8,24.132,CHI,,RAM,W 24-3,14,59,4.21,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,,,,,
9,1955,1955-11-20,9,24.139,CHI,@,DET,W 24-14,13,54,4.15,0,3,36,12.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
10,1955,1955-11-27,10,24.146,CHI,@,CRD,L 14-53,4,-9,-2.25,0,3,41,13.67,0,0,0,,0,0,,,,,,,,,,,0,,,,,
11,1955,1955-12-04,11,24.153,CHI,,DET,W 21-20,17,76,4.47,1,1,0,0.00,0,0,0,,0,0,,,,,,,,,,,1,,,,,
12,1955,1955-12-11,12,24.160,CHI,,PHI,W 17-10,7,79,11.29,0,2,10,5.00,1,0,0,,0,0,,,,,,,,,,,1,,,,,
13,1956,1956-09-30,1,25.088,CHI,@,BAL,L 21-28,9,26,2.89,0,4,23,5.75,0,0,0,,0,0,,,,,,,,,,,0,,,,,
14,1956,1956-10-07,2,25.095,CHI,@,GNB,W 37-21,24,139,5.79,1,3,50,16.67,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,2,,,,,
15,1956,1956-10-14,3,25.102,CHI,,SFO,W 31-7,21,112,5.33,2,1,9,9.00,0,0,0,,0,0,,,,,,,,,,,2,,,,,
16,1956,1956-10-21,4,25.109,CHI,,BAL,W 58-27,22,124,5.64,2,0,0,,0,0,0,,0,0,,,,,,,,,,,2,,,,,
17,1956,1956-10-28,5,25.116,CHI,@,SFO,W 38-21,18,57,3.17,4,3,22,7.33,0,0,0,,0,0,,,,,,,,,,,4,,,,,
18,1956,1956-11-04,6,25.123,CHI,@,RAM,W 35-24,25,132,5.28,0,1,23,23.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
19,1956,1956-11-11,7,25.130,CHI,,GNB,W 38-14,19,67,3.53,0,2,14,7.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,0,,,,,
20,1956,1956-11-18,8,25.137,CHI,,RAM,W 30-21,27,104,3.85,2,3,28,9.33,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,2,,,,,
21,1956,1956-11-25,9,25.144,CHI,@,NYG,T 17-17,13,13,1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,,,,,
22,1956,1956-12-02,10,25.151,CHI,@,DET,L 10-42,14,45,3.21,0,4,13,3.25,1,0,0,,0,0,,,,,,,,,,,1,,,,,
23,1956,1956-12-09,11,25.158,CHI,,CRD,W 10-3,25,117,4.68,0,1,1,1.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
24,1956,1956-12-16,12,25.165,CHI,,DET,W 38-21,17,190,11.18,1,1,20,20.00,0,0,0,,0,0,,,,,,,,,,,1,,,,,
25,1957,1957-09-29,1,26.087,CHI,@,GNB,L 17-21,18,72,4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,,,,,
26,1957,1957-10-05,2,26.093,CHI,@,BAL,L 10-21,12,19,1.58,0,1,18,18.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
27,1957,1957-10-13,3,26.101,CHI,,SFO,L 17-21,17,65,3.82,1,0,0,,0,0,0,,0,0,,,,,,,,,,,1,,,,,
28,1957,1957-10-20,4,26.108,CHI,,RAM,W 34-26,16,61,3.81,0,2,51,25.50,0,0,0,,0,0,,,,,,,,,,,0,,,,,
29,1957,1957-10-27,5,26.115,CHI,@,SFO,L 17-21,14,49,3.50,0,4,28,7.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
30,1957,1957-11-03,6,26.122,CHI,@,RAM,W 16-10,13,40,3.08,0,3,57,19.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
31,1957,1957-11-10,7,26.129,CHI,,GNB,W 21-14,16,70,4.38,2,6,20,3.33,0,0,0,,0,0,,,,,,,,,,,2,,,,,
32,1957,1957-11-17,8,26.136,CHI,,BAL,L 14-29,21,80,3.81,1,2,4,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,1,,,,,
33,1957,1957-11-24,9,26.143,CHI,@,DET,W 27-7,28,116,4.14,2,1,10,10.00,0,0,0,,0,0,,,,,,,,,,,2,,,,,
34,1957,1957-12-01,10,26.150,CHI,,WAS,L 3-14,12,27,2.25,0,2,4,2.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
35,1957,1957-12-08,11,26.157,CHI,@,CRD,W 14-6,24,85,3.54,0,0,0,,0,1,1,100.00,32,0,0,118.7,0,0,32.00,32.00,,,,,0,,,,,
36,1957,1957-12-15,12,26.164,CHI,,DET,L 13-21,13,16,1.23,0,4,33,8.25,0,0,0,,0,0,,,,,,,,,,,0,,,,,
37,1958,1958-09-28,1,27.086,CHI,@,GNB,W 34-20,21,60,2.86,0,1,4,4.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
38,1958,1958-10-04,2,27.092,CHI,@,BAL,L 38-51,9,17,1.89,0,5,40,8.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,0,,,,,
39,1958,1958-10-12,3,27.100,CHI,,SFO,W 28-6,14,74,5.29,0,3,11,3.67,0,1,1,100.00,13,1,0,158.3,0,0,13.00,33.00,,,,,0,,,,,
40,1958,1958-10-19,4,27.107,CHI,,RAM,W 31-10,14,39,2.79,0,3,20,6.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,0,,,,,
41,1958,1958-10-26,5,27.114,CHI,@,SFO,W 27-14,13,18,1.38,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,,,,,
42,1958,1958-11-02,6,27.121,CHI,@,RAM,L 35-41,23,113,4.91,1,1,1,1.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,1,,,,,
43,1958,1958-11-09,7,27.128,CHI,,GNB,W 24-10,15,113,7.53,1,3,55,18.33,0,0,0,,0,0,,,,,,,,,,,1,,,,,
44,1958,1958-11-16,8,27.135,CHI,,BAL,L 0-17,5,10,2.00,0,3,7,2.33,0,0,0,,0,0,,,,,,,,,,,0,,,,,
45,1958,1958-11-23,9,27.142,CHI,@,DET,W 20-7,22,59,2.68,0,2,19,9.50,0,0,0,,0,0,,,,,,,,,,,0,,,,,
46,1958,1958-11-30,10,27.149,CHI,@,PIT,L 10-24,11,38,3.45,0,4,42,10.50,0,0,0,,0,0,,,,,,,,,,,0,,,,,
47,1958,1958-12-07,11,27.156,CHI,,CRD,W 30-14,22,102,4.64,0,3,24,8.00,1,0,0,,0,0,,,,,,,,,,,1,,,,,
48,1958,1958-12-14,12,27.163,CHI,,DET,W 21-16,7,8,1.14,0,4,67,16.75,0,0,0,,0,0,,,,,,,,,,,0,,,,,
49,1959,1959-09-27,1,28.085,CHI,@,GNB,L 6-9,11,29,2.64,0,1,12,12.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
50,1959,1959-10-03,2,28.091,CHI,@,BAL,W 26-21,19,46,2.42,1,2,8,4.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,1,,,,,
51,1959,1959-10-11,3,28.099,CHI,,RAM,L 21-28,7,10,1.43,0,2,35,17.50,0,0,0,,0,0,,,,,,,,,,,0,,,,,
52,1959,1959-10-18,4,28.106,CHI,,BAL,L 7-21,7,13,1.86,0,7,62,8.86,0,0,0,,0,0,,,,,,,,,,,0,,,,,
53,1959,1959-10-25,5,28.113,CHI,@,SFO,L 17-20,10,43,4.30,0,2,18,9.00,0,0,0,,0,0,,,,,,,,,,,0,,,,,
54,1959,1959-11-01,6,28.120,CHI,@,RAM,W 26-21,18,67,3.72,1,3,69,23.00,1,0,0,,0,0,,,,,,,,,,,2,,,,,
55,1959,1959-11-08,7,28.127,CHI,,GNB,W 28-17,15,48,3.20,1,2,18,9.00,0,0,0,,0,0,,,,,,,,,,,1,,,,,
56,1959,1959-11-15,8,28.134,CHI,,SFO,W 14-3,21,90,4.29,1,2,9,4.50,0,0,0,,0,0,,,,,,,,,,,1,,,,,
