ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1959,1959-10-18,4,22.100,GNB,,RAM,L 6-45,1,16,16.00,0,0,0,,0,,,,,,,,,0,,,,
2,1959,1959-11-22,9,22.135,GNB,,WAS,W 21-0,1,9,9.00,0,0,0,,0,,,,,,,,,0,,,,
3,1959,1959-12-06,11,22.149,GNB,@,RAM,W 38-20,1,9,9.00,0,1,-2,-2.00,0,,,,,,,,,0,,,,
4,1959,1959-12-13,12,22.156,GNB,@,SFO,W 36-14,4,15,3.75,0,0,0,,0,,,,,,,,,0,,,,
5,1960,1960-09-24,1,23.076,DAL,,PIT,L 28-35,0,0,,0,0,0,,0,3,105,35.00,0,1,5,5.00,0,0,0,0,0,0
6,1960,1960-09-30,2,23.082,DAL,,PHI,L 25-27,0,0,,0,0,0,,0,2,29,14.50,0,1,13,13.00,0,0,0,0,0,0
7,1960,1960-10-09,3,23.091,DAL,@,WAS,L 14-26,0,0,,0,0,0,,0,3,44,14.67,0,1,0,0.00,0,0,0,1,0,0
8,1960,1960-10-16,4,23.098,DAL,,CLE,L 7-48,0,0,,0,0,0,,0,4,42,10.50,0,2,58,29.00,0,0,0,0,0,0
9,1960,1960-10-23,5,23.105,DAL,@,STL,L 10-12,0,0,,0,0,0,,0,0,0,,0,2,28,14.00,0,0,0,0,0,0
10,1960,1960-10-30,6,23.112,DAL,,BAL,L 7-45,0,0,,0,0,0,,0,2,18,9.00,0,1,8,8.00,0,0,0,0,0,0
11,1960,1960-11-06,7,23.119,DAL,,RAM,L 13-38,0,0,,0,0,0,,0,1,11,11.00,0,1,0,0.00,0,0,0,0,0,0
12,1960,1960-11-13,8,23.126,DAL,@,GNB,L 7-41,0,0,,0,0,0,,0,2,46,23.00,0,1,8,8.00,0,0,0,0,0,0
13,1960,1960-11-20,9,23.133,DAL,,SFO,L 14-26,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,0
14,1960,1960-11-27,10,23.140,DAL,@,CHI,L 7-17,0,0,,0,0,0,,0,1,18,18.00,0,1,0,0.00,0,0,0,0,0,0
