ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1964,1964-10-18,6,24.185,SDG,,DEN,W 42-14,9,57,6.33,0,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0
2,1964,1964-11-01,8,24.199,SDG,,OAK,W 31-17,7,29,4.14,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
3,1964,1964-11-08,9,24.206,SDG,@,DEN,W 31-20,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
4,1964,1964-12-13,13,24.241,SDG,,KAN,L 6-49,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
5,1964,1964-12-20,14,24.248,SDG,@,OAK,L 20-21,4,15,3.75,0,2,3,1.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
6,1965,1965-11-21,10,25.219,HOU,@,NYJ,L 14-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0
7,1965,1965-12-12,13,25.240,HOU,,SDG,L 26-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,3,3.00,0
