ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2015,2015-09-13,1,23.033,CLE,@,NYJ,L 10-31,,2,2,14,7.00,0,100.0%,7.00,0,0,,0
2,2015,2015-09-20,2,23.040,CLE,,TEN,W 28-14,,1,0,0,,0,0.0%,0.00,0,0,,0
3,2015,2015-09-27,3,23.047,CLE,,OAK,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0
4,2015,2015-10-04,4,23.054,CLE,@,SDG,L 27-30,,0,0,0,,0,0.0%,,0,0,,0
5,2015,2015-10-11,5,23.061,CLE,@,BAL,W 33-30,,0,0,0,,0,0.0%,,0,0,,0
6,2015,2015-10-18,6,23.068,CLE,,DEN,L 23-26,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0
7,2015,2015-10-25,7,23.075,CLE,@,STL,L 6-24,,0,0,0,,0,0.0%,,0,0,,0
8,2015,2015-11-01,8,23.082,CLE,,ARI,L 20-34,*,0,0,0,,0,0.0%,,0,0,,0
9,2015,2015-11-05,9,23.086,CLE,@,CIN,L 10-31,*,0,0,0,,0,0.0%,,0,0,,0
10,2015,2015-11-15,10,23.096,CLE,@,PIT,L 9-30,*,0,0,0,,0,0.0%,,0,0,,0
11,2015,2015-11-30,11,23.111,CLE,,BAL,L 27-33,,1,1,1,1.00,0,100.0%,1.00,0,0,,0
12,2015,2015-12-06,12,23.117,CLE,,CIN,L 3-37,,1,0,0,,0,0.0%,0.00,0,0,,0
13,2016,2016-09-11,1,24.031,CLE,@,PHI,L 10-29,*,2,2,9,4.50,0,100.0%,4.50,0,0,,0
14,2016,2016-09-18,2,24.038,CLE,,BAL,L 20-25,,0,0,0,,0,0.0%,,0,0,,0
15,2016,2016-09-25,3,24.045,CLE,@,MIA,L 24-30,,1,1,3,3.00,0,100.0%,3.00,0,0,,0
16,2016,2016-10-02,4,24.052,CLE,@,WAS,L 20-31,,1,1,11,11.00,0,100.0%,11.00,1,2,2.00,0
17,2016,2016-10-09,5,24.059,CLE,,NWE,L 13-33,,1,0,0,,0,0.0%,0.00,0,0,,0
18,2016,2016-10-16,6,24.066,CLE,@,TEN,L 26-28,,0,0,0,,0,0.0%,,0,0,,0
19,2016,2016-10-23,7,24.073,CLE,@,CIN,L 17-31,,2,1,21,21.00,0,50.0%,10.50,0,0,,0
