ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.097,WAS,,HOU,L 27-29,,,,,,,,
2,1979,1979-09-09,2,22.104,WAS,@,DET,W 27-24,,,,,,,,
3,1979,1979-09-17,3,22.112,WAS,,NYG,W 27-0,,,,,,,,
4,1979,1979-09-23,4,22.118,WAS,@,STL,W 17-7,,,,,,,,
5,1979,1979-09-30,5,22.125,WAS,@,ATL,W 16-7,,,,,,,,
6,1979,1979-10-07,6,22.132,WAS,@,PHI,L 17-28,,,,,,,,
7,1979,1979-10-14,7,22.139,WAS,@,CLE,W 13-9,,,,,,,,
8,1979,1979-11-04,10,22.160,WAS,@,PIT,L 7-38,,,,,,,,
9,1979,1979-11-11,11,22.167,WAS,,STL,W 30-28,,,,,,,,
10,1979,1979-11-18,12,22.174,WAS,,DAL,W 34-20,,,,,,,,
11,1979,1979-11-25,13,22.181,WAS,@,NYG,L 6-14,,,,,,,,
12,1979,1979-12-02,14,22.188,WAS,,GNB,W 38-21,,,,,,,,
13,1979,1979-12-09,15,22.195,WAS,,CIN,W 28-14,,,,,,,,
14,1979,1979-12-16,16,22.202,WAS,@,DAL,L 34-35,,,,,,,,
15,1980,1980-09-08,1,23.103,WAS,,DAL,L 3-17,,,,,,,,
16,1980,1980-09-14,2,23.109,WAS,@,NYG,W 23-21,,,,,,,,
17,1980,1980-09-21,3,23.116,WAS,@,OAK,L 21-24,,,,,,,,
18,1980,1980-09-28,4,23.123,WAS,,SEA,L 0-14,,,,,,,,
19,1980,1980-10-05,5,23.130,WAS,@,PHI,L 14-24,,,,,,,,
20,1980,1980-10-13,6,23.138,WAS,@,DEN,L 17-20,,,,,,,,
21,1980,1980-10-19,7,23.144,WAS,,STL,W 23-0,,,,,,,,
22,1980,1980-10-26,8,23.151,WAS,,NOR,W 22-14,0,0,,0,0.0,2,2,0
23,1980,1980-11-02,9,23.158,WAS,,MIN,L 14-39,,,,,,,,
24,1980,1980-11-09,10,23.165,WAS,@,CHI,L 21-35,0,0,,0,0.0,1,-10,0
25,1980,1980-11-16,11,23.172,WAS,,PHI,L 0-24,,,,,,,,
26,1980,1980-11-23,12,23.179,WAS,@,DAL,L 10-14,,,,,,,,
27,1980,1980-11-30,13,23.186,WAS,@,ATL,L 6-10,,,,,,,,
28,1980,1980-12-07,14,23.193,WAS,,SDG,W 40-17,,,,,,,,
29,1980,1980-12-13,15,23.199,WAS,,NYG,W 16-13,0,0,,0,0.0,1,0,0
30,1980,1980-12-21,16,23.207,WAS,@,STL,W 31-7,,,,,,,,
31,1981,1981-09-06,1,24.101,WAS,,DAL,L 10-26,,,,,,,,
32,1981,1981-09-20,3,24.115,WAS,@,STL,L 30-40,,,,,,,,
33,1981,1981-09-27,4,24.122,WAS,@,PHI,L 13-36,,,,,,,,
34,1981,1981-10-04,5,24.129,WAS,,SFO,L 17-30,,,,,,,,
35,1981,1981-10-11,6,24.136,WAS,@,CHI,W 24-7,,,,,,,,
36,1981,1981-10-18,7,24.143,WAS,@,MIA,L 10-13,,,,,,,,
37,1981,1981-11-22,12,24.178,WAS,@,DAL,L 10-24,,,,,,,,
38,1981,1981-11-29,13,24.185,WAS,@,BUF,L 14-21,,,,,,,,
39,1981,1981-12-06,14,24.192,WAS,,PHI,W 15-13,,,,,,,,
40,1981,1981-12-13,15,24.199,WAS,,BAL,W 38-14,,,,,,,,
41,1981,1981-12-20,16,24.206,WAS,@,RAM,W 30-7,,,,,,,,
42,1982,1982-09-12,1,25.107,WAS,@,PHI,W 37-34,,,,,,,,
43,1982,1982-09-19,2,25.114,WAS,@,TAM,W 21-13,,,,,,,,
44,1982,1982-11-21,3,25.177,WAS,@,NYG,W 27-17,,,,,,,,
45,1982,1982-11-28,4,25.184,WAS,,PHI,W 13-9,,,,,,,,
46,1982,1982-12-05,5,25.191,WAS,,DAL,L 10-24,,,,,,,,
47,1982,1982-12-12,6,25.198,WAS,@,STL,W 12-7,,,,,,,,
48,1982,1982-12-19,7,25.205,WAS,,NYG,W 15-14,0,0,,0,3.0,0,0,0
49,1982,1982-12-26,8,25.212,WAS,@,NOR,W 27-10,,,,,,,,
50,1982,1983-01-02,9,25.219,WAS,,STL,W 28-0,,,,,,,,
51,1983,1983-09-05,1,26.100,WAS,,DAL,L 30-31,,,,,,,,
52,1983,1983-09-11,2,26.106,WAS,@,PHI,W 23-13,,,,,,,,
53,1983,1983-09-18,3,26.113,WAS,,KAN,W 27-12,0,0,,0,1.0,0,0,0
54,1983,1983-09-25,4,26.120,WAS,@,SEA,W 27-17,,,,,,,,
55,1983,1983-10-02,5,26.127,WAS,,RAI,W 37-35,,,,,,,,
56,1983,1983-10-09,6,26.134,WAS,@,STL,W 38-14,,,,,,,,
57,1983,1983-10-17,7,26.142,WAS,@,GNB,L 47-48,,,,,,,,
58,1983,1983-10-23,8,26.148,WAS,,DET,W 38-17,,,,,,,,
59,1983,1983-10-31,9,26.156,WAS,@,SDG,W 27-24,,,,,,,,
60,1983,1983-11-06,10,26.162,WAS,,STL,W 45-7,0,0,,0,0.5,0,0,0
61,1983,1983-11-13,11,26.169,WAS,@,NYG,W 33-17,,,,,,,,
62,1983,1983-11-20,12,26.176,WAS,@,RAM,W 42-20,0,0,,0,0.0,2,20,0
63,1983,1983-11-27,13,26.183,WAS,,PHI,W 28-24,,,,,,,,
64,1983,1983-12-04,14,26.190,WAS,,ATL,W 37-21,,,,,,,,
65,1983,1983-12-11,15,26.197,WAS,@,DAL,W 31-10,,,,,,,,
66,1983,1983-12-17,16,26.203,WAS,,NYG,W 31-22,,,,,,,,
67,1984,1984-09-02,1,27.097,WAS,,MIA,L 17-35,,,,,,,,
68,1984,1984-09-10,2,27.105,WAS,@,SFO,L 31-37,,,,,,,,
69,1984,1984-09-16,3,27.111,WAS,,NYG,W 30-14,,,,,,,,
70,1984,1984-09-23,4,27.118,WAS,@,NWE,W 26-10,,,,,,,,
71,1984,1984-10-14,7,27.139,WAS,,DAL,W 34-14,0,0,,0,0.0,2,15,0
72,1984,1984-10-21,8,27.146,WAS,@,STL,L 24-26,0,0,,0,1.0,0,0,0
73,1984,1984-10-28,9,27.153,WAS,@,NYG,L 13-37,,,,,,,,
74,1984,1984-11-05,10,27.161,WAS,,ATL,W 27-14,,,,,,,,
75,1984,1984-11-11,11,27.167,WAS,,DET,W 28-14,,,,,,,,
76,1984,1984-11-18,12,27.174,WAS,@,PHI,L 10-16,,,,,,,,
77,1984,1984-11-25,13,27.181,WAS,,BUF,W 41-14,0,0,,0,2.0,0,0,0
78,1984,1984-11-29,14,27.185,WAS,@,MIN,W 31-17,0,0,,0,0.0,1,27,0
79,1984,1984-12-09,15,27.195,WAS,@,DAL,W 30-28,0,0,,0,1.0,0,0,0
80,1984,1984-12-16,16,27.202,WAS,,STL,W 29-27,,,,,,,,
81,1985,1985-09-09,1,28.104,WAS,@,DAL,L 14-44,,,,,,,,
82,1985,1985-09-15,2,28.110,WAS,,HOU,W 16-13,,,,,,,,
83,1985,1985-09-22,3,28.117,WAS,,PHI,L 6-19,,,,,,,,
84,1985,1985-09-29,4,28.124,WAS,@,CHI,L 10-45,,,,,,,,
85,1985,1985-10-07,5,28.132,WAS,,STL,W 27-10,0,0,,0,0.0,1,11,0
86,1985,1985-10-13,6,28.138,WAS,,DET,W 24-3,0,0,,0,1.0,0,0,0
87,1985,1985-10-20,7,28.145,WAS,@,NYG,L 3-17,,,,,,,,
88,1985,1985-10-27,8,28.152,WAS,@,CLE,W 14-7,,,,,,,,
89,1985,1985-11-03,9,28.159,WAS,@,ATL,W 44-10,0,0,,0,1.0,0,0,0
90,1985,1985-11-10,10,28.166,WAS,,DAL,L 7-13,,,,,,,,
91,1985,1985-11-18,11,28.174,WAS,,NYG,W 23-21,,,,,,,,
92,1985,1985-11-24,12,28.180,WAS,@,PIT,W 30-23,0,0,,0,0.0,1,22,0
93,1985,1985-12-01,13,28.187,WAS,,SFO,L 8-35,,,,,,,,
94,1985,1985-12-08,14,28.194,WAS,@,PHI,W 17-12,,,,,,,,
95,1985,1985-12-15,15,28.201,WAS,,CIN,W 27-24,0,0,,0,1.0,0,0,0
96,1985,1985-12-21,16,28.207,WAS,@,STL,W 27-16,,,,,,,,
97,1986,1986-09-07,1,29.102,WAS,,PHI,W 41-14,1,3,3.00,0,0.0,0,0,0
98,1986,1986-09-14,2,29.109,WAS,,RAI,W 10-6,0,0,,0,,,,
99,1986,1986-09-21,3,29.116,WAS,@,SDG,W 30-27,0,0,,0,,,,
100,1986,1986-09-28,4,29.123,WAS,,SEA,W 19-14,0,0,,0,0.0,1,31,0
101,1986,1986-10-05,5,29.130,WAS,@,NOR,W 14-6,0,0,,0,,,,
102,1986,1986-10-12,6,29.137,WAS,@,DAL,L 6-30,0,0,,0,,,,
103,1986,1986-10-19,7,29.144,WAS,,STL,W 28-21,0,0,,0,0.5,0,0,0
104,1986,1986-10-27,8,29.152,WAS,@,NYG,L 20-27,0,0,,0,,,,
105,1986,1986-11-02,9,29.158,WAS,,MIN,W 44-38,0,0,,0,,,,
106,1986,1986-11-09,10,29.165,WAS,@,GNB,W 16-7,0,0,,0,,,,
107,1986,1986-11-17,11,29.173,WAS,,SFO,W 14-6,0,0,,0,,,,
108,1986,1986-11-23,12,29.179,WAS,,DAL,W 41-14,0,0,,0,,,,
109,1986,1986-11-30,13,29.186,WAS,@,STL,W 20-17,0,0,,0,,,,
110,1986,1986-12-07,14,29.193,WAS,,NYG,L 14-24,0,0,,0,0.0,1,2,0
111,1986,1986-12-13,15,29.199,WAS,@,DEN,L 30-31,0,0,,0,,,,
112,1986,1986-12-21,16,29.207,WAS,@,PHI,W 21-14,0,0,,0,1.5,0,0,0
113,1987,1987-09-13,1,30.108,WAS,,PHI,W 34-24,,,,,,,,
114,1987,1987-10-25,6,30.150,WAS,,NYJ,W 17-16,,,,,,,,
115,1987,1987-11-01,7,30.157,WAS,@,BUF,W 27-7,0,0,,0,1.0,0,0,0
116,1987,1987-11-23,10,30.179,WAS,,RAM,L 26-30,,,,,,,,
117,1987,1987-11-29,11,30.185,WAS,,NYG,W 23-19,,,,,,,,
118,1987,1987-12-06,12,30.192,WAS,@,STL,W 34-17,,,,,,,,
119,1987,1987-12-13,13,30.199,WAS,,DAL,W 24-20,,,,,,,,
120,1987,1987-12-20,14,30.206,WAS,@,MIA,L 21-23,,,,,,,,
121,1987,1987-12-26,15,30.212,WAS,@,MIN,W 27-24,,,,,,,,
