ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2001,2001-09-09,1,23.048,CIN,,NWE,W 23-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,131,32.75,0
2,2001,2001-09-23,2,23.062,CIN,,BAL,W 21-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,304,43.43,0
3,2001,2001-09-30,3,23.069,CIN,@,SDG,L 14-28,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,235,39.17,0
4,2001,2001-10-07,4,23.076,CIN,@,PIT,L 7-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,272,38.86,0
5,2001,2001-10-14,5,23.083,CIN,,CLE,W 24-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,157,39.25,0
6,2001,2001-10-21,6,23.090,CIN,,CHI,L 0-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,287,41.00,0
7,2001,2001-10-28,7,23.097,CIN,@,DET,W 31-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,137,45.67,0
8,2001,2001-11-11,8,23.111,CIN,@,JAX,L 13-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,327,46.71,0
9,2001,2001-11-18,9,23.118,CIN,,TEN,L 7-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,201,40.20,0
10,2001,2001-11-25,10,23.125,CIN,@,CLE,L 0-18,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,220,44.00,0
11,2001,2001-12-02,11,23.132,CIN,,TAM,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,192,38.40,1
12,2001,2001-12-09,12,23.139,CIN,,JAX,L 10-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,213,35.50,0
13,2001,2001-12-16,13,23.146,CIN,@,NYJ,L 14-15,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,152,38.00,0
14,2001,2001-12-23,14,23.153,CIN,@,BAL,L 0-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,325,40.63,0
15,2001,2001-12-30,15,23.160,CIN,,PIT,W 26-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,80,40.00,0
16,2001,2002-01-06,16,23.167,CIN,@,TEN,W 23-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,139,34.75,0
17,2002,2002-09-08,1,24.047,CIN,,SDG,L 6-34,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,221,44.20,0
18,2002,2002-09-15,2,24.054,CIN,@,CLE,L 7-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,140,35.00,0
19,2002,2002-09-22,3,24.061,CIN,@,ATL,L 3-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,189,37.80,0
20,2002,2002-09-29,4,24.068,CIN,,TAM,L 7-35,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,9,393,43.67,0
21,2002,2002-10-06,5,24.075,CIN,@,IND,L 21-28,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,222,44.40,0
22,2002,2002-10-13,6,24.082,CIN,,PIT,L 7-34,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,104,34.67,0
23,2002,2002-10-27,7,24.096,CIN,,TEN,L 24-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,177,44.25,0
24,2002,2002-11-03,8,24.103,CIN,@,HOU,W 38-3,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,130,43.33,0
25,2002,2002-11-10,9,24.110,CIN,@,BAL,L 27-38,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,200,50.00,0
26,2002,2002-11-17,10,24.117,CIN,,CLE,L 20-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,138,34.50,0
27,2002,2002-11-24,11,24.124,CIN,@,PIT,L 21-29,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,179,44.75,0
28,2002,2002-12-01,12,24.131,CIN,,BAL,L 23-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,91,30.33,1
29,2002,2002-12-15,14,24.145,CIN,,JAX,L 15-29,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,82,41.00,0
30,2002,2002-12-22,15,24.152,CIN,,NOR,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,220,36.67,0
31,2002,2002-12-29,16,24.159,CIN,@,BUF,L 9-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,122,30.50,0
32,2003,2003-09-07,1,25.046,CIN,,DEN,L 10-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,161,40.25,0
33,2003,2003-09-14,2,25.053,CIN,@,OAK,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,231,38.50,0
34,2003,2003-09-21,3,25.060,CIN,,PIT,L 10-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,243,40.50,0
35,2003,2003-09-28,4,25.067,CIN,@,CLE,W 21-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,252,42.00,0
36,2003,2003-10-05,5,25.074,CIN,@,BUF,L 16-22,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,197,32.83,0
37,2003,2003-10-19,6,25.088,DET,,DAL,L 7-38,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,266,38.00,0
38,2003,2003-10-26,7,25.095,DET,@,CHI,L 16-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,308,44.00,0
39,2003,2003-11-02,8,25.102,DET,,OAK,W 23-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,169,42.25,0
40,2003,2003-11-09,9,25.109,DET,,CHI,W 12-10,,0,0,,0,0,1,0.00,0,0,0,39.6,,,0.00,0.00,0.0,,,6,230,38.33,0
41,2003,2003-11-16,10,25.116,DET,@,SEA,L 14-35,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,221,36.83,0
42,2003,2003-11-23,11,25.123,DET,@,MIN,L 14-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,245,40.83,0
43,2003,2003-11-27,12,25.127,DET,,GNB,W 22-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,217,36.17,0
44,2003,2003-12-07,13,25.137,DET,,SDG,L 7-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,9,387,43.00,0
45,2003,2003-12-14,14,25.144,DET,@,KAN,L 17-45,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,82,41.00,0
46,2003,2003-12-21,15,25.151,DET,@,CAR,L 14-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,333,41.63,0
47,2003,2003-12-28,16,25.158,DET,,STL,W 30-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,73,36.50,1
48,2004,2004-09-12,1,26.051,DET,@,CHI,W 20-16,,1,-7,-7.00,0,0,0,,0,0,0,,,,,,0.0,,,8,307,38.38,0
49,2004,2004-09-19,2,26.058,DET,,HOU,W 28-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,144,48.00,0
50,2004,2004-09-26,3,26.065,DET,,PHI,L 13-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,341,48.71,0
51,2004,2004-10-10,4,26.079,DET,@,ATL,W 17-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,308,44.00,0
52,2004,2004-10-17,5,26.086,DET,,GNB,L 10-38,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,298,42.57,0
53,2004,2004-10-24,6,26.093,DET,@,NYG,W 28-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,145,36.25,0
54,2004,2004-10-31,7,26.100,DET,@,DAL,L 21-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,201,40.20,0
55,2004,2004-11-07,8,26.107,DET,,WAS,L 10-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,9,347,38.56,1
56,2004,2004-11-14,9,26.114,DET,@,JAX,L 17-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,265,44.17,0
57,2004,2004-11-21,10,26.121,DET,@,MIN,L 19-22,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,249,41.50,0
58,2004,2004-11-25,11,26.125,DET,,IND,L 9-41,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,123,41.00,0
59,2004,2004-12-05,12,26.135,DET,,ARI,W 26-12,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,193,38.60,0
60,2004,2004-12-12,13,26.142,DET,@,GNB,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,245,30.63,0
61,2004,2004-12-19,14,26.149,DET,,MIN,L 27-28,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,135,45.00,0
62,2004,2004-12-26,15,26.156,DET,,CHI,W 19-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,249,41.50,0
63,2004,2005-01-02,16,26.163,DET,@,TEN,L 19-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,215,43.00,0
64,2005,2005-09-11,1,27.050,DET,,GNB,W 17-3,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,293,41.86,0
65,2005,2005-09-18,2,27.057,DET,@,CHI,L 6-38,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,173,43.25,0
66,2005,2005-10-02,3,27.071,DET,@,TAM,L 13-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,257,42.83,0
67,2005,2005-10-09,4,27.078,DET,,BAL,W 35-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,185,46.25,0
68,2005,2005-10-16,5,27.085,DET,,CAR,L 20-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,213,42.60,0
69,2005,2005-10-23,6,27.092,DET,@,CLE,W 13-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,193,38.60,0
70,2005,2005-10-30,7,27.099,DET,,CHI,L 13-19,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,298,42.57,0
71,2005,2005-11-06,8,27.106,DET,@,MIN,L 14-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,263,52.60,0
72,2005,2005-11-13,9,27.113,DET,,ARI,W 29-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,262,43.67,0
73,2005,2005-11-20,10,27.120,DET,@,DAL,L 7-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,198,39.60,0
74,2005,2005-11-24,11,27.124,DET,,ATL,L 7-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,190,47.50,0
75,2005,2005-12-04,12,27.134,DET,,MIN,L 16-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,235,47.00,0
76,2005,2005-12-11,13,27.141,DET,@,GNB,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,244,40.67,0
77,2005,2005-12-18,14,27.148,DET,,CIN,L 17-41,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,138,46.00,0
78,2005,2005-12-24,15,27.154,DET,@,NOR,W 13-12,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,279,46.50,0
79,2005,2006-01-01,16,27.162,DET,@,PIT,L 21-35,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,235,39.17,0
80,2006,2006-09-10,1,28.049,DET,,SEA,L 6-9,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,258,43.00,0
81,2006,2006-09-17,2,28.056,DET,@,CHI,L 7-34,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,258,43.00,0
82,2006,2006-09-24,3,28.063,DET,,GNB,L 24-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,214,42.80,0
83,2006,2006-10-01,4,28.070,DET,@,STL,L 34-41,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,126,42.00,0
84,2006,2006-10-08,5,28.077,DET,@,MIN,L 17-26,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,296,49.33,0
85,2006,2006-10-15,6,28.084,DET,,BUF,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,221,44.20,0
86,2006,2006-10-22,7,28.091,DET,@,NYJ,L 24-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,107,53.50,0
87,2006,2006-11-05,8,28.105,DET,,ATL,W 30-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,83,41.50,0
88,2006,2006-11-12,9,28.112,DET,,SFO,L 13-19,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,121,40.33,0
89,2006,2006-11-19,10,28.119,DET,@,ARI,L 10-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,220,44.00,0
90,2006,2006-11-23,11,28.123,DET,,MIA,L 10-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,263,43.83,0
91,2006,2006-12-03,12,28.133,DET,@,NWE,L 21-28,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,1,44,44.00,0
92,2006,2006-12-10,13,28.140,DET,,MIN,L 20-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,1,42,42.00,0
93,2006,2006-12-17,14,28.147,DET,@,GNB,L 9-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,240,48.00,0
94,2006,2006-12-24,15,28.154,DET,,CHI,L 21-26,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,335,47.86,0
95,2006,2006-12-31,16,28.161,DET,@,DAL,W 39-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,139,46.33,0
96,2007,2007-09-09,1,29.048,DET,@,OAK,W 36-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,132,44.00,0
97,2007,2007-09-16,2,29.055,DET,,MIN,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,117,39.00,0
