ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,23.047,GNB,,PHI,W 16-13,,,,,,,,,,,,,
2,2007,2007-09-16,2,23.054,GNB,@,NYG,W 35-13,,,,,,,,,,,,,
3,2007,2007-10-29,7,23.097,GNB,@,DEN,W 19-13,,,,,,,,,,,,,
4,2007,2007-11-18,10,23.117,GNB,,CAR,W 31-17,,,,,,,,,,,,,
5,2007,2007-11-22,11,23.121,GNB,@,DET,W 37-26,,,,,,,,,,,,,
6,2007,2007-11-29,12,23.128,GNB,@,DAL,L 27-37,,,,,,,,,,,,,
7,2007,2007-12-09,13,23.138,GNB,,OAK,W 38-7,,,,,,,,,,,,,
8,2007,2007-12-16,14,23.145,GNB,@,STL,W 33-14,,,,,,,,,,,,,
9,2007,2007-12-23,15,23.152,GNB,@,CHI,L 7-35,,,,,,,,,,,,,
10,2007,2007-12-30,16,23.159,GNB,,DET,W 34-13,,,,,,,,,,,,,
11,2008,2008-09-08,1,24.046,GNB,,MIN,W 24-19,,,,,,,,,,,,,
12,2008,2008-09-14,2,24.052,GNB,@,DET,W 48-25,,0,0,,0,0,0,0.0,0,0,0,0,0
13,2008,2008-09-21,3,24.059,GNB,,DAL,L 16-27,,,,,,,,,,,,,
14,2008,2008-09-28,4,24.066,GNB,@,TAM,L 21-30,,0,0,,0,0,0,0.0,2,0,0,0,0
15,2008,2008-10-05,5,24.073,GNB,,ATL,L 24-27,,,,,,,,,,,,,
16,2008,2008-10-12,6,24.080,GNB,@,SEA,W 27-17,,0,0,,0,0,0,0.0,0,0,0,0,0
17,2008,2008-10-19,7,24.087,GNB,,IND,W 34-14,,0,0,,0,0,0,0.0,0,0,0,0,0
18,2008,2008-11-09,9,24.108,GNB,@,MIN,L 27-28,,0,0,,0,0,0,0.0,6,1,0,0,0
19,2008,2008-11-16,10,24.115,GNB,,CHI,W 37-3,,0,0,,0,0,0,0.0,0,1,0,0,0
20,2008,2008-11-24,11,24.123,GNB,@,NOR,L 29-51,,,,,,,,,,,,,
21,2008,2008-11-30,12,24.129,GNB,,CAR,L 31-35,,0,0,,0,0,0,0.0,1,0,0,0,0
22,2008,2008-12-07,13,24.136,GNB,,HOU,L 21-24,*,0,0,,0,0,0,1.0,8,3,0,0,0
23,2008,2008-12-14,14,24.143,GNB,@,JAX,L 16-20,,0,0,,0,0,0,0.0,0,0,0,0,0
24,2008,2008-12-22,15,24.151,GNB,@,CHI,L 17-20,,0,0,,0,0,0,0.0,0,0,0,0,0
25,2008,2008-12-28,16,24.157,GNB,,DET,W 31-21,,0,0,,0,0,0,0.0,0,0,0,0,0
26,2009,2009-09-13,1,25.051,GNB,,CHI,W 21-15,,0,0,,0,0,0,0.0,0,1,0,0,0
27,2009,2009-09-20,2,25.058,GNB,,CIN,L 24-31,,,,,,,,,,,,,
28,2009,2009-09-27,3,25.065,GNB,@,STL,W 36-17,,0,0,,0,0,0,0.0,2,0,0,0,0
29,2009,2009-10-05,4,25.073,GNB,@,MIN,L 23-30,,,,,,,,,,,,,
30,2009,2009-10-18,5,25.086,GNB,,DET,W 26-0,,0,0,,0,0,0,0.0,0,0,0,0,0
31,2009,2009-10-25,6,25.093,GNB,@,CLE,W 31-3,,0,0,,0,0,0,0.0,0,1,0,0,0
32,2009,2009-11-01,7,25.100,GNB,,MIN,L 26-38,,0,0,,0,0,0,0.0,2,1,0,0,0
33,2009,2009-11-08,8,25.107,GNB,@,TAM,L 28-38,,0,0,,0,0,0,0.0,1,0,0,0,0
34,2009,2009-11-15,9,25.114,GNB,,DAL,W 17-7,,0,0,,0,0,0,0.0,0,2,0,0,0
35,2009,2009-11-22,10,25.121,GNB,,SFO,W 30-24,,0,0,,0,0,0,0.0,0,0,0,0,0
36,2009,2009-11-26,11,25.125,GNB,@,DET,W 34-12,,0,0,,0,0,0,0.0,0,0,0,0,0
37,2009,2009-12-07,12,25.136,GNB,,BAL,W 27-14,,0,0,,0,0,0,0.0,0,0,0,0,0
38,2009,2009-12-13,13,25.142,GNB,@,CHI,W 21-14,,0,0,,0,0,0,0.0,1,2,0,0,0
39,2009,2009-12-20,14,25.149,GNB,@,PIT,L 36-37,,1,6,6.00,0,0,0,0.0,1,0,0,0,0
40,2009,2009-12-27,15,25.156,GNB,,SEA,W 48-10,,0,0,,0,0,0,0.0,1,2,0,0,0
41,2009,2010-01-03,16,25.163,GNB,@,ARI,W 33-7,,0,0,,0,0,0,0.0,2,2,0,0,0
42,2010,2010-09-12,1,26.050,GNB,@,PHI,W 27-20,,,,,,,,,,,,,
43,2010,2010-09-27,3,26.065,GNB,@,CHI,L 17-20,,0,0,,0,0,0,0.0,0,0,0,0,0
44,2010,2010-10-03,4,26.071,GNB,,DET,W 28-26,,0,0,,0,0,0,0.0,1,0,0,0,0
