ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1978,1978-09-03,1,22.171,CLE,,SFO,W 24-7,1,6,6.00,0,1,33,33.00,1,1,8,8.00,0,1,6
2,1978,1978-09-10,2,22.178,CLE,,CIN,W 13-10,3,42,14.00,0,0,0,,0,0,0,,0,0,0
3,1978,1978-09-17,3,22.185,CLE,@,ATL,W 24-16,4,19,4.75,1,1,6,6.00,0,0,0,,0,1,6
4,1978,1978-09-24,4,22.192,CLE,@,PIT,L 9-15,2,19,9.50,0,2,24,12.00,0,0,0,,0,0,0
5,1978,1978-10-01,5,22.199,CLE,,HOU,L 13-16,2,11,5.50,0,0,0,,0,0,0,,0,0,0
6,1978,1978-10-08,6,22.206,CLE,@,NOR,W 24-16,4,35,8.75,1,1,8,8.00,0,0,0,,0,1,6
7,1978,1978-10-15,7,22.213,CLE,,PIT,L 14-34,3,47,15.67,0,1,4,4.00,0,0,-3,,0,0,0
8,1978,1978-10-22,8,22.220,CLE,@,KAN,L 3-17,1,12,12.00,0,1,-3,-3.00,0,0,0,,0,0,0
9,1978,1978-10-29,9,22.227,CLE,,BUF,W 41-20,4,96,24.00,0,1,2,2.00,0,0,0,,0,0,0
10,1978,1978-11-05,10,22.234,CLE,@,HOU,L 10-14,4,124,31.00,0,0,0,,0,0,0,,0,0,0
11,1978,1978-11-12,11,22.241,CLE,,DEN,L 7-19,0,0,,0,1,9,9.00,0,0,0,,0,0,0
12,1978,1978-11-19,12,22.248,CLE,@,BAL,W 45-24,2,38,19.00,0,0,0,,0,1,24,24.00,0,0,0
13,1978,1978-11-26,13,22.255,CLE,,RAM,W 30-19,3,73,24.33,0,2,6,3.00,1,0,0,,0,1,6
14,1978,1978-12-03,14,22.262,CLE,@,SEA,L 24-47,3,19,6.33,0,0,0,,0,0,0,,0,0,0
15,1978,1978-12-10,15,22.269,CLE,,NYJ,W 37-34,1,29,29.00,0,1,3,3.00,0,0,0,,0,0,0
16,1978,1978-12-17,16,22.276,CLE,@,CIN,L 16-48,1,19,19.00,0,1,4,4.00,0,0,0,,0,0,0
17,1979,1979-09-02,1,23.170,CLE,@,NYJ,W 25-22,3,31,10.33,1,0,0,,0,0,0,,0,1,6
18,1979,1979-09-09,2,23.177,CLE,@,KAN,W 27-24,6,77,12.83,1,0,0,,0,0,0,,0,1,6
19,1979,1979-09-16,3,23.184,CLE,,BAL,W 13-10,3,84,28.00,0,0,0,,0,0,0,,0,0,0
20,1979,1979-09-24,4,23.192,CLE,,DAL,W 26-7,3,53,17.67,1,0,0,,0,0,0,,0,1,6
21,1979,1979-09-30,5,23.198,CLE,@,HOU,L 10-31,2,21,10.50,0,0,0,,0,0,0,,0,0,0
22,1979,1979-10-07,6,23.205,CLE,,PIT,L 35-51,6,97,16.17,1,0,0,,0,0,0,,0,1,6
23,1979,1979-10-14,7,23.212,CLE,,WAS,L 9-13,,,,,,,,,,,,,,
24,1979,1979-10-21,8,23.219,CLE,,CIN,W 28-27,5,90,18.00,1,0,0,,0,0,0,,0,1,6
25,1979,1979-10-28,9,23.226,CLE,@,STL,W 38-20,4,19,4.75,0,0,0,,0,0,0,,0,0,0
26,1979,1979-11-04,10,23.233,CLE,@,PHI,W 24-19,2,23,11.50,1,0,0,,0,0,0,,0,1,6
27,1979,1979-11-11,11,23.240,CLE,,SEA,L 24-29,3,61,20.33,0,0,0,,0,0,0,,0,0,0
28,1979,1979-11-18,12,23.247,CLE,,MIA,W 30-24,4,76,19.00,2,0,0,,0,0,0,,0,2,12
29,1979,1979-11-25,13,23.254,CLE,@,PIT,L 30-33,5,77,15.40,1,0,0,,0,0,0,,0,1,6
30,1979,1979-12-02,14,23.261,CLE,,HOU,W 14-7,4,42,10.50,0,1,6,6.00,0,0,0,,0,0,0
31,1979,1979-12-09,15,23.268,CLE,@,OAK,L 14-19,2,14,7.00,0,0,0,,0,0,0,,0,0,0
32,1979,1979-12-16,16,23.275,CLE,@,CIN,L 12-16,3,16,5.33,0,0,0,,0,0,0,,0,0,0
33,1980,1980-09-07,1,24.175,CLE,@,NWE,L 17-34,3,32,10.67,0,0,0,,0,0,0,,0,0,0
34,1980,1980-09-15,2,24.183,CLE,,HOU,L 7-16,2,12,6.00,0,0,0,,0,0,0,,0,0,0
35,1980,1980-09-21,3,24.189,CLE,,KAN,W 20-13,6,55,9.17,0,1,4,4.00,0,0,0,,0,0,0
36,1980,1980-09-28,4,24.196,CLE,@,TAM,W 34-27,2,25,12.50,0,0,0,,0,0,0,,0,0,0
37,1980,1980-10-05,5,24.203,CLE,,DEN,L 16-19,4,37,9.25,0,1,9,9.00,0,0,0,,0,0,0
38,1980,1980-10-12,6,24.210,CLE,@,SEA,W 27-3,2,60,30.00,0,0,0,,0,0,0,,0,0,0
39,1980,1980-10-19,7,24.217,CLE,,GNB,W 26-21,5,60,12.00,1,0,0,,0,0,0,,0,1,6
40,1980,1980-10-26,8,24.224,CLE,,PIT,W 27-26,4,55,13.75,1,0,0,,0,0,0,,0,1,6
41,1980,1980-11-03,9,24.232,CLE,,CHI,W 27-21,5,97,19.40,0,0,0,,0,0,0,,0,0,0
42,1980,1980-11-09,10,24.238,CLE,@,BAL,W 28-27,2,13,6.50,0,0,0,,0,0,0,,0,0,0
43,1980,1980-11-16,11,24.245,CLE,@,PIT,L 13-16,3,42,14.00,1,0,0,,0,0,0,,0,1,6
44,1980,1980-11-23,12,24.252,CLE,,CIN,W 31-7,1,14,14.00,0,0,0,,0,0,0,,0,0,0
45,1980,1980-11-30,13,24.259,CLE,@,HOU,W 17-14,1,7,7.00,0,0,0,,0,0,0,,0,0,0
46,1980,1980-12-07,14,24.266,CLE,,NYJ,W 17-14,3,28,9.33,0,0,0,,0,0,0,,0,0,0
47,1980,1980-12-14,15,24.273,CLE,@,MIN,L 23-28,3,27,9.00,0,0,0,,0,0,0,,0,0,0
48,1980,1980-12-21,16,24.280,CLE,@,CIN,W 27-24,5,30,6.00,0,0,0,,0,0,0,,0,0,0
