ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1965,1965-09-19,1,22.062,WAS,,CLE,L 7-17,1,16,16.00,0,0,0,,0,0,0,,0,0,0
2,1965,1965-09-26,2,22.069,WAS,@,DAL,L 7-27,1,3,3.00,0,0,0,,0,0,0,,0,0,0
3,1965,1965-10-17,5,22.090,WAS,,BAL,L 7-38,1,9,9.00,0,0,0,,0,0,0,,0,0,0
4,1965,1965-10-24,6,22.097,WAS,@,STL,W 24-20,1,1,1.00,1,0,0,,0,0,0,,0,1,6
5,1965,1965-11-07,8,22.111,WAS,@,NYG,W 23-7,1,26,26.00,1,0,0,,0,0,0,,0,1,6
6,1965,1965-11-21,10,22.125,WAS,@,PIT,W 31-3,3,21,7.00,0,0,0,,0,0,0,,0,0,0
7,1965,1965-11-28,11,22.132,WAS,,DAL,W 34-31,6,78,13.00,0,0,0,,0,0,0,,0,0,0
8,1965,1965-12-05,12,22.139,WAS,@,CLE,L 16-24,1,2,2.00,0,0,0,,0,0,0,,0,0,0
9,1965,1965-12-12,13,22.146,WAS,,NYG,L 10-27,2,27,13.50,0,0,0,,0,0,0,,0,0,0
10,1965,1965-12-19,14,22.153,WAS,,PIT,W 35-14,2,74,37.00,0,0,0,,0,0,0,,0,0,0
11,1966,1966-09-11,1,23.054,WAS,,CLE,L 14-38,1,6,6.00,0,0,0,,0,0,0,,0,0,0
12,1966,1966-09-18,2,23.061,WAS,@,STL,L 7-23,4,28,7.00,0,0,0,,0,0,0,,0,0,0
13,1966,1966-09-25,3,23.068,WAS,@,PIT,W 33-27,2,30,15.00,0,0,0,,0,0,0,,0,0,0
14,1966,1966-10-02,4,23.075,WAS,,PIT,W 24-10,4,32,8.00,0,0,0,,0,0,0,,0,0,0
15,1966,1966-10-09,5,23.082,WAS,,ATL,W 33-20,3,41,13.67,1,0,0,,0,0,0,,0,1,6
16,1966,1966-10-16,6,23.089,WAS,@,NYG,L 10-13,2,25,12.50,0,0,0,,0,0,0,,0,0,0
17,1966,1966-10-23,7,23.096,WAS,,STL,W 26-20,4,59,14.75,0,0,0,,0,0,0,,0,0,0
18,1966,1966-10-30,8,23.103,WAS,@,PHI,W 27-13,6,64,10.67,1,0,0,,0,0,0,,0,1,6
19,1966,1966-11-06,9,23.110,WAS,@,BAL,L 10-37,3,36,12.00,0,0,0,,0,0,0,,0,0,0
20,1966,1966-11-13,10,23.117,WAS,,DAL,L 30-31,6,81,13.50,1,0,0,,0,0,0,,0,1,6
21,1966,1966-11-20,11,23.124,WAS,@,CLE,L 3-14,6,56,9.33,0,0,0,,0,0,0,,0,0,0
22,1966,1966-11-27,12,23.131,WAS,,NYG,W 72-41,1,12,12.00,0,0,0,,0,0,0,,0,0,0
23,1966,1966-12-11,13,23.145,WAS,@,DAL,W 34-31,5,79,15.80,1,0,0,,0,0,0,,0,1,6
24,1966,1966-12-18,14,23.152,WAS,,PHI,L 28-37,7,137,19.57,2,0,0,,0,0,0,,0,2,12
25,1967,1967-09-17,1,24.060,WAS,@,PHI,L 24-35,8,81,10.13,1,0,0,,0,0,0,,0,1,6
26,1967,1967-09-24,2,24.067,WAS,@,NOR,W 30-10,2,38,19.00,0,0,0,,0,0,0,,0,0,0
