ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1955,1955-09-25,1,24.061,DET,@,GNB,L 17-20,12,69,5.75,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,
2,1955,1955-10-01,2,24.067,DET,@,BAL,L 13-28,0,0,,0,1,14,14.00,0,1,1,100.00,41,0,0,118.7,0,0,41.00,41.00,,,,,,,,
3,1955,1955-10-30,6,24.096,DET,@,SFO,L 21-38,10,31,3.10,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,
4,1955,1955-11-05,7,24.102,DET,,BAL,W 24-14,14,44,3.14,0,1,0,0.00,0,0,0,,0,0,,,,,,,,,,,,,,
5,1955,1955-11-13,8,24.110,DET,@,PIT,W 31-28,8,19,2.38,0,1,-13,-13.00,0,1,1,100.00,21,1,0,158.3,0,0,21.00,41.00,,,,,,,,
6,1955,1955-12-11,12,24.138,DET,,NYG,L 19-24,2,2,1.00,0,2,16,8.00,0,0,0,,0,0,,,,,,,,,,,,,,
7,1956,1956-09-30,1,25.066,DET,@,GNB,W 20-16,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,
8,1956,1956-10-06,2,25.072,DET,@,BAL,W 31-14,1,6,6.00,0,1,11,11.00,0,0,0,,0,0,,,,,,,,,,,,,,
9,1956,1956-11-11,7,25.108,DET,@,WAS,L 17-18,0,0,,0,1,27,27.00,0,0,0,,0,0,,,,,,,,,,,,,,
10,1956,1956-12-02,10,25.129,DET,,CHI,W 42-10,0,0,,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,,,,
11,1956,1956-12-09,11,25.136,DET,,PIT,W 45-7,1,-5,-5.00,0,1,14,14.00,0,0,0,,0,0,,,,,,,,,,,,,,
12,1960,1960-09-25,1,29.061,NYG,@,SFO,W 21-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0
13,1960,1960-10-02,2,29.068,NYG,@,STL,W 35-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,2,5,2.50,0
14,1960,1960-10-09,3,29.075,NYG,@,PIT,W 19-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0
15,1960,1960-10-30,5,29.096,NYG,,STL,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,65,32.50,0,3,33,11.00,0
16,1960,1960-11-06,6,29.103,NYG,@,CLE,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,1,1,1.00,0
17,1960,1960-11-13,7,29.110,NYG,,PIT,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,0,0,,0
18,1960,1960-11-20,8,29.117,NYG,,PHI,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,42,14.00,0
19,1960,1960-11-27,9,29.124,NYG,@,PHI,L 23-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,3,12,4.00,0
20,1960,1960-12-04,10,29.131,NYG,,DAL,T 31-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,109,27.25,0,2,8,4.00,0
21,1960,1960-12-11,11,29.138,NYG,@,WAS,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,65,16.25,0
22,1960,1960-12-18,12,29.145,NYG,,CLE,L 34-48,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,97,24.25,0,0,0,,0
23,1961,1961-09-17,1,30.053,NYG,,STL,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,36,18.00,0,1,0,0.00,0
24,1961,1961-09-24,2,30.060,NYG,@,PIT,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0
25,1961,1961-10-01,3,30.067,NYG,@,WAS,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,20,6.67,0
26,1961,1961-10-08,4,30.074,NYG,@,STL,W 24-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,51,25.50,0,4,21,5.25,0
27,1961,1961-10-22,6,30.088,NYG,,RAM,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,46,11.50,0
28,1961,1961-10-29,7,30.095,NYG,,DAL,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,17,17.00,0
29,1961,1961-11-05,8,30.102,NYG,,WAS,W 53-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0
