ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1958,1958-10-19,4,23.029,GNB,@,WAS,L 21-37,0,0,,0,1,31,31.00,1,1,
2,1958,1958-10-26,5,23.036,GNB,,PHI,W 38-35,3,0,0.00,0,0,0,,0,0,
3,1958,1958-11-02,6,23.043,GNB,@,BAL,L 0-56,3,7,2.33,0,0,0,,0,0,
4,1958,1958-11-09,7,23.050,GNB,@,CHI,L 10-24,2,4,2.00,1,1,8,8.00,0,1,
5,1958,1958-11-27,10,23.068,GNB,@,DET,L 14-24,0,0,,0,1,25,25.00,0,0,
6,1958,1958-12-07,11,23.078,GNB,@,SFO,L 21-48,22,137,6.23,0,1,8,8.00,0,0,
7,1958,1958-12-14,12,23.085,GNB,@,RAM,L 20-34,22,99,4.50,0,0,0,,0,0,
8,1959,1959-09-27,1,24.007,GNB,,CHI,W 9-6,22,98,4.45,1,0,0,,0,1,
9,1959,1959-10-04,2,24.014,GNB,,DET,W 28-10,10,16,1.60,0,1,4,4.00,0,0,
10,1959,1959-11-01,6,24.042,GNB,@,NYG,L 3-20,2,15,7.50,0,0,0,,0,0,
11,1959,1959-11-08,7,24.049,GNB,@,CHI,L 17-28,22,90,4.09,1,0,0,,0,1,
12,1959,1959-11-15,8,24.056,GNB,,BAL,L 24-28,16,79,4.94,2,2,30,15.00,1,3,
13,1959,1959-11-22,9,24.063,GNB,,WAS,W 21-0,15,81,5.40,0,1,7,7.00,0,0,
14,1959,1959-11-26,10,24.067,GNB,@,DET,W 24-17,21,41,1.95,1,2,3,1.50,0,1,
15,1959,1959-12-06,11,24.077,GNB,@,RAM,W 38-20,10,19,1.90,1,1,13,13.00,1,2,
16,1959,1959-12-13,12,24.084,GNB,@,SFO,W 36-14,2,13,6.50,0,2,14,7.00,0,0,
17,1960,1960-09-25,1,25.005,GNB,,CHI,L 14-17,16,83,5.19,1,0,0,,0,1,6
18,1960,1960-10-02,2,25.012,GNB,,DET,W 28-9,26,151,5.81,1,1,10,10.00,0,1,6
19,1960,1960-10-09,3,25.019,GNB,,BAL,W 35-21,21,47,2.24,3,0,0,,0,3,18
20,1960,1960-10-23,4,25.033,GNB,,SFO,W 41-14,20,98,4.90,0,1,9,9.00,0,0,0
21,1960,1960-10-30,5,25.040,GNB,@,PIT,W 19-13,25,105,4.20,1,1,6,6.00,0,1,6
22,1960,1960-11-06,6,25.047,GNB,@,BAL,L 24-38,20,56,2.80,1,6,36,6.00,0,1,6
23,1960,1960-11-13,7,25.054,GNB,,DAL,W 41-7,15,121,8.07,3,2,26,13.00,0,3,18
24,1960,1960-11-20,8,25.061,GNB,,RAM,L 31-33,9,35,3.89,0,0,0,,0,0,0
25,1960,1960-11-24,9,25.065,GNB,@,DET,L 10-23,10,62,6.20,0,2,24,12.00,0,0,0
26,1960,1960-12-04,10,25.075,GNB,@,CHI,W 41-13,24,140,5.83,1,1,4,4.00,0,1,6
