ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.328,PHI,@,WAS,L 14-41,2,2,1.00,0,,1,4,4.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
2,1986,1986-09-14,2,22.335,PHI,@,CHI,L 10-13,19,32,1.68,0,,1,2,2.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
3,1986,1986-09-21,3,22.342,PHI,,DEN,L 7-33,8,21,2.63,0,,1,3,3.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
4,1986,1986-09-28,4,22.349,PHI,,RAM,W 34-20,17,78,4.59,0,,1,6,6.00,0,,,1,1,100.00,55,1,0,158.3,0,0,55.00,75.00,0,0,,0,0,0
5,1986,1986-10-05,5,22.356,PHI,@,ATL,W 16-0,18,54,3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
6,1986,1986-10-12,6,22.363,PHI,@,NYG,L 3-35,11,27,2.45,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
7,1986,1986-10-19,7,23.005,PHI,,DAL,L 14-17,3,22,7.33,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
8,1986,1986-10-26,8,23.012,PHI,,SDG,W 23-7,10,0,0.00,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,1,6
9,1986,1986-11-02,9,23.019,PHI,@,STL,L 10-13,8,27,3.38,0,,1,4,4.00,0,,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,16,16.00,0,0,0
10,1986,1986-11-09,10,23.026,PHI,,NYG,L 14-17,1,8,8.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,31,31.00,0,0,0
11,1986,1986-11-16,11,23.033,PHI,,DET,L 11-13,16,57,3.56,0,,3,1,0.33,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
12,1986,1986-11-23,12,23.040,PHI,@,SEA,L 20-24,6,14,2.33,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
13,1986,1986-11-30,13,23.047,PHI,@,RAI,W 33-27,4,10,2.50,0,,2,17,8.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
14,1986,1986-12-07,14,23.054,PHI,,STL,T 10-10,24,127,5.29,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
15,1986,1986-12-14,15,23.061,PHI,@,DAL,W 23-21,14,41,2.93,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
16,1986,1986-12-21,16,23.068,PHI,,WAS,L 14-21,16,57,3.56,0,,1,7,7.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
17,1987,1987-09-20,2,23.341,PHI,,NOR,W 27-17,2,4,2.00,0,,1,10,10.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,1987,1987-10-25,6,24.011,PHI,,DAL,W 37-20,20,94,4.70,1,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
19,1987,1987-11-01,7,24.018,PHI,@,STL,W 28-23,8,17,2.13,1,,3,14,4.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
20,1987,1987-11-08,8,24.025,PHI,,WAS,W 31-27,12,26,2.17,0,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1987,1987-11-15,9,24.032,PHI,,NYG,L 17-20,14,61,4.36,0,,2,17,8.50,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
22,1987,1987-11-22,10,24.039,PHI,,STL,L 19-31,7,4,0.57,0,,1,21,21.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,1987,1987-12-06,12,24.053,PHI,@,NYG,L 20-23,0,0,,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1987,1987-12-13,13,24.060,PHI,,MIA,L 10-28,14,67,4.79,0,,7,41,5.86,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1987,1987-12-20,14,24.067,PHI,@,NYJ,W 38-27,16,51,3.19,1,,3,18,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
26,1987,1987-12-27,15,24.074,PHI,,BUF,W 17-7,23,102,4.43,0,,2,37,18.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,1988,1988-09-04,1,24.326,PHI,@,TAM,W 41-14,9,5,0.56,0,,1,24,24.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
28,1988,1988-09-11,2,24.333,PHI,,CIN,L 24-28,13,52,4.00,0,,5,50,10.00,0,,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
