ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-09-25,4,21.270,HOU,,CIN,W 20-13,,,,,,0.0%,,,,,,,
2,1994,1994-10-03,5,21.278,HOU,@,PIT,L 14-30,,,,,,0.0%,,,,,,,
3,1994,1994-10-13,6,21.288,HOU,,CLE,L 8-11,,,,,,0.0%,,,,,,,
4,1994,1994-10-24,7,21.299,HOU,@,PHI,L 6-21,,,,,,0.0%,,,,,,,
5,1994,1994-10-30,8,21.305,HOU,@,RAI,L 14-17,,,,,,0.0%,,,,,,,
6,1994,1994-11-06,9,21.312,HOU,,PIT,L 9-12,,,,,,0.0%,,,,,,,
7,1994,1994-11-13,10,21.319,HOU,@,CIN,L 31-34,,,,,,0.0%,,,,,,,
8,1994,1994-11-21,11,21.327,HOU,,NYG,L 10-13,,,,,,0.0%,,,,,,,
9,1994,1994-11-27,12,21.333,HOU,@,CLE,L 10-34,,,,,,0.0%,,,,,,,
10,1994,1994-12-04,13,21.340,HOU,,ARI,L 12-30,,,,,,0.0%,,,,,,,
11,1994,1994-12-11,14,21.347,HOU,,SEA,L 14-16,,,,,,0.0%,,,,,,,
12,1994,1994-12-18,15,21.354,HOU,@,KAN,L 9-31,,,,,,0.0%,,,,,,,
13,1994,1994-12-24,16,21.360,HOU,,NYJ,W 24-10,,,,,,0.0%,,,,,,,
14,1995,1995-09-03,1,22.248,HOU,@,JAX,W 10-3,,0,0,,0,0.0%,,,,,,,
15,1995,1995-09-10,2,22.255,HOU,,PIT,L 17-34,,0,0,,0,0.0%,,,,,,,
16,1995,1995-09-24,4,22.269,HOU,@,CIN,W 38-28,,0,0,,0,0.0%,,,,,,,
17,1995,1995-10-01,5,22.276,HOU,,JAX,L 16-17,,0,0,,0,0.0%,,,,,,,
18,1995,1995-10-08,6,22.283,HOU,@,MIN,L 17-23,,0,0,,0,0.0%,,,,,,,
19,1995,1995-10-22,7,22.297,HOU,@,CHI,L 32-35,5,4,81,20.25,0,80.0%,16.20,0,0,,0,0,0
20,1995,1995-10-29,8,22.304,HOU,,TAM,W 19-7,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0
21,1995,1995-11-05,9,22.311,HOU,@,CLE,W 37-10,4,4,50,12.50,1,100.0%,12.50,0,0,,0,1,6
22,1995,1995-11-12,10,22.318,HOU,,CIN,L 25-32,3,0,0,,0,0.0%,0.00,,,,,,
23,1995,1995-11-19,11,22.325,HOU,@,KAN,L 13-20,4,0,0,,0,0.0%,0.00,,,,,,
24,1995,1995-11-26,12,22.332,HOU,,DEN,W 42-33,,0,0,,0,0.0%,,,,,,,
25,1995,1995-12-03,13,22.339,HOU,@,PIT,L 7-21,,0,0,,0,0.0%,,,,,,,
26,1995,1995-12-10,14,22.346,HOU,,DET,L 17-24,,0,0,,0,0.0%,,,,,,,
27,1995,1995-12-17,15,22.353,HOU,,NYJ,W 23-6,,0,0,,0,0.0%,,,,,,,
28,1995,1995-12-24,16,22.360,HOU,@,BUF,W 28-17,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
29,1996,1996-09-01,1,23.247,HOU,,KAN,L 19-20,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
30,1996,1996-09-08,2,23.254,HOU,@,JAX,W 34-27,3,3,90,30.00,1,100.0%,30.00,0,0,,0,1,6
