ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1995,1995-09-03,1,24.049,SFO,@,NOR,W 24-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
2,1995,1995-09-10,2,24.056,SFO,,ATL,W 41-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
3,1995,1995-09-17,3,24.063,SFO,,NWE,W 28-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
4,1995,1995-09-25,4,24.071,SFO,@,DET,L 24-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
5,1995,1995-10-15,6,24.091,SFO,@,IND,L 17-18,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
6,1995,1995-10-22,7,24.098,SFO,@,STL,W 44-10,,0,0,0,,0,0.0%,,0,0,,0,1,25,25.00,0,0,0
7,1995,1995-10-29,8,24.105,SFO,,NOR,L 7-11,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
8,1995,1995-11-05,9,24.112,SFO,,CAR,L 7-13,,0,0,0,,0,0.0%,,3,49,16.33,0,0,0,,0,0,0
9,1995,1995-11-12,10,24.119,SFO,@,DAL,W 38-20,,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0
10,1995,1995-11-20,11,24.127,SFO,@,MIA,W 44-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
11,1995,1995-11-26,12,24.133,SFO,,STL,W 41-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
12,1995,1995-12-03,13,24.140,SFO,,BUF,W 27-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
13,1995,1995-12-10,14,24.147,SFO,@,CAR,W 31-10,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
14,1995,1995-12-18,15,24.155,SFO,,MIN,W 37-30,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
15,1995,1995-12-24,16,24.161,SFO,@,ATL,L 27-28,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
16,1997,1997-09-28,4,26.074,WAS,,JAX,W 24-12,,,0,0,,0,0.0%,,,,,,,,,,,
17,1997,1997-10-05,5,26.081,WAS,@,PHI,L 10-24,,,0,0,,0,0.0%,,,,,,,,,,,
18,1997,1997-10-13,6,26.089,WAS,,DAL,W 21-16,,,0,0,,0,0.0%,,,,,,,,,,,
19,1997,1997-10-19,7,26.095,WAS,@,TEN,L 14-28,,,0,0,,0,0.0%,,,,,,,,,,,
20,1997,1997-10-26,8,26.102,WAS,,BAL,L 17-20,,,0,0,,0,0.0%,,,,,,,,,,,
