ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-09-19,1,22.296,NYG,@,DAL,L 2-31,2,-4,-2.00,0,0,0,0,0,0
2,1965,1965-09-26,2,22.303,NYG,@,PHI,W 16-14,1,17,17.00,0,0,0,0,0,0
3,1965,1965-11-07,8,22.345,NYG,,WAS,L 7-23,0,0,,0,0,0,1,19,0
4,1965,1965-11-14,9,22.352,NYG,@,CLE,L 21-34,0,0,,0,0,0,1,0,0
5,1965,1965-12-05,12,23.008,NYG,,PIT,W 35-10,1,0,0.00,0,0,0,0,0,0
6,1966,1966-10-02,4,23.309,NYG,,CLE,L 7-28,0,0,,0,0,0,1,0,0
7,1966,1966-10-16,6,23.323,NYG,,WAS,W 13-10,0,0,,0,0,0,1,9,0
8,1966,1966-11-13,9,23.351,NYG,@,RAM,L 14-55,0,0,,0,1,6,1,101,1
9,1966,1966-11-20,10,23.358,NYG,,ATL,L 16-27,0,0,,0,0,0,1,0,0
10,1967,1967-09-17,1,24.294,NYG,@,STL,W 37-20,0,0,,0,0,0,1,13,0
