ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.226,STL,@,SEA,W 30-24,,,,,,,,,,,,
2,1976,1976-09-19,2,22.233,STL,,GNB,W 29-0,,,,,,,,,,,,
3,1976,1976-09-26,3,22.240,STL,@,SDG,L 24-43,1,43,43.00,0,0,0,,0,0.0,0,0,0
4,1976,1976-10-17,6,22.261,STL,,DAL,W 21-17,,,,,,,,,,,,
5,1976,1976-10-25,7,22.269,STL,@,WAS,L 10-20,,,,,,,,,,,,
6,1976,1976-10-31,8,22.275,STL,,SFO,W 23-20,,,,,,,,,,,,
7,1976,1976-11-07,9,22.282,STL,@,PHI,W 17-14,,,,,,,,,,,,
8,1976,1976-11-14,10,22.289,STL,@,RAM,W 30-28,,,,,,,,,,,,
9,1976,1976-11-21,11,22.296,STL,,WAS,L 10-16,,,,,,,,,,,,
10,1977,1977-09-18,1,23.231,STL,@,DEN,L 0-7,1,31,31.00,0,0,0,,0,0.0,1,26,0
11,1977,1977-09-25,2,23.238,STL,,CHI,W 16-13,1,36,36.00,0,0,0,,0,0.0,0,0,0
12,1977,1977-10-02,3,23.245,STL,@,WAS,L 14-24,0,0,,0,1,4,4.00,0,0.0,0,0,0
13,1977,1977-10-09,4,23.252,STL,,DAL,L 24-30,,,,,,,,,,,,
14,1977,1977-10-16,5,23.259,STL,@,PHI,W 21-17,1,1,1.00,0,0,0,,0,0.0,0,0,0
15,1977,1977-10-23,6,23.266,STL,,NOR,W 49-31,0,0,,0,0,0,,0,0.0,1,10,0
16,1977,1977-10-31,7,23.274,STL,,NYG,W 28-0,0,0,,0,0,0,,0,0.0,1,0,0
17,1977,1977-11-06,8,23.280,STL,@,MIN,W 27-7,0,0,,0,0,0,,0,0.0,1,1,0
18,1977,1977-11-14,9,23.288,STL,@,DAL,W 24-17,,,,,,,,,,,,
19,1977,1977-11-20,10,23.294,STL,,PHI,W 21-16,,,,,,,,,,,,
20,1978,1978-09-03,1,24.216,STL,@,CHI,L 10-17,,,,,,,,,,,,
21,1978,1978-09-10,2,24.223,STL,,NWE,L 6-16,,,,,,,,,,,,
