ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2014,2014-09-07,1,23.315,BUF,@,CHI,W 23-20,,0,0,,0,0.0,0,0,5,215,43.00,0
2,2014,2014-09-14,2,23.322,BUF,,MIA,W 29-10,,0,0,,0,0.0,0,0,4,134,33.50,0
3,2014,2014-09-21,3,23.329,BUF,,SDG,L 10-22,,0,0,,0,0.0,0,0,5,226,45.20,0
4,2014,2014-09-28,4,23.336,BUF,@,HOU,L 17-23,,0,0,,0,0.0,0,0,9,413,45.89,0
5,2014,2014-10-05,5,23.343,BUF,@,DET,W 17-14,,0,0,,0,0.0,1,0,8,345,43.13,0
6,2014,2014-10-12,6,23.350,BUF,,NWE,L 22-37,,0,0,,0,0.0,0,0,5,249,49.80,0
7,2014,2014-10-19,7,23.357,BUF,,MIN,W 17-16,,0,0,,0,0.0,0,0,5,223,44.60,0
8,2014,2014-10-26,8,23.364,BUF,@,NYJ,W 43-23,,0,0,,0,0.0,0,0,6,249,41.50,0
9,2014,2014-11-09,9,24.013,BUF,,KAN,L 13-17,,0,0,,0,0.0,0,0,6,282,47.00,0
10,2014,2014-11-13,10,24.017,BUF,@,MIA,L 9-22,,0,0,,0,0.0,0,0,2,74,37.00,0
11,2014,2014-11-24,11,24.028,BUF,,NYJ,W 38-3,,0,0,,0,0.0,0,0,4,186,46.50,0
12,2014,2014-11-30,12,24.034,BUF,,CLE,W 26-10,,0,0,,0,0.0,1,0,5,229,45.80,0
13,2014,2014-12-07,13,24.041,BUF,@,DEN,L 17-24,,0,0,,0,0.0,0,0,3,102,34.00,0
14,2014,2014-12-14,14,24.048,BUF,,GNB,W 21-13,,0,0,,0,0.0,0,0,6,242,40.33,0
15,2014,2014-12-21,15,24.055,BUF,@,OAK,L 24-26,,0,0,,0,0.0,0,0,8,340,42.50,0
16,2014,2014-12-28,16,24.062,BUF,@,NWE,W 17-9,,0,0,,0,0.0,1,0,5,183,36.60,0
17,2015,2015-09-13,1,24.321,BUF,,IND,W 27-14,,0,0,,0,0.0,0,0,5,252,50.40,0
18,2015,2015-09-20,2,24.328,BUF,,NWE,L 32-40,,0,0,,0,0.0,0,0,6,249,41.50,0
19,2015,2015-09-27,3,24.335,BUF,@,MIA,W 41-14,,0,0,,0,0.0,0,0,3,137,45.67,0
20,2015,2015-10-04,4,24.342,BUF,,NYG,L 10-24,,0,0,,0,0.0,0,0,7,363,51.86,0
21,2015,2015-10-11,5,24.349,BUF,@,TEN,W 14-13,,0,0,,0,0.0,0,0,7,357,51.00,0
22,2015,2015-10-18,6,24.356,BUF,,CIN,L 21-34,,0,0,,0,0.0,0,0,5,243,48.60,0
23,2015,2015-10-25,7,24.363,BUF,@,JAX,L 31-34,,0,0,,0,0.0,0,0,3,148,49.33,0
