ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1981,1981-10-18,7,24.175,BUF,@,NYJ,L 14-33,0,0,,0,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
2,1981,1981-10-25,8,24.182,BUF,,DEN,W 9-7,0,0,,0,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
3,1981,1981-11-01,9,24.189,BUF,,CLE,W 22-13,0,0,,0,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
4,1981,1981-11-09,10,24.197,BUF,@,DAL,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,24,24.00,0,0,0,,0,0,0
5,1981,1981-11-15,11,24.203,BUF,@,STL,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,40,20.00,0,0,0,,0,0,0
6,1981,1981-11-22,12,24.210,BUF,,NWE,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,24,24.00,0,0,0,,0,0,0
7,1981,1981-11-29,13,24.217,BUF,,WAS,W 21-14,3,29,9.67,0,0,0,,0,0,0,,0,0,0,,,,,,2,30,15.00,0,1,7,7.00,0,0,0
8,1981,1981-12-06,14,24.224,BUF,@,SDG,W 28-27,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,70,17.50,0,0,0,,0,0,0
9,1981,1981-12-13,15,24.231,BUF,@,NWE,W 19-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,9,9.00,0,0,0,,0,0,0
10,1981,1981-12-19,16,24.237,BUF,@,MIA,L 6-16,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,3,60,20.00,0,3,41,13.67,0,0,0
11,1983,1983-09-04,1,26.131,BUF,,MIA,L 0-12,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,50,25.00,0,4,37,9.25,0,0,0
12,1983,1983-09-11,2,26.138,BUF,@,CIN,W 10-6,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,20,20.00,0,1,0,0.00,0,0,0
13,1983,1983-09-18,3,26.145,BUF,,BAL,W 28-23,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,35,17.50,0,2,7,3.50,0,0,0
