ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,22.048,DET,@,GNB,L 19-38,,6,244,40.67,1,2,23,11.50,0,1,6,0.0,0,0,0
2,1998,1998-09-13,2,22.055,DET,,CIN,L 28-34,,2,55,27.50,0,3,34,11.33,0,0,0,0.0,0,0,0
3,1998,1998-09-20,3,22.062,DET,@,MIN,L 6-29,,6,123,20.50,0,1,1,1.00,0,0,0,0.0,0,0,0
4,1998,1998-09-28,4,22.070,DET,,TAM,W 27-6,,2,136,68.00,1,4,10,2.50,0,1,6,0.0,0,0,0
5,1998,1998-10-15,6,22.087,DET,,GNB,W 27-20,,3,57,19.00,0,0,0,,0,0,0,0.0,0,0,0
6,1998,1998-10-25,7,22.097,DET,,MIN,L 13-34,,4,85,21.25,0,0,0,,0,0,0,0.0,0,0,0
7,1998,1998-11-01,8,22.104,DET,,ARI,L 15-17,,3,59,19.67,0,5,44,8.80,0,0,0,0.0,0,0,0
8,1998,1998-11-08,9,22.111,DET,@,PHI,L 9-10,,3,98,32.67,0,8,43,5.38,0,0,0,0.0,0,0,0
9,1998,1998-11-15,10,22.118,DET,,CHI,W 26-3,,2,52,26.00,0,2,8,4.00,0,0,0,1.0,0,0,0
10,1998,1998-11-22,11,22.125,DET,@,TAM,W 28-25,,4,93,23.25,0,1,5,5.00,0,0,0,0.0,0,0,0
11,1998,1998-11-26,12,22.129,DET,,PIT,W 19-16,,6,128,21.33,0,0,0,,0,0,0,0.0,0,0,0
12,1998,1998-12-06,13,22.139,DET,@,JAX,L 22-37,,5,175,35.00,0,2,18,9.00,0,0,0,0.0,0,0,0
13,1998,1998-12-14,14,22.147,DET,@,SFO,L 13-35,,4,99,24.75,0,1,0,0.00,0,0,0,0.0,0,0,0
14,1998,1998-12-20,15,22.153,DET,,ATL,L 17-24,,1,24,24.00,0,1,3,3.00,0,0,0,0.0,0,0,0
15,1999,1999-09-12,1,23.054,DET,@,SEA,W 28-20,*,1,17,17.00,0,3,11,3.67,0,0,0,0.0,0,0,0
16,1999,1999-09-19,2,23.061,DET,,GNB,W 23-15,*,1,91,91.00,0,5,59,11.80,0,0,0,0.0,0,0,0
17,1999,1999-09-26,3,23.068,DET,@,KAN,L 21-31,*,3,55,18.33,0,0,0,,0,0,0,0.0,0,0,0
18,1999,1999-10-10,4,23.082,DET,,SDG,L 10-20,*,5,112,22.40,0,1,13,13.00,0,0,0,0.0,0,0,0
19,1999,1999-10-17,5,23.089,DET,,MIN,W 25-23,*,5,106,21.20,0,0,0,,0,1,6,0.0,2,43,1
20,1999,1999-10-24,6,23.096,DET,@,CAR,W 24-9,*,4,130,32.50,0,0,0,,0,0,0,0.0,0,0,0
21,1999,1999-10-31,7,23.103,DET,,TAM,W 20-3,*,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0
22,1999,1999-11-07,8,23.110,DET,,STL,W 31-27,*,1,26,26.00,0,1,9,9.00,0,0,0,0.0,1,6,0
23,1999,1999-11-14,9,23.117,DET,@,ARI,L 19-23,*,5,77,15.40,0,1,5,5.00,0,0,0,0.0,0,0,0
24,1999,1999-11-21,10,23.124,DET,@,GNB,L 17-26,*,4,49,12.25,0,0,0,,0,0,0,0.0,0,0,0
25,1999,1999-11-25,11,23.128,DET,,CHI,W 21-17,*,4,66,16.50,0,0,0,,0,0,0,0.0,0,0,0
26,2000,2000-09-03,1,24.045,DET,@,NOR,W 14-10,*,,,,,,,,,,,,,,
27,2000,2000-09-10,2,24.052,DET,,WAS,W 15-10,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0
28,2000,2000-09-17,3,24.059,DET,,TAM,L 10-31,,,,,,,,,,,,,,,
29,2000,2000-10-01,5,24.073,DET,,MIN,L 24-31,*,,,,,,,,,,,,,,
