ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-09,1,24.066,IND,@,NWE,L 24-27,,,,,,,0.0%,,,,,,,,,,
2,2004,2004-09-19,2,24.076,IND,@,TEN,W 31-17,,0,,,,,0.0%,,,,,,,,,,
3,2004,2004-09-26,3,24.083,IND,,GNB,W 45-31,,,,,,,0.0%,,,,,,,,,,
4,2004,2004-10-03,4,24.090,IND,@,JAX,W 24-17,,,,,,,0.0%,,,,,,,,,,
5,2004,2004-10-10,5,24.097,IND,,OAK,W 35-14,*,,,,,,0.0%,,,,,,,,,,
6,2004,2004-10-24,6,24.111,IND,,JAX,L 24-27,,,,,,,0.0%,,,,,,,,,,
7,2004,2004-10-31,7,24.118,IND,@,KAN,L 35-45,,,,,,,0.0%,,,,,,,,,,
8,2004,2004-11-08,8,24.126,IND,,MIN,W 31-28,,,,,,,0.0%,,,,,,,,,,
9,2004,2004-11-14,9,24.132,IND,,HOU,W 49-14,,,,,,,0.0%,,,,,,,,,,
10,2004,2004-11-21,10,24.139,IND,@,CHI,W 41-10,,0,,,,,0.0%,,,,,,,,,,
11,2004,2004-11-25,11,24.143,IND,@,DET,W 41-9,,,,,,,0.0%,,,,,,,,,,
12,2004,2004-12-05,12,24.153,IND,,TEN,W 51-24,,0,,,,,0.0%,,,,,,,,,,
13,2004,2004-12-12,13,24.160,IND,@,HOU,W 23-14,,,,,,,0.0%,,,,,,,,,,
14,2004,2004-12-19,14,24.167,IND,,BAL,W 20-10,,,,,,,0.0%,,,,,,,,,,
15,2004,2004-12-26,15,24.174,IND,,SDG,W 34-31,*,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,,
16,2004,2005-01-02,16,24.181,IND,@,DEN,L 14-33,*,6,2,12,6.00,0,33.3%,2.00,0,0,,0,0,0,0.0,,
17,2005,2005-09-11,1,25.068,IND,@,BAL,W 24-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
18,2005,2005-09-25,3,25.082,IND,,CLE,W 13-6,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
19,2005,2005-10-02,4,25.089,IND,@,TEN,W 31-10,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
20,2005,2005-10-09,5,25.096,IND,@,SFO,W 28-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
21,2005,2005-11-07,8,25.125,IND,@,NWE,W 40-21,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
22,2005,2005-12-24,15,25.172,IND,@,SEA,L 13-28,,,,,,,0.0%,,,,,,,,,,
23,2005,2006-01-01,16,25.180,IND,,ARI,W 17-13,,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,,
24,2006,2006-11-26,11,26.144,TEN,,NYG,W 24-21,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
25,2006,2006-12-03,12,26.151,TEN,,IND,W 20-17,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,0.0,,
26,2006,2006-12-10,13,26.158,TEN,@,HOU,W 26-20,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,,
27,2006,2006-12-17,14,26.165,TEN,,JAX,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
28,2006,2006-12-24,15,26.172,TEN,@,BUF,W 30-29,*,6,2,15,7.50,0,33.3%,2.50,0,0,,0,0,0,0.0,,
29,2006,2006-12-31,16,26.179,TEN,,NWE,L 23-40,,4,2,28,14.00,0,50.0%,7.00,1,5,5.00,0,0,0,0.0,,
30,2007,2007-09-09,1,27.066,TEN,@,JAX,W 13-10,,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,0.0,,
31,2007,2007-09-16,2,27.073,TEN,,IND,L 20-22,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
32,2007,2007-09-24,3,27.081,TEN,@,NOR,W 31-14,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,,
33,2007,2007-10-07,4,27.094,TEN,,ATL,W 20-13,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,,
34,2007,2007-10-14,5,27.101,TEN,@,TAM,L 10-13,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,0.0,,
35,2007,2007-10-21,6,27.108,TEN,@,HOU,W 38-36,,5,2,12,6.00,0,40.0%,2.40,0,0,,0,0,0,0.0,,
36,2007,2007-10-28,7,27.115,TEN,,OAK,W 13-9,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
37,2007,2007-11-04,8,27.122,TEN,,CAR,W 20-7,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,,
38,2007,2007-11-11,9,27.129,TEN,,JAX,L 13-28,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,,
39,2007,2007-11-19,10,27.137,TEN,@,DEN,L 20-34,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
40,2007,2007-11-25,11,27.143,TEN,@,CIN,L 6-35,*,2,1,27,27.00,0,50.0%,13.50,0,0,,0,0,0,0.0,,
41,2007,2007-12-02,12,27.150,TEN,,HOU,W 28-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
42,2007,2007-12-09,13,27.157,TEN,,SDG,L 17-23,,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,0.0,,
43,2007,2007-12-16,14,27.164,TEN,@,KAN,W 26-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
44,2007,2007-12-23,15,27.171,TEN,,NYJ,W 10-6,,2,1,27,27.00,0,50.0%,13.50,0,0,,0,0,0,0.0,,
45,2007,2007-12-30,16,27.178,TEN,@,IND,W 16-10,*,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,0.0,,
46,2008,2008-09-07,1,28.064,ATL,,DET,W 34-21,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,0.0,0,0
47,2008,2008-09-14,2,28.071,ATL,@,TAM,L 9-24,*,1,,,,,0.0%,,,,,,,,,,
48,2008,2008-09-21,3,28.078,ATL,,KAN,W 38-14,*,,,,,,0.0%,,,,,,,,,,
49,2008,2008-09-28,4,28.085,ATL,@,CAR,L 9-24,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
50,2008,2008-10-05,5,28.092,ATL,@,GNB,W 27-24,*,2,,,,,0.0%,,,,,,,,,,
51,2008,2008-10-12,6,28.099,ATL,,CHI,W 22-20,*,,,,,,0.0%,,,,,,,,,,
52,2008,2008-10-26,7,28.113,ATL,@,PHI,L 14-27,*,,,,,,0.0%,,,,,,,,,,
53,2008,2008-11-02,8,28.120,ATL,@,OAK,W 24-0,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,0
54,2008,2008-11-09,9,28.127,ATL,,NOR,W 34-20,*,,,,,,0.0%,,,,,,,,,,
55,2008,2008-11-16,10,28.134,ATL,,DEN,L 20-24,*,,,,,,0.0%,,,,,,,,,,
56,2008,2008-11-23,11,28.141,ATL,,CAR,W 45-28,*,0,,,,,0.0%,,,,,,,,,,
57,2009,2009-09-13,1,29.070,NYJ,@,HOU,W 24-7,,1,,,,,0.0%,,,,,,,,,,
58,2009,2009-09-20,2,29.077,NYJ,,NWE,W 16-9,,,,,,,0.0%,,,,,,,,,,
59,2009,2009-09-27,3,29.084,NYJ,,TEN,W 24-17,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6,0.0,0,0
60,2009,2009-10-04,4,29.091,NYJ,@,NOR,L 10-24,*,,,,,,0.0%,,,,,,,,,,
61,2009,2009-10-12,5,29.099,NYJ,@,MIA,L 27-31,*,0,,,,,0.0%,,,,,,,,,,
