ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-02,1,22.232,NOR,,ATL,L 34-40,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,4,4,100.0,2,2,100.0,0,10,4,148,37.00,0
2,1980,1980-09-07,1,23.238,NOR,,SFO,L 23-26,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,2,100.0,1,3,33.3,0,5,3,86,28.67,0
3,1980,1980-09-14,2,23.245,NOR,@,CHI,L 3-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,1,2,50.0,0,3,8,271,33.88,0
4,1980,1980-09-21,3,23.252,NOR,,BUF,L 26-35,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,281,40.14,0
5,1980,1980-09-28,4,23.259,NOR,@,MIA,L 16-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,241,34.43,0
6,1980,1980-10-05,5,23.266,NOR,,STL,L 7-40,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,289,41.29,0
7,1980,1980-10-12,6,23.273,NOR,@,DET,L 13-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,149,37.25,0
8,1980,1980-10-19,7,23.280,NOR,,ATL,L 14-41,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,113,37.67,0
9,1980,1980-10-26,8,23.287,NOR,@,WAS,L 14-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,172,34.40,0
10,1980,1980-11-02,9,23.294,NOR,@,RAM,L 31-45,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,280,40.00,0
11,1980,1980-11-09,10,23.301,NOR,,PHI,L 21-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,178,44.50,0
12,1980,1980-11-16,11,23.308,NOR,@,ATL,L 13-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,305,43.57,0
13,1980,1980-11-24,12,23.316,NOR,,RAM,L 7-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,8,374,46.75,0
14,1980,1980-11-30,13,23.322,NOR,,MIN,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,204,40.80,0
15,1980,1980-12-07,14,23.329,NOR,@,SFO,L 35-38,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,235,39.17,0
16,1980,1980-12-14,15,23.336,NOR,@,NYJ,W 21-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,161,40.25,0
17,1980,1980-12-21,16,23.343,NOR,,NWE,L 27-38,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,160,40.00,0
18,1981,1981-09-06,1,24.236,NOR,@,ATL,L 0-27,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,202,40.40,0
19,1981,1981-09-13,2,24.243,NOR,,RAM,W 23-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,64,32.00,0
20,1981,1981-09-20,3,24.250,NOR,@,NYG,L 7-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,216,43.20,0
21,1981,1981-09-27,4,24.257,NOR,@,SFO,L 14-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,241,40.17,0
22,1981,1981-10-04,5,24.264,NOR,,PIT,L 6-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,216,43.20,0
23,1981,1981-10-11,6,24.271,NOR,,PHI,L 14-31,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,182,36.40,0
24,1981,1981-10-18,7,24.278,NOR,@,CLE,L 17-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,219,43.80,0
25,1981,1981-10-25,8,24.285,NOR,,CIN,W 17-7,,0,0,,0,0,0,,,,,,1,26,26.00,0,,,,,,,0,0,4,168,42.00,0
26,1981,1981-11-01,9,24.292,NOR,,ATL,L 10-41,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,316,45.14,0
27,1981,1981-11-08,10,24.299,NOR,@,RAM,W 21-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,181,45.25,0
28,1981,1981-11-15,11,24.306,NOR,@,MIN,L 10-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,215,35.83,0
29,1981,1981-11-22,12,24.313,NOR,@,HOU,W 27-24,,0,0,,0,0,0,,,,,,1,-16,-16.00,0,,,,,,,0,0,2,76,38.00,0
30,1981,1981-11-29,13,24.320,NOR,,TAM,L 14-31,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,70,35.00,0
31,1981,1981-12-06,14,24.327,NOR,@,STL,L 3-30,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,1,43,43.00,0
32,1981,1981-12-13,15,24.334,NOR,,GNB,L 7-35,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,124,41.33,0
33,1981,1981-12-20,16,24.341,NOR,,SFO,L 17-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,139,34.75,0
34,1982,1982-09-12,1,25.242,NOR,,STL,L 7-21,,0,0,,0,0,0,,0,,,,0,0,,0,1,1,100.0,,1,0.0,0,1,6,283,47.17,0
35,1982,1982-09-19,2,25.249,NOR,@,CHI,W 10-0,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,8,349,43.63,0
36,1982,1982-11-21,3,25.312,NOR,,KAN,W 27-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,120,40.00,0
37,1982,1982-11-28,4,25.319,NOR,@,SFO,W 23-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,232,38.67,0
38,1982,1982-12-05,5,25.326,NOR,,TAM,L 10-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,103,51.50,0
39,1982,1982-12-12,6,25.333,NOR,@,ATL,L 0-35,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,217,36.17,0
40,1982,1982-12-19,7,25.340,NOR,@,DAL,L 7-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,4,181,45.25,0
41,1982,1982-12-26,8,25.347,NOR,,WAS,L 10-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,11,491,44.64,0
42,1982,1983-01-02,9,25.354,NOR,,ATL,W 35-6,,1,1,100.00,39,1,0,158.3,0,0,39.00,59.00,0,0,,0,,,,,,,0,0,0,0,,0
43,1983,1983-09-04,1,26.234,NOR,,STL,W 28-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,5,223,44.60,0
44,1983,1983-09-11,2,26.241,NOR,@,RAM,L 27-30,,0,0,,0,0,0,,0,,,,1,-10,-10.00,0,,,,,,,0,0,4,179,44.75,0
45,1983,1983-09-18,3,26.248,NOR,,CHI,W 34-31,,1,1,100.00,24,0,0,118.7,0,0,24.00,24.00,0,0,,0,,,,,,,0,0,6,270,45.00,0
46,1983,1983-09-25,4,26.255,NOR,@,DAL,L 20-21,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,5,204,40.80,0
