ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2017,2017-09-17,2,21.254,DAL,@,DEN,L 17-42,,0,0,0,,0,0.0%,
2,2017,2017-09-25,3,21.262,DAL,@,ARI,W 28-17,,1,1,13,13.00,0,100.0%,13.00
3,2017,2017-10-01,4,21.268,DAL,,LAR,L 30-35,,0,0,0,,0,0.0%,
4,2017,2017-10-22,6,21.289,DAL,@,SFO,W 40-10,,0,0,0,,0,0.0%,
5,2017,2017-10-29,7,21.296,DAL,@,WAS,W 33-19,,0,0,0,,0,0.0%,
6,2017,2017-11-12,9,21.310,DAL,@,ATL,L 7-27,,0,0,0,,0,0.0%,
7,2017,2017-11-19,10,21.317,DAL,,PHI,L 9-37,,1,1,14,14.00,0,100.0%,14.00
8,2017,2017-11-23,11,21.321,DAL,,LAC,L 6-28,,0,0,0,,0,0.0%,
9,2017,2017-11-30,12,21.328,DAL,,WAS,W 38-14,,1,1,-2,-2.00,0,100.0%,-2.00
10,2017,2017-12-10,13,21.338,DAL,@,NYG,W 30-10,,2,0,0,,0,0.0%,0.00
11,2017,2017-12-17,14,21.345,DAL,@,OAK,W 20-17,,1,1,8,8.00,0,100.0%,8.00
12,2017,2017-12-24,15,21.352,DAL,,SEA,L 12-21,*,2,0,0,,0,0.0%,0.00
13,2017,2017-12-31,16,21.359,DAL,@,PHI,W 6-0,,1,0,0,,0,0.0%,0.00
