ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1952,1952-09-28,1,22.144,GNB,,CHI,L 14-24,,2,5,40.00,32,0,0,62.1,0,0,6.40,6.40,2,19,9.50,0,0,0,,0,0,,,,,
2,1952,1952-10-05,2,22.151,GNB,,WAS,W 35-20,,7,13,53.85,248,2,1,106.6,0,0,19.08,18.69,1,7,7.00,0,0,0,,0,0,,,,,
3,1952,1952-10-12,3,22.158,GNB,,RAM,L 28-30,,2,4,50.00,40,1,1,85.4,0,0,10.00,3.75,5,14,2.80,0,0,0,,0,0,,,,,
4,1952,1952-10-18,4,22.164,GNB,@,DTX,W 24-14,,4,10,40.00,38,1,0,84.6,0,0,3.80,5.80,2,16,8.00,0,0,0,,0,0,,,,,
5,1952,1952-10-26,5,22.172,GNB,,DET,L 17-52,,10,15,66.67,127,1,2,75.6,0,0,8.47,3.80,1,0,0.00,0,0,0,,0,0,,,,,
6,1952,1952-11-02,6,22.179,GNB,,PHI,W 12-10,*,8,27,29.63,125,1,1,43.3,0,0,4.63,3.70,2,4,2.00,0,0,0,,0,0,,,,,
7,1952,1952-11-09,7,22.186,GNB,@,CHI,W 41-28,,7,13,53.85,91,2,1,83.7,0,0,7.00,6.62,3,11,3.67,0,0,0,,0,0,,,,,
8,1952,1952-11-16,8,22.193,GNB,@,NYG,W 17-3,*,5,11,45.45,36,1,0,83.9,0,0,3.27,5.09,4,11,2.75,1,0,0,,0,1,,,,,
9,1952,1952-11-23,9,22.200,GNB,,DTX,W 42-14,,4,17,23.53,110,2,4,53.7,0,0,6.47,-1.76,1,8,8.00,0,0,0,,0,0,,,,,
10,1952,1952-11-27,10,22.204,GNB,@,DET,L 24-48,*,9,21,42.86,158,0,2,29.6,0,0,7.52,3.24,1,19,19.00,0,0,0,,0,0,,,,,
11,1952,1952-12-07,11,22.214,GNB,@,RAM,L 27-45,,9,19,47.37,231,1,4,70.2,0,0,12.16,3.74,6,-7,-1.17,0,0,0,,0,0,,,,,
