ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2014,2014-09-07,1,23.044,DEN,,IND,W 31-24,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
2,2014,2014-09-14,2,23.051,DEN,,KAN,W 24-17,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
3,2014,2014-09-21,3,23.058,DEN,@,SEA,L 20-26,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
4,2014,2014-10-05,4,23.072,DEN,,ARI,W 41-20,,0,0,,0,5,5,100.0,2,3,66.7,0,11,0,0,,0
5,2014,2014-10-12,5,23.079,DEN,@,NYJ,W 31-17,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
6,2014,2014-10-19,6,23.086,DEN,,SFO,W 42-17,,0,0,,0,6,6,100.0,,,,0,6,0,0,,0
7,2014,2014-10-23,7,23.090,DEN,,SDG,W 35-21,,0,0,,0,5,5,100.0,,1,0.0,0,5,0,0,,0
8,2014,2014-11-02,8,23.100,DEN,@,NWE,L 21-43,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
9,2014,2014-11-09,9,23.107,DEN,@,OAK,W 41-17,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,,0
10,2014,2014-11-16,10,23.114,DEN,@,STL,L 7-22,,0,0,,0,1,1,100.0,,,,0,1,0,0,,0
11,2014,2014-11-23,11,23.121,DEN,,MIA,W 39-36,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
12,2014,2014-12-07,13,23.135,DEN,,BUF,W 24-17,,,,,,,,,,,,,,,,,
13,2014,2014-12-14,14,23.142,DEN,@,SDG,W 22-10,,,,,,,,,,,,,,,,,
14,2014,2014-12-22,15,23.150,DEN,@,CIN,L 28-37,,,,,,,,,,,,,,,,,
15,2014,2014-12-28,16,23.156,DEN,,OAK,W 47-14,,,,,,,,,,,,,,,,,
16,2015,2015-09-13,1,24.050,DEN,,BAL,W 19-13,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0,0,,0
17,2015,2015-09-17,2,24.054,DEN,@,KAN,W 31-24,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
18,2015,2015-09-27,3,24.064,DEN,@,DET,W 24-12,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
19,2015,2015-10-04,4,24.071,DEN,,MIN,W 23-20,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
20,2015,2015-10-11,5,24.078,DEN,@,OAK,W 16-10,,0,0,,0,1,1,100.0,3,3,100.0,0,10,1,41,41.00,0
21,2015,2015-10-18,6,24.085,DEN,@,CLE,W 26-23,,0,0,,0,2,2,100.0,4,5,80.0,0,14,0,0,,0
22,2015,2015-11-01,7,24.099,DEN,,GNB,W 29-10,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
23,2015,2015-11-08,8,24.106,DEN,@,IND,L 24-27,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
24,2015,2015-11-15,9,24.113,DEN,,KAN,L 13-29,,0,0,,0,1,1,100.0,,,,0,1,0,0,,0
25,2015,2015-11-22,10,24.120,DEN,@,CHI,W 17-15,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
26,2015,2015-11-29,11,24.127,DEN,,NWE,W 30-24,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
27,2015,2015-12-06,12,24.134,DEN,@,SDG,W 17-3,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
28,2015,2015-12-13,13,24.141,DEN,,OAK,L 12-15,,0,0,,0,,,,4,5,80.0,0,12,0,0,,0
29,2015,2015-12-20,14,24.148,DEN,@,PIT,L 27-34,,0,0,,0,3,4,75.0,,,,0,3,0,0,,0
30,2015,2015-12-28,15,24.156,DEN,,CIN,W 20-17,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
31,2015,2016-01-03,16,24.162,DEN,,SDG,W 27-20,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
32,2016,2016-09-08,1,25.045,DEN,,CAR,W 21-20,,0,0,,0,3,3,100.0,,,,0,3,0,0,,0
33,2016,2016-09-18,2,25.055,DEN,,IND,W 34-20,,0,0,,0,2,2,100.0,4,5,80.0,0,14,0,0,,0
34,2016,2016-09-25,3,25.062,DEN,@,CIN,W 29-17,,0,0,,0,2,3,66.7,1,1,100.0,0,5,0,0,,0
35,2016,2016-10-02,4,25.069,DEN,@,TAM,W 27-7,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
36,2016,2016-10-09,5,25.076,DEN,,ATL,L 16-23,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
37,2016,2016-10-13,6,25.080,DEN,@,SDG,L 13-21,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
38,2016,2016-10-24,7,25.091,DEN,,HOU,W 27-9,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
39,2016,2016-10-30,8,25.097,DEN,,SDG,W 27-19,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
40,2016,2016-11-06,9,25.104,DEN,@,OAK,L 20-30,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
41,2016,2016-11-13,10,25.111,DEN,@,NOR,W 25-23,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,,0
42,2016,2016-11-27,11,25.125,DEN,,KAN,L 27-30,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
43,2016,2016-12-04,12,25.132,DEN,@,JAX,W 20-10,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
44,2016,2016-12-11,13,25.139,DEN,@,TEN,L 10-13,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
45,2016,2016-12-18,14,25.146,DEN,,NWE,L 3-16,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
46,2016,2016-12-25,15,25.153,DEN,@,KAN,L 10-33,,1,6,6.00,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
47,2016,2017-01-01,16,25.160,DEN,,OAK,W 24-6,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
48,2017,2017-09-11,1,26.048,DEN,,LAC,W 24-21,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
49,2017,2017-09-17,2,26.054,DEN,,DAL,W 42-17,,0,0,,0,6,6,100.0,,1,0.0,0,6,0,0,,0
