ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1990,1990-09-09,1,22.075,DEN,@,RAI,L 9-14,,,0,0,,0,,,,,,,,,,,,
2,1990,1990-09-17,2,22.083,DEN,,KAN,W 24-23,,,0,0,,0,,,,,,,,,,,,
3,1990,1990-09-23,3,22.089,DEN,,SEA,W 34-31,,,0,0,,0,,,,,,,,,,,,
4,1990,1990-09-30,4,22.096,DEN,@,BUF,L 28-29,,,0,0,,0,,,,,,,,,,,,
5,1990,1990-10-08,5,22.104,DEN,,CLE,L 29-30,,,0,0,,0,,,,,,,,,,,,
6,1990,1990-10-14,6,22.110,DEN,,PIT,L 17-34,,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
7,1990,1990-10-21,7,22.117,DEN,@,IND,W 27-17,,,0,0,,0,,,,,,,,,,,,
8,1990,1990-11-04,8,22.131,DEN,@,MIN,L 22-27,,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
9,1990,1990-11-11,9,22.138,DEN,@,SDG,L 7-19,,,0,0,,0,,,,,,,,,,,,
10,1990,1990-11-18,10,22.145,DEN,,CHI,L 13-16,,,0,0,,0,,,,,,,,,,,,
11,1990,1990-11-22,11,22.149,DEN,@,DET,L 27-40,,,1,33,33.00,0,,,0,0,,0,0,0,,0,0,0
12,1990,1990-12-02,12,22.159,DEN,,RAI,L 20-23,,,0,0,,0,,,,,,,,,,,,
13,1990,1990-12-09,13,22.166,DEN,@,KAN,L 20-31,,,3,41,13.67,1,,,0,0,,0,0,0,,0,1,6
14,1990,1990-12-16,14,22.173,DEN,,SDG,W 20-10,,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0
15,1990,1990-12-23,15,22.180,DEN,@,SEA,L 12-17,,,0,0,,0,,,,,,,,,,,,
16,1990,1990-12-30,16,22.187,DEN,,GNB,W 22-13,,,0,0,,0,,,,,,,,,,,,
17,1991,1991-09-01,1,23.067,DEN,,CIN,W 45-14,,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0
18,1991,1991-09-08,2,23.074,DEN,@,RAI,L 13-16,,,1,37,37.00,0,,,0,0,,0,0,0,,0,0,0
19,1991,1991-09-15,3,23.081,DEN,,SEA,W 16-10,,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
20,1991,1991-09-22,4,23.088,DEN,,SDG,W 27-19,,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
21,1991,1991-09-29,5,23.095,DEN,@,MIN,W 13-6,,,0,0,,0,,,0,0,,0,,,,,0,
22,1991,1991-10-06,6,23.102,DEN,@,HOU,L 14-42,,,0,0,,0,,,0,0,,0,,,,,0,
23,1991,1991-10-20,7,23.116,DEN,,KAN,W 19-16,,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
24,1991,1991-10-27,8,23.123,DEN,@,NWE,W 9-6,,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
25,1991,1991-11-03,9,23.130,DEN,,PIT,W 20-13,,,1,1,1.00,0,,,0,0,,0,0,0,,0,0,0
26,1991,1991-11-10,10,23.137,DEN,,RAI,L 16-17,,,0,0,,0,,,0,0,,0,,,,,0,
27,1991,1991-11-17,11,23.144,DEN,@,KAN,W 24-20,,,1,24,24.00,0,,,1,15,15.00,0,0,0,,0,0,0
28,1991,1991-11-24,12,23.151,DEN,@,SEA,L 10-13,,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0
29,1991,1991-12-01,13,23.158,DEN,,NWE,W 20-3,,,0,0,,0,,,0,0,,0,,,,,0,
30,1991,1991-12-08,14,23.165,DEN,@,CLE,W 17-7,,,4,59,14.75,0,,,0,0,,0,0,0,,0,0,0
