ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1968,1968-10-13,5,22.286,ATL,,NYG,W 24-21,1,0,0.00,0,0,0,0
2,1969,1969-12-14,13,23.347,ATL,@,PHI,W 27-3,0,0,,0,1,6,0
3,1970,1970-09-20,1,24.262,ATL,@,NOR,W 14-3,,,,,,,
4,1970,1970-09-27,2,24.269,ATL,@,GNB,L 24-27,,,,,,,
5,1970,1970-10-04,3,24.276,ATL,,SFO,W 21-20,,,,,,,
6,1970,1970-10-11,4,24.283,ATL,@,DAL,L 0-13,,,,,,,
7,1970,1970-10-18,5,24.290,ATL,@,DEN,L 10-24,,,,,,,
8,1970,1970-10-25,6,24.297,ATL,,NOR,W 32-14,,,,,,,
9,1970,1970-11-01,7,24.304,ATL,,CHI,L 14-23,,,,,,,
10,1970,1970-11-08,8,24.311,ATL,@,RAM,T 10-10,,,,,,,
11,1970,1970-11-15,9,24.318,ATL,@,PHI,T 13-13,,,,,,,
12,1970,1970-11-22,10,24.325,ATL,,RAM,L 7-17,0,0,,0,1,0,0
13,1970,1970-11-30,11,24.333,ATL,,MIA,L 7-20,,,,,,,
14,1970,1970-12-06,12,24.339,ATL,@,SFO,L 20-24,,,,,,,
15,1970,1970-12-13,13,24.346,ATL,,PIT,W 27-16,,,,,,,
16,1970,1970-12-20,14,24.353,ATL,,MIN,L 7-37,,,,,,,
17,1971,1971-09-19,1,25.261,ATL,,SFO,W 20-17,,,,,,,
18,1971,1971-09-26,2,25.268,ATL,@,RAM,T 20-20,,,,,,,
19,1971,1971-10-03,3,25.275,ATL,@,DET,L 38-41,,,,,,,
20,1972,1972-09-17,1,26.260,ATL,@,CHI,W 37-21,,,,,,,
21,1972,1972-09-24,2,26.267,ATL,@,NWE,L 20-21,,,,,,,
22,1972,1972-10-01,3,26.274,ATL,,RAM,W 31-3,,,,,,,
23,1972,1972-10-08,4,26.281,ATL,,DET,L 23-26,,,,,,,
24,1972,1972-10-15,5,26.288,ATL,@,NOR,W 21-14,,,,,,,
25,1972,1972-10-22,6,26.295,ATL,@,GNB,W 10-9,,,,,,,
26,1972,1972-10-29,7,26.302,ATL,,SFO,L 14-49,,,,,,,
27,1972,1972-11-05,8,26.309,ATL,@,RAM,L 7-20,,,,,,,
28,1972,1972-11-12,9,26.316,ATL,,NOR,W 36-20,,,,,,,
29,1972,1972-11-20,10,26.324,ATL,@,WAS,L 13-24,,,,,,,
30,1972,1972-11-26,11,26.330,ATL,,DEN,W 23-20,,,,,,,
31,1972,1972-12-03,12,26.337,ATL,,HOU,W 20-10,,,,,,,
32,1972,1972-12-10,13,26.344,ATL,@,SFO,L 0-20,,,,,,,
33,1972,1972-12-17,14,26.351,ATL,,KAN,L 14-17,,,,,,,
