ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1989,1989-12-23,16,22.232,NYJ,,BUF,L 0-37,,,,,,,,,,,,,
2,1990,1990-09-09,1,23.127,NYJ,@,CIN,L 20-25,5,24,4.80,0,,3,39,13.00,0,,,0,0
3,1990,1990-09-16,2,23.134,NYJ,,CLE,W 24-21,14,47,3.36,1,,1,9,9.00,0,,,1,6
4,1990,1990-09-24,3,23.142,NYJ,,BUF,L 7-30,7,36,5.14,1,,0,0,,0,,,1,6
5,1990,1990-09-30,4,23.148,NYJ,@,NWE,W 37-13,12,68,5.67,2,,1,12,12.00,0,,,2,12
6,1990,1990-10-07,5,23.155,NYJ,@,MIA,L 16-20,6,10,1.67,0,,1,9,9.00,0,,,0,0
7,1990,1990-10-14,6,23.162,NYJ,,SDG,L 3-39,5,12,2.40,0,,0,0,,0,,,0,0
8,1990,1990-10-21,7,23.169,NYJ,@,BUF,L 27-30,4,10,2.50,0,,0,0,,0,,,0,0
9,1990,1990-10-28,8,23.176,NYJ,@,HOU,W 17-12,5,29,5.80,0,,0,0,,0,,,0,0
10,1990,1990-11-04,9,23.183,NYJ,,DAL,W 24-9,6,43,7.17,1,,0,0,,0,,,1,6
11,1990,1990-11-11,10,23.190,NYJ,,MIA,L 3-17,7,19,2.71,0,,0,0,,0,,,0,0
12,1990,1990-11-18,11,23.197,NYJ,@,IND,L 14-17,7,12,1.71,0,,0,0,,0,,,0,0
13,1990,1990-11-25,12,23.204,NYJ,,PIT,L 7-24,8,24,3.00,0,,1,2,2.00,0,,,0,0
14,1990,1990-12-02,13,23.211,NYJ,@,SDG,L 17-38,11,53,4.82,0,,0,0,,0,,,0,0
15,1990,1990-12-16,14,23.225,NYJ,,IND,L 21-29,7,56,8.00,1,,0,0,,0,,,1,6
16,1990,1990-12-23,15,23.232,NYJ,,NWE,W 42-7,12,61,5.08,0,,0,0,,0,,,0,0
17,1990,1990-12-30,16,23.239,NYJ,@,TAM,W 16-14,8,35,4.38,0,,1,2,2.00,0,,,0,0
18,1991,1991-09-01,1,24.119,NYJ,,TAM,W 16-13,11,27,2.45,0,,1,2,2.00,0,,,0,0
19,1991,1991-09-08,2,24.126,NYJ,@,SEA,L 13-20,5,21,4.20,0,,0,0,,0,,,0,0
20,1991,1991-09-15,3,24.133,NYJ,,BUF,L 20-23,5,15,3.00,0,,1,7,7.00,0,,,0,0
21,1991,1991-09-23,4,24.141,NYJ,@,CHI,L 13-19,7,35,5.00,1,,1,9,9.00,0,,,1,6
22,1991,1991-09-29,5,24.147,NYJ,,MIA,W 41-23,10,46,4.60,2,,1,5,5.00,0,,,2,12
23,1991,1991-10-06,6,24.154,NYJ,@,CLE,W 17-14,16,59,3.69,1,,1,10,10.00,0,,,1,6
