ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,23.271,ARI,,NOR,W 31-19,,0,0,,0,2,1,55,55.00,1,50.0%,27.50,1,43,43.00,0,,1,6
2,2015,2015-09-20,2,23.278,ARI,@,CHI,W 48-23,,5,42,8.40,1,2,1,3,3.00,0,50.0%,1.50,1,108,108.00,1,,2,12
3,2015,2015-09-27,3,23.285,ARI,,SFO,W 47-7,,7,25,3.57,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,,0,0
4,2015,2015-10-04,4,23.292,ARI,,STL,L 22-24,,3,18,6.00,0,10,4,63,15.75,1,40.0%,6.30,1,19,19.00,0,,1,6
5,2015,2015-10-11,5,23.299,ARI,@,DET,W 42-17,,3,6,2.00,2,0,0,0,,0,0.0%,,1,35,35.00,0,,2,12
6,2015,2015-10-18,6,23.306,ARI,@,PIT,L 13-25,,3,9,3.00,0,1,1,8,8.00,0,100.0%,8.00,6,123,20.50,0,,0,0
7,2015,2015-10-26,7,23.314,ARI,,BAL,W 26-18,,3,5,1.67,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,,0,0
8,2015,2015-11-01,8,23.320,ARI,@,CLE,W 34-20,,1,4,4.00,0,2,2,44,22.00,0,100.0%,22.00,3,63,21.00,0,,0,0
9,2015,2015-11-15,9,23.334,ARI,@,SEA,W 39-32,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,4,79,19.75,0,,0,0
10,2015,2015-11-22,10,23.341,ARI,,CIN,W 34-31,,2,9,4.50,0,2,2,17,8.50,1,100.0%,8.50,3,82,27.33,0,,1,6
11,2015,2015-11-29,11,23.348,ARI,@,SFO,W 19-13,,8,21,2.63,1,4,2,8,4.00,0,50.0%,2.00,2,47,23.50,0,,1,6
12,2015,2015-12-06,12,23.355,ARI,@,STL,W 27-3,*,22,99,4.50,0,3,2,21,10.50,1,66.7%,7.00,0,0,,0,,1,6
13,2015,2015-12-10,13,23.359,ARI,,MIN,W 23-20,*,19,92,4.84,0,7,5,31,6.20,0,71.4%,4.43,0,0,,0,,0,0
14,2015,2015-12-20,14,24.004,ARI,@,PHI,W 40-17,*,29,187,6.45,3,4,4,42,10.50,0,100.0%,10.50,0,0,,0,,3,18
15,2015,2015-12-27,15,24.011,ARI,,GNB,W 38-8,*,9,39,4.33,1,6,3,88,29.33,0,50.0%,14.67,0,0,,0,,1,6
16,2015,2016-01-03,16,24.018,ARI,,SEA,L 6-36,*,11,25,2.27,0,8,3,34,11.33,0,37.5%,4.25,0,0,,0,,0,0
17,2016,2016-09-11,1,24.270,ARI,,NWE,L 21-23,*,16,89,5.56,1,6,4,43,10.75,0,66.7%,7.17,0,0,,0,,1,6
18,2016,2016-09-18,2,24.277,ARI,,TAM,W 40-7,*,12,45,3.75,0,5,3,98,32.67,0,60.0%,19.60,0,0,,0,,0,0
19,2016,2016-09-25,3,24.284,ARI,@,BUF,L 18-33,*,19,83,4.37,2,6,3,28,9.33,0,50.0%,4.67,0,0,,0,,2,12
20,2016,2016-10-02,4,24.291,ARI,,LAR,L 13-17,*,17,83,4.88,0,4,4,41,10.25,0,100.0%,10.25,0,0,,0,,0,0
21,2016,2016-10-06,5,24.295,ARI,@,SFO,W 33-21,*,27,157,5.81,2,6,3,28,9.33,0,50.0%,4.67,0,0,,0,,2,12
22,2016,2016-10-17,6,24.306,ARI,,NYJ,W 28-3,*,22,111,5.05,3,6,3,27,9.00,0,50.0%,4.50,0,0,,0,,3,18
23,2016,2016-10-23,7,24.312,ARI,,SEA,T 6-6,*,33,113,3.42,0,13,8,58,7.25,0,61.5%,4.46,0,0,,0,,0,0
24,2016,2016-10-30,8,24.319,ARI,@,CAR,L 20-30,*,10,24,2.40,0,9,7,84,12.00,0,77.8%,9.33,0,0,,0,,0,0
25,2016,2016-11-13,9,24.333,ARI,,SFO,W 23-20,*,19,55,2.89,1,7,5,46,9.20,1,71.4%,6.57,0,0,,0,,2,12
26,2016,2016-11-20,10,24.340,ARI,@,MIN,L 24-30,*,22,103,4.68,1,11,7,57,8.14,1,63.6%,5.18,0,0,,0,,2,12
27,2016,2016-11-27,11,24.347,ARI,@,ATL,L 19-38,*,13,58,4.46,0,11,8,103,12.88,1,72.7%,9.36,0,0,,0,,1,6
28,2016,2016-12-04,12,24.354,ARI,,WAS,W 31-23,*,18,84,4.67,1,12,9,91,10.11,1,75.0%,7.58,0,0,,0,,2,12
29,2016,2016-12-11,13,24.361,ARI,@,MIA,L 23-26,*,20,80,4.00,0,8,5,41,8.20,0,62.5%,5.13,0,0,,0,1,0,2
30,2016,2016-12-18,14,25.002,ARI,,NOR,L 41-48,*,12,53,4.42,2,5,4,55,13.75,0,80.0%,11.00,0,0,,0,,2,12
31,2016,2016-12-24,15,25.008,ARI,@,SEA,W 34-31,*,28,95,3.39,3,7,4,41,10.25,0,57.1%,5.86,0,0,,0,,3,18
32,2016,2017-01-01,16,25.016,ARI,@,LAR,W 44-6,*,5,6,1.20,0,4,3,38,12.67,0,75.0%,9.50,0,0,,0,,0,0
33,2017,2017-09-10,1,25.268,ARI,@,DET,L 23-35,*,11,23,2.09,0,9,6,67,11.17,0,66.7%,7.44,0,0,,0,,0,0
34,2018,2018-09-09,1,26.267,ARI,,WAS,L 6-24,*,9,37,4.11,1,9,5,30,6.00,0,55.6%,3.33,0,0,,0,,1,6
35,2018,2018-09-16,2,26.274,ARI,@,LAR,L 0-34,*,13,48,3.69,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0
36,2018,2018-09-23,3,26.281,ARI,,CHI,L 14-16,*,12,31,2.58,0,4,4,30,7.50,1,100.0%,7.50,0,0,,0,,1,6
