ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2004,2004-10-31,7,23.296,NWE,@,PIT,L 20-34,,1,1,1.00,0,0,0,,0
2,2004,2004-12-05,12,23.331,NWE,@,CLE,W 42-15,,16,29,1.81,0,0,0,,0
3,2004,2005-01-02,16,23.359,NWE,,SFO,W 21-7,,5,20,4.00,0,0,0,,0
4,2006,2006-09-17,2,25.251,DEN,,KAN,W 9-6,,0,0,,0,1,0,0.00,0
5,2006,2006-11-05,8,25.300,DEN,@,PIT,W 31-20,,3,9,3.00,0,0,0,,0
