ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-12,1,24.097,OAK,@,DEN,W 23-20,,,,,,,0.0%,,,,,,
2,2011,2011-09-18,2,24.103,OAK,@,BUF,L 35-38,,,,,,,0.0%,,,,,,
3,2011,2011-09-25,3,24.110,OAK,,NYJ,W 34-24,,,,,,,0.0%,,,,,,
4,2011,2011-10-02,4,24.117,OAK,,NWE,L 19-31,*,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0
5,2011,2011-10-23,7,24.138,OAK,,KAN,L 0-28,,0,0,0,,0,0.0%,,0,0,0.0,0,0
6,2011,2011-11-06,8,24.152,OAK,,DEN,L 24-38,,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2011,2011-11-10,9,24.156,OAK,@,SDG,W 24-17,,,,,,,0.0%,,,,,,
8,2011,2011-11-20,10,24.166,OAK,@,MIN,W 27-21,,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2011,2011-11-27,11,24.173,OAK,,CHI,W 25-20,,,,,,,0.0%,,,,,,
10,2011,2011-12-04,12,24.180,OAK,@,MIA,L 14-34,,0,,,,,0.0%,,,,,,
11,2011,2011-12-11,13,24.187,OAK,@,GNB,L 16-46,,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2011,2011-12-18,14,24.194,OAK,,DET,L 27-28,,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2011,2011-12-24,15,24.200,OAK,@,KAN,W 16-13,,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2011,2012-01-01,16,24.208,OAK,,SDG,L 26-38,,,,,,,0.0%,,,,,,
15,2012,2012-09-10,1,25.095,OAK,,SDG,L 14-22,,,,,,,0.0%,,,,,,
16,2012,2012-09-16,2,25.101,OAK,@,MIA,L 13-35,*,4,0,0,,0,0.0%,0.00,0,0,0.0,0,0
17,2012,2012-09-23,3,25.108,OAK,,PIT,W 34-31,,1,1,1,1.00,1,100.0%,1.00,1,6,0.0,0,0
18,2012,2012-10-28,7,25.143,OAK,@,KAN,W 26-16,,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2012,2012-11-04,8,25.150,OAK,,TAM,L 32-42,,2,1,8,8.00,0,50.0%,4.00,0,0,0.0,0,0
20,2012,2012-11-11,9,25.157,OAK,@,BAL,L 20-55,,0,0,0,,0,0.0%,,0,0,0.0,0,0
21,2012,2012-11-18,10,25.164,OAK,,NOR,L 17-38,,,,,,,0.0%,,,,,,
22,2012,2012-11-25,11,25.171,OAK,@,CIN,L 10-34,,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2012,2012-12-02,12,25.178,OAK,,CLE,L 17-20,,0,,,,,0.0%,,,,,,
24,2012,2012-12-06,13,25.182,OAK,,DEN,L 13-26,,,,,,,0.0%,,,,,,
25,2012,2012-12-16,14,25.192,OAK,,KAN,W 15-0,,0,0,0,,0,0.0%,,0,0,0.0,0,0
26,2012,2012-12-23,15,25.199,OAK,@,CAR,L 6-17,,,0,0,,0,0.0%,,0,0,0.0,0,0
27,2012,2012-12-30,16,25.206,OAK,@,SDG,L 21-24,,,,,,,0.0%,,,,,,
28,2013,2013-12-22,15,26.198,KAN,,IND,L 7-23,,,,,,,0.0%,,,,,,
29,2013,2013-12-29,16,26.205,KAN,@,SDG,L 24-27,,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,1,0
30,2014,2014-10-26,8,27.141,TEN,,HOU,L 16-30,*,0,,,,,0.0%,,,,,,
31,2014,2014-11-09,9,27.155,TEN,@,BAL,L 7-21,,0,,,,,0.0%,,,,,,
32,2014,2014-11-17,10,27.163,TEN,,PIT,L 24-27,*,,,,,,0.0%,,,,,,
33,2014,2014-12-21,15,27.197,KAN,@,PIT,L 12-20,,,,,,,0.0%,,,,,,
34,2014,2014-12-28,16,27.204,KAN,,SDG,W 19-7,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
35,2015,2015-11-01,7,28.147,DEN,,GNB,W 29-10,,0,0,0,,0,0.0%,,0,0,0.0,0,0
