ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1974,1974-09-15,1,22.204,PHI,@,STL,L 3-7,,,,
2,1974,1974-09-23,2,22.212,PHI,,DAL,W 13-10,,,,
3,1974,1974-09-29,3,22.218,PHI,,BAL,W 30-10,1,2,2.00,0
4,1974,1974-10-06,4,22.225,PHI,@,SDG,W 13-7,1,9,9.00,0
5,1974,1974-10-13,5,22.232,PHI,,NYG,W 35-7,,,,
6,1974,1974-10-20,6,22.239,PHI,@,DAL,L 24-31,1,1,1.00,0
7,1974,1974-10-27,7,22.246,PHI,@,NOR,L 10-14,,,,
8,1974,1974-11-03,8,22.253,PHI,@,PIT,L 0-27,,,,
9,1974,1974-11-10,9,22.260,PHI,,WAS,L 20-27,,,,
10,1974,1974-11-17,10,22.267,PHI,,STL,L 3-13,,,,
11,1974,1974-11-24,11,22.274,PHI,@,WAS,L 7-26,,,,
12,1974,1974-12-01,12,22.281,PHI,,GNB,W 36-14,,,,
13,1974,1974-12-08,13,22.288,PHI,@,NYG,W 20-7,,,,
14,1974,1974-12-15,14,22.295,PHI,,DET,W 28-17,,,,
