ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1977,1977-09-18,1,24.018,NYJ,@,HOU,L 0-20,13,43,3.31,0,0,0,,0,0,0
2,1977,1977-09-25,2,24.025,NYJ,,BAL,L 12-20,12,36,3.00,1,0,0,,0,1,6
3,1977,1977-10-02,3,24.032,NYJ,,NWE,W 30-27,10,31,3.10,0,2,5,2.50,1,1,6
4,1977,1977-10-09,4,24.039,NYJ,@,BUF,W 24-19,13,47,3.62,0,0,0,,0,0,0
5,1977,1977-10-16,5,24.046,NYJ,@,MIA,L 17-21,2,-6,-3.00,0,0,0,,0,0,0
6,1977,1977-10-23,6,24.053,NYJ,,OAK,L 27-28,,,,,,,,,,
7,1977,1977-10-30,7,24.060,NYJ,@,NWE,L 13-24,,,,,,,,,,
8,1977,1977-11-06,8,24.067,NYJ,,MIA,L 10-14,,,,,,,,,,
9,1977,1977-11-13,9,24.074,NYJ,,SEA,L 0-17,,,,,,,,,,
10,1977,1977-11-20,10,24.081,NYJ,@,BAL,L 12-33,,,,,,,,,,
11,1977,1977-11-27,11,24.088,NYJ,,PIT,L 20-23,,,,,,,,,,
12,1977,1977-12-04,12,24.095,NYJ,@,NOR,W 16-13,,,,,,,,,,
13,1977,1977-12-11,13,24.102,NYJ,,BUF,L 10-14,,,,,,,,,,
14,1978,1978-11-05,10,25.066,TAM,@,RAM,L 23-26,,,,,,,,,,
15,1978,1978-11-12,11,25.073,TAM,@,DET,L 23-34,,,,,,,,,,
16,1978,1978-11-19,12,25.080,TAM,,BUF,W 31-10,4,23,5.75,0,0,0,,0,0,0
17,1978,1978-11-26,13,25.087,TAM,@,CHI,L 3-14,,,,,,,,,,
18,1978,1978-12-03,14,25.094,TAM,,GNB,L 7-17,5,16,3.20,0,2,31,15.50,0,0,0
19,1978,1978-12-10,15,25.101,TAM,@,SFO,L 3-6,2,3,1.50,0,0,0,,0,0,0
20,1978,1978-12-17,16,25.108,TAM,,NOR,L 10-17,,,,,,,,,,
