ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-11-20,10,23.264,PHI,@,NYG,W 17-10,,,,,,,,
2,2011,2011-11-27,11,23.271,PHI,,NWE,L 20-38,,0,0,,0,0.0,0,0
3,2011,2011-12-01,12,23.275,PHI,@,SEA,L 14-31,,,,,,,,
4,2011,2011-12-11,13,23.285,PHI,@,MIA,W 26-10,,0,-5,,0,0.0,0,0
5,2011,2011-12-18,14,23.292,PHI,,NYJ,W 45-19,,1,0,0.00,0,0.0,0,0
6,2011,2011-12-24,15,23.298,PHI,@,DAL,W 20-7,,0,0,,0,0.0,0,0
7,2011,2012-01-01,16,23.306,PHI,,WAS,W 34-10,,0,0,,0,0.0,0,0
8,2012,2012-09-09,1,24.192,PHI,@,CLE,W 17-16,,0,0,,0,0.0,0,0
9,2012,2012-09-23,3,24.206,PHI,@,ARI,L 6-27,,,,,,,,
10,2012,2012-09-30,4,24.213,PHI,,NYG,W 19-17,,0,0,,0,0.0,0,0
11,2012,2012-10-07,5,24.220,PHI,@,PIT,L 14-16,,,,,,,,
12,2012,2012-10-14,6,24.227,PHI,,DET,L 23-26,,0,0,,0,0.0,1,0
13,2012,2012-10-28,7,24.241,PHI,,ATL,L 17-30,,,,,,,,
14,2012,2012-11-05,8,24.249,PHI,@,NOR,L 13-28,,0,0,,0,0.0,1,0
15,2012,2012-11-11,9,24.255,PHI,,DAL,L 23-38,,0,0,,0,0.0,1,0
16,2012,2012-11-18,10,24.262,PHI,@,WAS,L 6-31,,,,,,,,
17,2012,2012-11-26,11,24.270,PHI,,CAR,L 22-30,,0,0,,0,0.0,0,0
18,2012,2012-12-02,12,24.276,PHI,@,DAL,L 33-38,,0,0,,0,0.0,1,0
19,2012,2012-12-09,13,24.283,PHI,@,TAM,W 23-21,,0,0,,0,0.0,1,0
20,2012,2012-12-13,14,24.287,PHI,,CIN,L 13-34,,0,0,,0,0.0,0,0
21,2012,2012-12-23,15,24.297,PHI,,WAS,L 20-27,,,,,,,,
22,2012,2012-12-30,16,24.304,PHI,@,NYG,L 7-42,,,,,,,,
23,2013,2013-09-22,3,25.205,CIN,,GNB,W 34-30,,,,,,,,
24,2013,2013-09-29,4,25.212,CIN,@,CLE,L 6-17,,,,,,,,
25,2013,2013-11-10,10,25.254,PHI,@,GNB,W 27-13,,,,,,,,
26,2013,2013-11-17,11,25.261,PHI,,WAS,W 24-16,,,,,,,,
