ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-10-27,8,24.032,SEA,,SDG,W 32-13,0,0,,0,,0,0,,0,0.0%,
2,1996,1996-11-03,9,24.039,SEA,,HOU,W 23-16,0,0,,0,1,0,0,,0,0.0%,0.00
3,1996,1996-11-10,10,24.046,SEA,,MIN,W 42-23,1,2,2.00,0,0,0,0,,0,0.0%,
4,1996,1996-11-17,11,24.053,SEA,@,DET,L 16-17,0,0,,0,1,1,5,5.00,0,100.0%,5.00
5,1996,1996-11-24,12,24.060,SEA,,OAK,L 21-27,0,0,,0,1,0,0,,0,0.0%,0.00
6,1996,1996-12-01,13,24.067,SEA,@,DEN,L 7-34,0,0,,0,,0,0,,0,0.0%,
7,1996,1996-12-08,14,24.074,SEA,,BUF,W 26-18,0,0,,0,,0,0,,0,0.0%,
8,1996,1996-12-15,15,24.081,SEA,@,JAX,L 13-20,1,2,2.00,0,0,0,0,,0,0.0%,
9,1996,1996-12-22,16,24.088,SEA,@,OAK,W 28-21,0,0,,0,,0,0,,0,0.0%,
