ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2014,2014-09-07,1,24.142,WAS,@,HOU,L 6-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,246,49.20,0
2,2014,2014-09-14,2,24.149,WAS,,JAX,W 41-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,199,49.75,0
3,2014,2014-09-21,3,24.156,WAS,@,PHI,L 34-37,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,170,56.67,0
4,2014,2014-09-25,4,24.160,WAS,,NYG,L 14-45,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,4,233,58.25,0
5,2014,2014-10-06,5,24.171,WAS,,SEA,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,8,399,49.88,0
6,2014,2014-10-12,6,24.177,WAS,@,ARI,L 20-30,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,5,237,47.40,0
7,2014,2014-10-19,7,24.184,WAS,,TEN,W 19-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,124,41.33,0
8,2014,2014-10-27,8,24.192,WAS,@,DAL,W 20-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,231,46.20,0
9,2014,2014-11-02,9,24.198,WAS,@,MIN,L 26-29,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,136,45.33,0
10,2014,2014-11-16,10,24.212,WAS,,TAM,L 7-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,177,44.25,0
11,2014,2014-11-23,11,24.219,WAS,@,SFO,L 13-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,8,373,46.63,0
