ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,23.173,BUF,,NWE,L 21-23,*,18,27,66.67,150,2,0,105.5,0,0,5.56,7.04,3,23,7.67,0,0,0,0.0,0,0
2,2013,2013-09-15,2,23.180,BUF,,CAR,W 24-23,*,27,39,69.23,296,1,1,89.3,1,9,7.59,6.95,4,13,3.25,0,0,0,0.0,0,0
3,2013,2013-09-22,3,23.187,BUF,@,NYJ,L 20-27,*,19,42,45.24,243,1,0,71.8,8,35,5.79,6.26,6,40,6.67,0,0,0,0.0,0,0
4,2013,2013-09-29,4,23.194,BUF,,BAL,W 23-20,*,10,22,45.45,167,1,2,48.9,2,20,7.59,4.41,11,1,0.09,0,0,0,0.0,0,0
5,2013,2013-10-03,5,23.198,BUF,@,CLE,L 24-37,*,11,20,55.00,129,0,0,74.8,2,10,6.45,6.45,1,14,14.00,0,0,0,0.0,0,0
6,2013,2013-11-10,10,23.236,BUF,@,PIT,L 10-23,*,22,39,56.41,155,1,1,63.5,3,23,3.97,3.33,2,17,8.50,0,0,0,0.0,1,0
7,2013,2013-11-17,11,23.243,BUF,,NYJ,W 37-14,*,20,28,71.43,245,2,0,121.9,1,0,8.75,10.18,7,9,1.29,0,0,0,0.0,0,0
8,2013,2013-12-01,12,23.257,BUF,,ATL,L 31-34,*,18,32,56.25,210,1,0,86.7,0,0,6.56,7.19,4,3,0.75,1,1,6,0.0,0,0
9,2013,2013-12-08,13,23.264,BUF,@,TAM,L 6-27,*,18,33,54.55,184,0,4,31.2,7,37,5.58,0.12,5,29,5.80,0,0,0,0.0,0,0
10,2013,2013-12-15,14,23.271,BUF,@,JAX,W 27-20,*,17,24,70.83,193,2,1,105.0,4,25,8.04,7.83,10,37,3.70,1,1,6,0.0,1,0
11,2014,2014-09-07,1,24.172,BUF,@,CHI,W 23-20,*,16,22,72.73,173,1,1,91.7,1,6,7.86,6.73,6,19,3.17,1,1,6,0.0,0,0
12,2014,2014-09-14,2,24.179,BUF,,MIA,W 29-10,*,16,26,61.54,202,1,0,98.6,0,0,7.77,8.54,4,6,1.50,0,0,0,0.0,0,0
13,2014,2014-09-21,3,24.186,BUF,,SDG,L 10-22,*,23,39,58.97,238,1,0,85.2,3,33,6.10,6.62,5,24,4.80,0,0,0,0.0,0,0
14,2014,2014-09-28,4,24.193,BUF,@,HOU,L 17-23,*,21,44,47.73,225,2,2,59.4,2,5,5.11,3.98,1,3,3.00,0,0,0,0.0,0,0
15,2014,2014-11-24,11,24.250,BUF,,NYJ,W 38-3,,,,,,,,,,,,,,,,,,,,,
16,2015,2015-09-27,3,25.192,BUF,@,MIA,W 41-14,,0,0,,0,0,0,,0,0,,,1,-2,-2.00,0,0,0,0.0,0,0
17,2015,2015-10-11,5,25.206,BUF,@,TEN,W 14-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
18,2015,2015-10-18,6,25.213,BUF,,CIN,L 21-34,*,28,42,66.67,263,1,1,81.7,2,7,6.26,5.67,6,22,3.67,1,1,6,0.0,0,0
19,2015,2015-10-25,7,25.220,BUF,@,JAX,L 31-34,*,24,42,57.14,298,2,2,75.3,4,38,7.10,5.90,8,38,4.75,0,0,0,0.0,0,0
20,2015,2015-12-13,13,25.269,BUF,@,PHI,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
21,2015,2015-12-20,14,25.276,BUF,@,WAS,L 25-35,,0,0,,0,0,0,,0,0,,,2,6,3.00,0,0,0,0.0,0,0
22,2015,2016-01-03,16,25.290,BUF,,NYJ,W 22-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
23,2016,2016-09-15,2,26.180,BUF,,NYJ,L 31-37,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,2,2,1.00,0,0,0,0.0,0,0
24,2016,2016-10-16,6,26.211,BUF,,SFO,W 45-16,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,3,11,3.67,0,0,0,0.0,0,0
25,2016,2016-10-23,7,26.218,BUF,@,MIA,L 25-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
26,2016,2016-10-30,8,26.225,BUF,,NWE,L 25-41,,1,2,50.00,35,0,0,95.8,1,2,17.50,17.50,0,0,,0,0,0,0.0,0,0
27,2016,2016-12-04,12,26.260,BUF,@,OAK,L 24-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
28,2016,2016-12-18,14,26.274,BUF,,CLE,W 33-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,1.00,0,0,0,0.0,0,0
29,2016,2017-01-01,16,26.288,BUF,@,NYJ,L 10-30,*,9,20,45.00,86,0,0,57.5,2,18,4.30,4.30,2,8,4.00,0,0,0,0.0,0,0
30,2017,2017-10-01,4,27.196,OAK,@,DEN,L 10-16,,11,17,64.71,106,0,1,57.5,1,7,6.24,3.59,0,0,,0,0,0,0.0,0,0
31,2017,2017-10-08,5,27.203,OAK,,BAL,L 17-30,*,13,26,50.00,159,1,0,82.1,3,22,6.12,6.88,2,15,7.50,0,0,0,0.0,0,0
