ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2017,2017-09-11,1,22.048,NOR,@,MIN,L 19-29,,7,18,2.57,0,6,4,20,5.00,0,66.7%,3.33,1,26,26.00,0,0,0,,0,,0,0
2,2017,2017-09-17,2,22.054,NOR,,NWE,L 20-36,,1,3,3.00,0,7,3,51,17.00,0,42.9%,7.29,3,71,23.67,0,0,0,,0,,0,0
3,2017,2017-09-24,3,22.061,NOR,@,CAR,W 34-13,,2,37,18.50,1,5,3,5,1.67,0,60.0%,1.00,0,0,,0,0,0,,0,,1,6
4,2017,2017-10-01,4,22.068,NOR,@,MIA,W 20-0,,5,25,5.00,0,10,10,71,7.10,1,100.0%,7.10,1,23,23.00,0,0,0,,0,,1,6
5,2017,2017-10-15,5,22.082,NOR,,DET,W 52-38,*,10,75,7.50,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0
6,2017,2017-10-22,6,22.089,NOR,@,GNB,W 26-17,,9,57,6.33,0,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,,0,0
7,2017,2017-10-29,7,22.096,NOR,,CHI,W 20-12,,8,28,3.50,1,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,,1,6
8,2017,2017-11-05,8,22.103,NOR,,TAM,W 30-10,,10,68,6.80,1,7,6,84,14.00,1,85.7%,12.00,0,0,,0,0,0,,0,,2,12
9,2017,2017-11-12,9,22.110,NOR,@,BUF,W 47-10,,12,106,8.83,1,5,5,32,6.40,0,100.0%,6.40,0,0,,0,0,0,,0,,1,6
10,2017,2017-11-19,10,22.117,NOR,,WAS,W 34-31,,8,42,5.25,0,9,6,74,12.33,1,66.7%,8.22,0,0,,0,0,0,,0,1,1,8
11,2017,2017-11-26,11,22.124,NOR,@,LAR,L 20-26,*,5,87,17.40,1,6,6,101,16.83,1,100.0%,16.83,0,0,,0,0,0,,0,,2,12
12,2017,2017-12-03,12,22.131,NOR,,CAR,W 31-21,*,9,60,6.67,2,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,,2,12
13,2017,2017-12-07,13,22.135,NOR,@,ATL,L 17-20,,1,2,2.00,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,,0,0
14,2017,2017-12-17,14,22.145,NOR,,NYJ,W 31-19,,12,44,3.67,0,7,6,45,7.50,1,85.7%,6.43,0,0,,0,0,0,,0,,1,6
15,2017,2017-12-24,15,22.152,NOR,,ATL,W 23-13,,12,32,2.67,0,9,7,58,8.29,0,77.8%,6.44,2,72,36.00,0,0,0,,0,,0,0
16,2017,2017-12-31,16,22.159,NOR,@,TAM,L 24-31,,9,44,4.89,1,7,6,84,14.00,0,85.7%,12.00,4,155,38.75,1,0,0,,0,,2,12
17,2018,2018-09-09,1,23.046,NOR,,TAM,L 40-48,*,8,29,3.63,2,12,9,112,12.44,1,75.0%,9.33,0,0,,0,0,0,,0,1,3,20
18,2018,2018-09-16,2,23.053,NOR,,CLE,W 21-18,*,13,46,3.54,0,6,6,53,8.83,0,100.0%,8.83,0,0,,0,0,0,,0,1,0,2
19,2018,2018-09-23,3,23.060,NOR,@,ATL,W 43-37,*,16,66,4.13,0,20,15,124,8.27,0,75.0%,6.20,0,0,,0,3,16,5.33,0,,0,0
