ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1967,1967-10-22,6,23.186,WAS,@,RAM,T 28-28,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
2,1969,1969-10-26,6,25.190,NOR,@,PHI,L 10-13,0,0,,0,,,,,,,0,0,1,7,0
3,1970,1970-10-18,5,26.182,NOR,@,SFO,T 20-20,,,,,,,,,,,,,,,
4,1970,1970-10-25,6,26.189,NOR,@,ATL,L 14-32,,,,,,,,,,,,,,,
5,1970,1970-11-01,7,26.196,NOR,,RAM,L 17-30,,,,,,,,,,,,,,,
6,1970,1970-11-08,8,26.203,NOR,,DET,W 19-17,,,,,,,,,,,,,,,
7,1970,1970-11-15,9,26.210,NOR,@,MIA,L 10-21,,,,,,,,,,,,,,,
8,1970,1970-11-22,10,26.217,NOR,,DEN,L 6-31,,,,,,,,,,,,,,,
9,1970,1970-11-29,11,26.224,NOR,@,CIN,L 6-26,,,,,,,,,,,,,,,
10,1970,1970-12-06,12,26.231,NOR,@,RAM,L 16-34,,,,,,,,,,,,,,,
11,1970,1970-12-13,13,26.238,NOR,,SFO,L 27-38,,,,,,,,,,,,,,,
12,1970,1970-12-20,14,26.245,NOR,,CHI,L 3-24,,,,,,,,,,,,,,,
13,1971,1971-09-19,1,27.153,NOR,,RAM,W 24-20,,,,,,,,,,,,,,,
14,1971,1971-09-26,2,27.160,NOR,,SFO,L 20-38,,,,,,,,,,,,,,,
15,1971,1971-10-03,3,27.167,NOR,@,HOU,T 13-13,,,,,,,,,,,,,,,
16,1971,1971-10-10,4,27.174,NOR,@,CHI,L 14-35,,,,,,,,,,,,,,,
17,1971,1971-10-17,5,27.181,NOR,,DAL,W 24-14,,,,,,,,,,,,,,,
18,1971,1971-10-24,6,27.188,NOR,@,ATL,L 6-28,,,,,,,,,,,,,,,
19,1971,1971-10-31,7,27.195,NOR,@,WAS,L 14-24,,,,,,,,,,,,,,,
20,1971,1971-11-07,8,27.202,NOR,,OAK,T 21-21,,,,,,,,,,,,,,,
21,1971,1971-11-14,9,27.209,NOR,@,SFO,W 26-20,,,,,,,,,,,,,,,
22,1971,1971-11-21,10,27.216,NOR,,MIN,L 10-23,,,,,,,,,,,,,,,
23,1971,1971-11-28,11,27.223,NOR,@,GNB,W 29-21,,,,,,,,,,,,,,,
24,1971,1971-12-05,12,27.230,NOR,@,RAM,L 28-45,1,3,3.00,0,,,,,,,0,0,0,0,0
25,1971,1971-12-12,13,27.237,NOR,,CLE,L 17-21,0,0,,0,,,,,,,0,0,1,21,0
26,1971,1971-12-19,14,27.244,NOR,,ATL,L 20-24,,,,,,,,,,,,,,,
27,1972,1972-09-17,1,28.151,PHI,@,DAL,L 6-28,,,,,,,,,,,,,,,
28,1972,1972-09-24,2,28.158,PHI,,CLE,L 17-27,,,,,,,,,,,,,,,
29,1972,1972-10-02,3,28.166,PHI,,NYG,L 12-27,,,,,,,,,,,,,,,
30,1972,1972-10-08,4,28.172,PHI,@,WAS,L 0-14,,,,,,,,,,,,,,,
31,1972,1972-10-29,7,28.193,PHI,@,NOR,L 3-21,,,,,,,,,,,,,,,
32,1972,1972-12-03,12,28.228,PHI,,WAS,L 7-23,,,,,,,,,,,,,,,
33,1972,1972-12-10,13,28.235,PHI,,CHI,L 12-21,0,0,,0,,,,,,,0,0,1,7,0
34,1972,1972-12-17,14,28.242,PHI,@,STL,L 23-24,,,,,,,,,,,,,,,
