ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2000,2000-09-10,1,23.083,CIN,,CLE,L 7-24,*,8,3,80,26.67,0,37.5%,10.00,1,8,8.00,0,0,0,,0,0,0
2,2000,2000-09-17,2,23.090,CIN,@,JAX,L 0-13,*,11,5,75,15.00,0,45.5%,6.82,0,0,,0,0,0,,0,0,0
3,2000,2000-09-24,3,23.097,CIN,@,BAL,L 0-37,*,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
4,2000,2000-10-01,4,23.104,CIN,,MIA,L 16-31,*,7,4,45,11.25,1,57.1%,6.43,1,3,3.00,0,0,0,,0,1,6
5,2000,2000-10-08,5,23.111,CIN,,TEN,L 14-23,,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0
6,2000,2000-10-15,6,23.118,CIN,@,PIT,L 0-15,*,14,4,21,5.25,0,28.6%,1.50,2,48,24.00,0,1,10,10.00,0,0,0
7,2000,2000-10-22,7,23.125,CIN,,DEN,W 31-21,*,5,1,9,9.00,0,20.0%,1.80,3,90,30.00,1,0,0,,0,1,6
8,2000,2000-10-29,8,23.132,CIN,@,CLE,W 12-3,*,8,3,25,8.33,0,37.5%,3.13,1,1,1.00,0,0,0,,0,0,0
9,2000,2000-11-05,9,23.139,CIN,,BAL,L 7-27,*,6,2,22,11.00,0,33.3%,3.67,2,-3,-1.50,1,0,0,,0,1,6
10,2000,2000-11-12,10,23.146,CIN,@,DAL,L 6-23,,9,4,36,9.00,0,44.4%,4.00,1,-4,-4.00,0,0,0,,0,0,0
11,2000,2000-11-19,11,23.153,CIN,@,NWE,L 13-16,*,12,7,79,11.29,1,58.3%,6.58,0,0,,0,0,0,,0,1,6
12,2000,2000-11-26,12,23.160,CIN,,PIT,L 28-48,*,8,3,25,8.33,1,37.5%,3.13,2,-5,-2.50,0,1,0,0.00,0,1,6
13,2000,2000-12-03,13,23.167,CIN,,ARI,W 24-13,,6,3,42,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0
14,2000,2000-12-10,14,23.174,CIN,@,TEN,L 3-35,*,6,2,32,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0
15,2000,2000-12-17,15,23.181,CIN,,JAX,W 17-14,*,8,3,38,12.67,0,37.5%,4.75,2,4,2.00,0,3,87,29.00,1,1,6
16,2000,2000-12-24,16,23.188,CIN,@,PHI,L 7-16,,8,3,38,12.67,1,37.5%,4.75,1,6,6.00,0,2,26,13.00,0,1,6
17,2001,2001-09-09,1,24.082,CIN,,NWE,W 23-17,*,9,7,38,5.43,0,77.8%,4.22,1,13,13.00,0,1,4,4.00,0,0,0
18,2001,2001-09-23,2,24.096,CIN,,BAL,W 21-10,*,8,3,17,5.67,0,37.5%,2.13,1,7,7.00,0,2,0,0.00,0,0,0
19,2001,2001-09-30,3,24.103,CIN,@,SDG,L 14-28,*,6,4,31,7.75,1,66.7%,5.17,1,3,3.00,0,1,1,1.00,0,1,6
