ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,1999,1999-12-26,15,23.303,NWE,,BUF,L 10-13,,0,,,,,0.0%,,,,,,,,,,,,
2,1999,2000-01-02,16,23.310,NWE,,BAL,W 20-3,,0,,,,,0.0%,,,,,,,,,,,,
3,2003,2003-09-08,1,27.194,PHI,,TAM,L 0-17,,0,0,0,,0,0.0%,,0,0,,0,2,26,13.00,0,0.0,,
4,2003,2003-09-14,2,27.200,PHI,,NWE,L 10-31,,,,,,,0.0%,,,,,,,,,,,,
5,2003,2003-09-28,3,27.214,PHI,@,BUF,W 23-13,,,,,,,0.0%,,,,,,,,,,,,
6,2003,2003-10-05,4,27.221,PHI,,WAS,W 27-25,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,0.0,,
7,2003,2003-10-12,5,27.228,PHI,@,DAL,L 21-23,,,,,,,0.0%,,,,,,,,,,,,
8,2003,2003-10-19,6,27.235,PHI,@,NYG,W 14-10,,,,,,,0.0%,,,,,,,,,,,,
9,2003,2003-10-26,7,27.242,PHI,,NYJ,W 24-17,,,,,,,0.0%,,,,,,,,,,,,
10,2003,2003-11-02,8,27.249,PHI,@,ATL,W 23-16,,,,,,,0.0%,,,,,,,,,,,,
11,2003,2003-11-10,9,27.257,PHI,@,GNB,W 17-14,,,,,,,0.0%,,,,,,,,,,,,
12,2003,2003-11-16,10,27.263,PHI,,NYG,W 28-10,,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,0.0,,
13,2003,2003-11-23,11,27.270,PHI,,NOR,W 33-20,,0,,,,,0.0%,,,,,,,,,,,,
14,2003,2003-11-30,12,27.277,PHI,@,CAR,W 25-16,,0,,,,,0.0%,,,,,,,,,,,,
15,2003,2003-12-07,13,27.284,PHI,,DAL,W 36-10,,0,,,,,0.0%,,,,,,,,,,,,
16,2003,2003-12-15,14,27.292,PHI,@,MIA,W 34-27,,,,,,,0.0%,,,,,,,,,,,,
17,2003,2003-12-21,15,27.298,PHI,,SFO,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,2,30,15.00,0,0.0,,
18,2003,2003-12-27,16,27.304,PHI,@,WAS,W 31-7,,,,,,,0.0%,,,,,,,,,,,,
19,2004,2004-09-12,1,28.199,PIT,,OAK,W 24-21,,0,,,,,0.0%,,,,,,,,,,,,
20,2004,2004-09-19,2,28.206,PIT,@,BAL,L 13-30,,0,,,,,0.0%,,,,,,,,,,,,
21,2004,2004-09-26,3,28.213,PIT,@,MIA,W 13-3,,0,,,,,0.0%,,,,,,,,,,,,
22,2004,2004-10-03,4,28.220,PIT,,CIN,W 28-17,,0,,,,,0.0%,,,,,,,,,,,,
23,2004,2004-10-10,5,28.227,PIT,,CLE,W 34-23,,0,,,,,0.0%,,,,,,,,,,,,
24,2004,2004-10-17,6,28.234,PIT,@,DAL,W 24-20,,0,,,,,0.0%,,,,,,,,,,,,
25,2004,2004-10-31,7,28.248,PIT,,NWE,W 34-20,,,,,,,0.0%,,,,,,,,,,,,
26,2004,2004-11-07,8,28.255,PIT,,PHI,W 27-3,,0,,,,,0.0%,,,,,,,,,,,,
27,2004,2004-11-14,9,28.262,PIT,@,CLE,W 24-10,,0,,,,,0.0%,,,,,,,,,,,,
28,2004,2004-11-21,10,28.269,PIT,@,CIN,W 19-14,,0,,,,,0.0%,,,,,,,,,,,,
29,2004,2004-11-28,11,28.276,PIT,,WAS,W 16-7,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0.0,,
30,2004,2004-12-05,12,28.283,PIT,@,JAX,W 17-16,,,,,,,0.0%,,,,,,,,,,,,
31,2004,2004-12-12,13,28.290,PIT,,NYJ,W 17-6,,0,,,,,0.0%,,,,,,,,,,,,
32,2004,2004-12-18,14,28.296,PIT,@,NYG,W 33-30,,,,,,,0.0%,,,,,,,,,,,,
33,2004,2004-12-26,15,28.304,PIT,,BAL,W 20-7,,,,,,,0.0%,,,,,,,,,,,,
34,2004,2005-01-02,16,28.311,PIT,@,BUF,W 29-24,,2,,,,,0.0%,,,,,,,,,,,,
35,2005,2005-09-11,1,29.197,PIT,,TEN,W 34-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
36,2005,2005-09-18,2,29.204,PIT,@,HOU,W 27-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
37,2005,2005-10-10,4,29.226,PIT,@,SDG,W 24-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
38,2005,2005-10-16,5,29.232,PIT,,JAX,L 17-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
39,2005,2005-10-23,6,29.239,PIT,@,CIN,W 27-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
40,2005,2005-10-31,7,29.247,PIT,,BAL,W 20-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
41,2005,2005-11-06,8,29.253,PIT,@,GNB,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
42,2005,2005-11-13,9,29.260,PIT,,CLE,W 34-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
43,2005,2005-11-20,10,29.267,PIT,@,BAL,L 13-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
44,2005,2005-11-28,11,29.275,PIT,@,IND,L 7-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
45,2005,2005-12-04,12,29.281,PIT,,CIN,L 31-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
46,2005,2005-12-11,13,29.288,PIT,,CHI,W 21-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
