ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,22.057,NYJ,,NWE,L 14-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
2,2007,2007-09-16,2,22.064,NYJ,@,BAL,L 13-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
3,2007,2007-09-23,3,22.071,NYJ,,MIA,W 31-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
4,2007,2007-09-30,4,22.078,NYJ,@,BUF,L 14-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
5,2007,2007-10-07,5,22.085,NYJ,@,NYG,L 24-35,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
6,2007,2007-10-14,6,22.092,NYJ,,PHI,L 9-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
7,2007,2007-10-21,7,22.099,NYJ,@,CIN,L 31-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
8,2007,2007-10-28,8,22.106,NYJ,,BUF,L 3-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,19,0
9,2007,2007-11-04,9,22.113,NYJ,,WAS,L 20-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
10,2007,2007-11-18,10,22.127,NYJ,,PIT,W 19-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
11,2007,2007-11-22,11,22.131,NYJ,@,DAL,L 3-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
12,2007,2007-12-02,12,22.141,NYJ,@,MIA,W 40-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,1,0
13,2007,2007-12-09,13,22.148,NYJ,,CLE,L 18-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
14,2007,2007-12-16,14,22.155,NYJ,@,NWE,L 10-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
15,2007,2007-12-23,15,22.162,NYJ,@,TEN,L 6-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
16,2007,2007-12-30,16,22.169,NYJ,,KAN,W 13-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
17,2008,2008-09-07,1,23.055,NYJ,@,MIA,W 20-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,0,0
18,2008,2008-09-14,2,23.062,NYJ,,NWE,L 10-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
19,2008,2008-09-22,3,23.070,NYJ,@,SDG,L 29-48,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
20,2008,2008-09-28,4,23.076,NYJ,,ARI,W 56-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,3,1,2,32,1
21,2008,2008-10-12,5,23.090,NYJ,,CIN,W 26-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
22,2008,2008-10-19,6,23.097,NYJ,@,OAK,L 13-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
23,2008,2008-10-26,7,23.104,NYJ,,KAN,W 28-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
24,2008,2008-11-02,8,23.111,NYJ,@,BUF,W 26-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,4,1,1,0,0
