ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1976,1976-09-12,1,22.034,KAN,,SDG,L 16-30,,,,,,,,,,,,,,,,,,,,,,,,,
2,1976,1976-09-20,2,22.042,KAN,,OAK,L 21-24,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1976,1976-09-26,3,22.048,KAN,,NOR,L 17-27,4,75,18.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
4,1976,1976-10-03,4,22.055,KAN,@,BUF,L 17-50,3,54,18.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
5,1976,1976-10-10,5,22.062,KAN,@,WAS,W 33-30,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
6,1976,1976-10-17,6,22.069,KAN,@,MIA,W 20-17,3,53,17.67,0,1,59,59.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
7,1976,1976-10-24,7,22.076,KAN,,DEN,L 26-35,4,39,9.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1976,1976-10-31,8,22.083,KAN,@,TAM,W 28-19,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1976,1976-11-07,9,22.090,KAN,,PIT,L 0-45,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
10,1976,1976-11-14,10,22.097,KAN,@,OAK,L 10-21,1,13,13.00,0,1,26,26.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1976,1976-11-21,11,22.104,KAN,,CIN,L 24-27,2,32,16.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0
12,1976,1976-11-28,12,22.111,KAN,@,SDG,W 23-20,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1976,1976-12-05,13,22.118,KAN,@,DEN,L 16-17,3,53,17.67,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1976,1976-12-12,14,22.125,KAN,,CLE,W 39-14,3,67,22.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1977,1977-09-18,1,23.040,KAN,@,NWE,L 17-21,3,76,25.33,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1977,1977-09-25,2,23.047,KAN,,SDG,L 7-23,1,19,19.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
17,1977,1977-10-03,3,23.055,KAN,,OAK,L 28-37,3,75,25.00,1,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
18,1977,1977-10-09,4,23.061,KAN,@,DEN,L 7-23,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,1977,1977-10-16,5,23.068,KAN,,BAL,L 6-17,0,0,,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
20,1977,1977-10-23,6,23.075,KAN,@,SDG,W 21-16,1,30,30.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
21,1977,1977-10-30,7,23.082,KAN,@,CLE,L 7-44,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
22,1977,1977-11-06,8,23.089,KAN,,GNB,W 20-10,3,37,12.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
23,1977,1977-11-13,9,23.096,KAN,@,CHI,L 27-28,,,,,,,,,,,,,,,,,,,,,,,,,
24,1977,1977-11-20,10,23.103,KAN,,DEN,L 7-14,3,31,10.33,1,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
25,1977,1977-11-27,11,23.110,KAN,@,HOU,L 20-34,3,68,22.67,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
26,1977,1977-12-04,12,23.117,KAN,,CIN,L 7-27,4,80,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
27,1977,1977-12-11,13,23.124,KAN,,SEA,L 31-34,,,,,,,,,,,,,,,,,,,,,,,,,
28,1977,1977-12-18,14,23.131,KAN,@,OAK,L 20-21,0,0,,0,2,9,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
29,1978,1978-09-03,1,24.025,KAN,@,CIN,W 24-23,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
30,1978,1978-09-10,2,24.032,KAN,,HOU,L 17-20,2,26,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1978,1978-09-17,3,24.039,KAN,@,NYG,L 10-26,,,,,,,,,,,,,,,,,,,,,,,,,
32,1978,1978-09-24,4,24.046,KAN,,DEN,L 17-23,,,,,,,,,,,,,,,,,,,,,,,,,
33,1978,1978-10-01,5,24.053,KAN,@,BUF,L 13-28,0,0,,0,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
34,1978,1978-10-08,6,24.060,KAN,,TAM,L 13-30,5,89,17.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
35,1978,1978-10-15,7,24.067,KAN,@,OAK,L 6-28,,,,,,,,,,,,,,,,,,,,,,,,,
36,1978,1978-10-22,8,24.074,KAN,,CLE,W 17-3,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
37,1978,1978-10-29,9,24.081,KAN,@,PIT,L 24-27,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
