ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,24.318,CIN,@,TEN,L 35-36,,0,0,,0,0,0,1,5,0
2,1999,1999-09-19,2,24.325,CIN,,SDG,L 7-34,*,,,,,,,,,
3,1999,1999-09-26,3,24.332,CIN,@,CAR,L 3-27,*,,,,,,,,,
4,1999,1999-10-03,4,24.339,CIN,,STL,L 10-38,*,,,,,,,,,
5,1999,1999-10-10,5,24.346,CIN,@,CLE,W 18-17,*,,,,,,,,,
6,1999,1999-10-17,6,24.353,CIN,,PIT,L 3-17,,,,,,,,,,
7,1999,1999-10-24,7,24.360,CIN,@,IND,L 10-31,,,,,,,,,,
8,1999,1999-10-31,8,25.002,CIN,,JAX,L 10-41,,,,,,,,,,
9,1999,1999-11-07,9,25.009,CIN,@,SEA,L 20-37,,,,,,,,,,
10,1999,1999-11-14,10,25.016,CIN,,TEN,L 14-24,*,,,,,,,,,
11,1999,1999-11-21,11,25.023,CIN,,BAL,L 31-34,*,,,,,,,,,
12,1999,1999-11-28,12,25.030,CIN,@,PIT,W 27-20,*,0,0,,0,1,6,2,67,1
13,1999,1999-12-05,13,25.037,CIN,,SFO,W 44-30,*,,,,,,,,,
14,1999,1999-12-12,14,25.044,CIN,,CLE,W 44-28,*,,,,,,,,,
15,1999,1999-12-26,15,25.058,CIN,@,BAL,L 0-22,,,,,,,,,,
16,1999,2000-01-02,16,25.065,CIN,@,JAX,L 7-24,,,,,,,,,,
17,2000,2000-09-10,1,25.317,CIN,,CLE,L 7-24,,,,,,,,,,
18,2000,2000-09-17,2,25.324,CIN,@,JAX,L 0-13,,,,,,,,,,
19,2000,2000-09-24,3,25.331,CIN,@,BAL,L 0-37,,1,22,22.00,0,0,0,0,0,0
20,2000,2000-10-01,4,25.338,CIN,,MIA,L 16-31,,,,,,,,,,
21,2000,2000-10-08,5,25.345,CIN,,TEN,L 14-23,,,,,,,,,,
22,2000,2000-10-15,6,25.352,CIN,@,PIT,L 0-15,*,,,,,,,,,
23,2000,2000-10-22,7,25.359,CIN,,DEN,W 31-21,*,,,,,,,,,
24,2000,2000-10-29,8,26.000,CIN,@,CLE,W 12-3,*,,,,,,,,,
25,2000,2000-11-05,9,26.007,CIN,,BAL,L 7-27,*,,,,,,,,,
26,2000,2000-11-12,10,26.014,CIN,@,DAL,L 6-23,,,,,,,,,,
27,2000,2000-11-19,11,26.021,CIN,@,NWE,L 13-16,*,,,,,,,,,
28,2000,2000-11-26,12,26.028,CIN,,PIT,L 28-48,*,,,,,,,,,
29,2000,2000-12-03,13,26.035,CIN,,ARI,W 24-13,,,,,,,,,,
30,2001,2001-09-09,1,26.315,CIN,,NWE,W 23-17,*,,,,,,,,,
31,2001,2001-09-23,2,26.329,CIN,,BAL,W 21-10,*,,,,,,,,,
32,2001,2001-09-30,3,26.336,CIN,@,SDG,L 14-28,*,,,,,,,,,
33,2001,2001-10-07,4,26.343,CIN,@,PIT,L 7-16,*,,,,,,,,,
34,2001,2001-10-14,5,26.350,CIN,,CLE,W 24-14,*,,,,,,,,,
35,2002,2002-09-15,2,27.321,ATL,,CHI,L 13-14,,,,,,,,,,
