ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2011,2011-12-24,15,23.354,PIT,,STL,W 27-0,,1,10,10.00,1,1,6
2,2011,2012-01-01,16,23.362,PIT,@,CLE,W 13-9,,9,31,3.44,0,0,0
