ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1980,1980-12-22,16,22.030,PIT,@,SDG,L 17-26,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1981,1981-11-01,9,22.344,PIT,,SFO,L 14-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,0,
3,1981,1981-11-08,10,22.351,PIT,@,SEA,L 21-24,,0,0,,0,0,0,,0,,,,0,0,,0,1,90,90.00,1,1,3,3.00,0,1,6
4,1981,1981-11-15,11,22.358,PIT,@,ATL,W 34-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,-4,-1.33,0,0,0,,0,0,0,,0,0,0
5,1981,1981-11-22,12,23.000,PIT,@,CLE,W 32-10,,0,0,,0,0,0,,0,,,,1,5,5.00,0,0,0,,0,0,0,,0,0,0
6,1981,1981-11-29,13,23.007,PIT,,RAM,W 24-0,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,0,
7,1981,1981-12-07,14,23.015,PIT,@,OAK,L 27-30,,17,27,62.96,244,2,2,86.0,4,38,9.04,7.19,3,29,9.67,1,0,0,,0,0,0,,0,1,6
8,1981,1981-12-13,15,23.021,PIT,,CIN,L 10-17,*,15,30,50.00,137,1,2,46.1,3,17,4.57,2.23,3,19,6.33,0,0,0,,0,0,0,,0,0,0
9,1981,1981-12-20,16,23.028,PIT,@,HOU,L 20-21,*,13,30,43.33,172,0,1,48.2,3,21,5.73,4.23,6,19,3.17,1,0,0,,0,0,0,,0,1,6
10,1983,1983-11-24,13,25.002,PIT,@,DET,L 3-45,,2,8,25.00,16,0,1,0.0,0,0,2.00,-3.63,0,0,,0,0,0,,0,0,0,,0,0,0
11,1983,1983-12-18,16,25.026,PIT,@,CLE,L 17-30,,7,12,58.33,108,1,1,81.3,1,11,9.00,6.92,0,0,,0,0,0,,0,0,0,,0,0,0
12,1984,1984-09-02,1,25.285,PIT,,KAN,L 27-37,,11,24,45.83,233,1,1,77.3,2,21,9.71,8.67,2,6,3.00,0,0,0,,0,0,0,,0,0,0
13,1984,1984-10-01,5,25.314,PIT,,CIN,W 38-17,,0,0,,0,0,0,,0,,,,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
14,1984,1984-10-07,6,25.320,PIT,,MIA,L 7-31,,19,42,45.24,228,0,2,42.6,3,20,5.43,3.29,1,-7,-7.00,0,0,0,,0,0,0,,0,0,0
15,1984,1984-10-14,7,25.327,PIT,@,SFO,W 20-17,*,11,18,61.11,156,1,1,84.5,1,7,8.67,7.28,3,2,0.67,0,0,0,,0,0,0,,0,0,0
16,1984,1984-10-21,8,25.334,PIT,@,IND,L 16-17,,2,3,66.67,71,0,0,109.7,1,5,23.67,23.67,0,0,,0,0,0,,0,0,0,,0,0,0
17,1984,1984-10-28,9,25.341,PIT,,ATL,W 35-10,*,11,21,52.38,162,3,2,77.9,3,21,7.71,6.29,0,0,,0,0,0,,0,0,0,,0,0,0
