ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-09-11,1,22.032,MIN,,NOR,W 29-19,*,22,127,5.77,0,5,3,10,3.33,0,60.0%,2.00,0,0
2,2017,2017-09-17,2,22.038,MIN,@,PIT,L 9-26,*,12,64,5.33,0,3,2,0,0.00,0,66.7%,0.00,0,0
3,2017,2017-09-24,3,22.045,MIN,,TAM,W 34-17,*,27,97,3.59,1,5,5,72,14.40,0,100.0%,14.40,1,6
4,2017,2017-10-01,4,22.052,MIN,,DET,L 7-14,*,13,66,5.08,1,3,1,8,8.00,0,33.3%,2.67,1,6
5,2018,2018-09-09,1,23.030,MIN,,SFO,W 24-16,*,16,40,2.50,0,7,6,55,9.17,0,85.7%,7.86,0,0
6,2018,2018-09-16,2,23.037,MIN,@,GNB,T 29-29,*,10,38,3.80,0,5,3,52,17.33,0,60.0%,10.40,0,0
7,2018,2018-09-27,4,23.048,MIN,@,LAR,L 31-38,*,10,20,2.00,0,0,0,0,,0,0.0%,,0,0
