ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1969,1969-09-21,1,22.252,NOR,,WAS,L 20-26,2,2,100.0,2,3,66.7,0,8
2,1969,1969-09-28,2,22.259,NOR,,DAL,L 17-21,2,2,100.0,1,3,33.3,0,5
3,1969,1969-10-05,3,22.266,NOR,@,RAM,L 17-36,2,2,100.0,1,2,50.0,0,5
4,1969,1969-10-12,4,22.273,NOR,,CLE,L 17-27,2,2,100.0,1,1,100.0,0,5
5,1969,1969-10-19,5,22.280,NOR,,BAL,L 10-30,1,1,100.0,1,2,50.0,0,4
6,1969,1969-10-26,6,22.287,NOR,@,PHI,L 10-13,1,1,100.0,1,2,50.0,0,4
7,1969,1969-11-02,7,22.294,NOR,@,STL,W 51-42,6,7,85.7,1,4,25.0,0,9
8,1969,1969-11-09,8,22.301,NOR,@,DAL,L 17-33,2,2,100.0,1,2,50.0,0,5
9,1969,1969-11-16,9,22.308,NOR,@,NYG,W 25-24,1,2,50.0,4,5,80.0,0,13
10,1969,1969-11-23,10,22.315,NOR,,SFO,W 43-38,5,5,100.0,2,5,40.0,0,11
11,1969,1969-11-30,11,22.322,NOR,,PHI,W 26-17,2,2,100.0,4,7,57.1,0,14
12,1969,1969-12-07,12,22.329,NOR,@,ATL,L 17-45,2,2,100.0,1,3,33.3,0,5
13,1969,1969-12-14,13,22.336,NOR,@,WAS,L 14-17,2,2,100.0,,,,0,2
14,1969,1969-12-21,14,22.343,NOR,,PIT,W 27-24,3,3,100.0,2,2,100.0,0,9
15,1970,1970-09-20,1,23.251,NOR,,ATL,L 3-14,,,,1,4,25.0,0,3
16,1970,1970-09-27,2,23.258,NOR,@,MIN,L 0-26,,,,,3,0.0,0,0
17,1970,1970-10-04,3,23.265,NOR,,NYG,W 14-10,2,2,100.0,,1,0.0,0,2
18,1970,1970-10-11,4,23.272,NOR,@,STL,L 17-24,2,2,100.0,1,3,33.3,0,5
19,1970,1970-10-18,5,23.279,NOR,@,SFO,T 20-20,2,2,100.0,2,2,100.0,0,8
20,1970,1970-10-25,6,23.286,NOR,@,ATL,L 14-32,2,2,100.0,,1,0.0,0,2
21,1970,1970-11-01,7,23.293,NOR,,RAM,L 17-30,2,2,100.0,1,1,100.0,0,5
22,1970,1970-11-08,8,23.300,NOR,,DET,W 19-17,1,1,100.0,4,5,80.0,0,13
23,1970,1970-11-15,9,23.307,NOR,@,MIA,L 10-21,1,1,100.0,1,1,100.0,0,4
24,1970,1970-11-22,10,23.314,NOR,,DEN,L 6-31,,,,2,3,66.7,0,6
25,1970,1970-11-29,11,23.321,NOR,@,CIN,L 6-26,,,,2,3,66.7,0,6
26,1970,1970-12-06,12,23.328,NOR,@,RAM,L 16-34,1,1,100.0,3,3,100.0,0,10
27,1970,1970-12-13,13,23.335,NOR,,SFO,L 27-38,3,4,75.0,,1,0.0,0,3
28,1970,1970-12-20,14,23.342,NOR,,CHI,L 3-24,,,,1,3,33.3,0,3
29,1971,1971-11-21,10,24.313,PHI,@,STL,W 37-20,4,4,100.0,3,5,60.0,0,13
30,1971,1971-11-28,11,24.320,PHI,,WAS,L 13-20,1,2,50.0,,1,0.0,0,1
31,1971,1971-12-05,12,24.327,PHI,@,DET,W 23-20,2,2,100.0,3,3,100.0,0,11
32,1971,1971-12-12,13,24.334,PHI,,STL,W 19-7,1,1,100.0,4,5,80.0,0,13
33,1971,1971-12-19,14,24.341,PHI,@,NYG,W 41-28,5,5,100.0,2,3,66.7,0,11
34,1972,1972-09-17,1,25.249,PHI,@,DAL,L 6-28,,,,2,4,50.0,0,6
35,1972,1972-09-24,2,25.256,PHI,,CLE,L 17-27,2,2,100.0,1,3,33.3,0,5
36,1972,1972-10-02,3,25.264,PHI,,NYG,L 12-27,,1,0.0,2,3,66.7,0,6
37,1972,1972-10-08,4,25.270,PHI,@,WAS,L 0-14,,,,,1,0.0,0,0
38,1972,1972-10-15,5,25.277,PHI,,RAM,L 3-34,,,,1,1,100.0,0,3
39,1972,1972-10-22,6,25.284,PHI,@,KAN,W 21-20,3,3,100.0,,,,0,3
40,1972,1972-10-29,7,25.291,PHI,@,NOR,L 3-21,,,,1,2,50.0,0,3
41,1972,1972-11-05,8,25.298,PHI,,STL,T 6-6,,,,2,4,50.0,0,6
42,1972,1972-11-12,9,25.305,PHI,@,HOU,W 18-17,,,,6,7,85.7,0,18
43,1972,1972-11-19,10,25.312,PHI,,DAL,L 7-28,1,1,100.0,,2,0.0,0,1
44,1972,1972-11-26,11,25.319,PHI,@,NYG,L 10-62,1,1,100.0,1,1,100.0,0,4
45,1972,1972-12-03,12,25.326,PHI,,WAS,L 7-23,1,1,100.0,,1,0.0,0,1
46,1972,1972-12-10,13,25.333,PHI,,CHI,L 12-21,1,1,100.0,1,3,33.3,0,4
47,1972,1972-12-17,14,25.340,PHI,@,STL,L 23-24,2,2,100.0,3,3,100.0,0,11
48,1973,1973-09-16,1,26.247,PHI,,STL,L 23-34,2,2,100.0,3,3,100.0,0,11
49,1973,1973-09-23,2,26.254,PHI,@,NYG,T 23-23,2,2,100.0,3,4,75.0,0,11
50,1973,1973-09-30,3,26.261,PHI,,WAS,L 7-28,1,1,100.0,,2,0.0,0,1
51,1973,1973-10-07,4,26.268,PHI,@,BUF,L 26-27,2,2,100.0,4,6,66.7,0,14
52,1973,1973-10-14,5,26.275,PHI,@,STL,W 27-24,3,3,100.0,2,4,50.0,0,9
53,1973,1973-10-21,6,26.282,PHI,@,MIN,L 21-28,3,3,100.0,,1,0.0,0,3
54,1973,1973-10-28,7,26.289,PHI,,DAL,W 30-16,3,3,100.0,3,5,60.0,0,12
55,1973,1973-11-04,8,26.296,PHI,,NWE,W 24-23,3,3,100.0,1,1,100.0,0,6
56,1973,1973-11-11,9,26.303,PHI,,ATL,L 27-44,3,3,100.0,2,2,100.0,0,9
57,1973,1973-11-18,10,26.310,PHI,@,DAL,L 10-31,1,1,100.0,1,2,50.0,0,4
58,1973,1973-11-25,11,26.317,PHI,,NYG,W 20-16,2,2,100.0,2,3,66.7,0,8
59,1973,1973-12-02,12,26.324,PHI,@,SFO,L 28-38,4,4,100.0,,2,0.0,0,4
60,1973,1973-12-09,13,26.331,PHI,,NYJ,W 24-23,3,3,100.0,1,2,50.0,0,6
61,1973,1973-12-16,14,26.338,PHI,@,WAS,L 20-38,2,2,100.0,2,3,66.7,0,8
62,1974,1974-09-15,1,27.246,PHI,@,STL,L 3-7,,,,1,1,100.0,0,3
63,1974,1974-09-23,2,27.254,PHI,,DAL,W 13-10,1,1,100.0,2,2,100.0,0,7
64,1974,1974-09-29,3,27.260,PHI,,BAL,W 30-10,3,3,100.0,3,3,100.0,0,12
65,1974,1974-10-06,4,27.267,PHI,@,SDG,W 13-7,1,2,50.0,,,,0,1
66,1974,1974-10-13,5,27.274,PHI,,NYG,W 35-7,5,5,100.0,,2,0.0,0,5
67,1974,1974-10-20,6,27.281,PHI,@,DAL,L 24-31,3,3,100.0,1,1,100.0,0,6
68,1974,1974-10-27,7,27.288,PHI,@,NOR,L 10-14,1,1,100.0,1,2,50.0,0,4
69,1974,1974-11-03,8,27.295,PHI,@,PIT,L 0-27,,,,,1,0.0,0,0
70,1974,1974-11-10,9,27.302,PHI,,WAS,L 20-27,2,2,100.0,,,,0,2
71,1974,1974-11-17,10,27.309,PHI,,STL,L 3-13,,,,1,2,50.0,0,3
72,1974,1974-11-24,11,27.316,PHI,@,WAS,L 7-26,1,1,100.0,,,,0,1
73,1974,1974-12-01,12,27.323,PHI,,GNB,W 36-14,3,5,60.0,1,1,100.0,0,6
74,1974,1974-12-08,13,27.330,PHI,@,NYG,W 20-7,2,3,66.7,,,,0,2
75,1974,1974-12-15,14,27.337,PHI,,DET,W 28-17,4,4,100.0,,1,0.0,0,4
76,1975,1975-09-21,1,28.252,RAM,@,DAL,L 7-18,1,1,100.0,,,,0,1
77,1975,1975-09-28,2,28.259,RAM,@,SFO,W 23-14,2,2,100.0,3,3,100.0,0,11
78,1975,1975-10-05,3,28.266,RAM,,BAL,W 24-13,3,3,100.0,1,1,100.0,0,6
79,1975,1975-10-12,4,28.273,RAM,@,SDG,W 13-10,1,1,100.0,2,4,50.0,0,7
80,1975,1975-10-19,5,28.280,RAM,,ATL,W 22-7,1,2,50.0,3,4,75.0,0,10
81,1975,1975-10-26,6,28.287,RAM,,NOR,W 38-14,5,5,100.0,1,1,100.0,0,8
82,1975,1975-11-03,7,28.295,RAM,@,PHI,W 42-3,6,6,100.0,,,,0,6
83,1975,1975-11-09,8,28.301,RAM,,SFO,L 23-24,2,3,66.7,1,1,100.0,0,5
84,1975,1975-11-16,9,28.308,RAM,@,ATL,W 16-7,1,1,100.0,3,3,100.0,0,10
85,1975,1975-11-23,10,28.315,RAM,,CHI,W 38-10,5,5,100.0,1,1,100.0,0,8
86,1975,1975-11-27,11,28.319,RAM,@,DET,W 20-0,2,3,66.7,,,,0,2
87,1975,1975-12-07,12,28.329,RAM,@,NOR,W 14-7,,1,0.0,2,2,100.0,0,6
