ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-09-11,1,26.013,NYJ,,DAL,W 27-24,,6,239,39.83,0
2,2011,2011-09-18,2,26.020,NYJ,,JAX,W 32-3,,5,194,38.80,0
3,2011,2011-09-25,3,26.027,NYJ,@,OAK,L 24-34,,5,230,46.00,0
4,2011,2011-10-02,4,26.034,NYJ,@,BAL,L 17-34,,8,346,43.25,0
5,2011,2011-10-09,5,26.041,NYJ,@,NWE,L 21-30,,7,319,45.57,0
6,2011,2011-10-17,6,26.049,NYJ,,MIA,W 24-6,,8,388,48.50,0
7,2011,2011-10-23,7,26.055,NYJ,,SDG,W 27-21,,3,110,36.67,0
8,2011,2011-11-06,8,26.069,NYJ,@,BUF,W 27-11,,2,71,35.50,0
9,2011,2011-11-13,9,26.076,NYJ,,NWE,L 16-37,,5,242,48.40,0
10,2011,2011-11-17,10,26.080,NYJ,@,DEN,L 13-17,,6,230,38.33,0
11,2011,2011-11-27,11,26.090,NYJ,,BUF,W 28-24,,5,208,41.60,0
12,2011,2011-12-04,12,26.097,NYJ,@,WAS,W 34-19,,5,223,44.60,0
13,2011,2011-12-11,13,26.104,NYJ,,KAN,W 37-10,,7,314,44.86,0
14,2011,2011-12-18,14,26.111,NYJ,@,PHI,L 19-45,,6,242,40.33,0
15,2011,2011-12-24,15,26.117,NYJ,,NYG,L 14-29,,9,379,42.11,0
16,2011,2012-01-01,16,26.125,NYJ,@,MIA,L 17-19,,5,191,38.20,0
