ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.307,OAK,@,IND,L 17-21,,,,,,,0.0%,,,,,,
2,2013,2013-09-15,2,22.314,OAK,,JAX,W 19-9,,,,,,,0.0%,,,,,,
3,2013,2013-09-23,3,22.322,OAK,@,DEN,L 21-37,,,,,,,0.0%,,,,,,
4,2013,2013-09-29,4,22.328,OAK,,WAS,L 14-24,,,,,,,0.0%,,,,,,
5,2013,2013-10-06,5,22.335,OAK,,SDG,W 27-17,,,,,,,0.0%,,,,,,
6,2013,2013-10-13,6,22.342,OAK,@,KAN,L 7-24,,,,,,,0.0%,,,,,,
7,2013,2013-10-27,7,22.356,OAK,,PIT,W 21-18,,,,,,,0.0%,,,,,,
8,2013,2013-11-03,8,22.363,OAK,,PHI,L 20-49,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
9,2013,2013-11-10,9,23.005,OAK,@,NYG,L 20-24,*,,,,,,0.0%,,,,,,
10,2013,2013-11-17,10,23.012,OAK,@,HOU,W 28-23,,,,,,,0.0%,,,,,,
11,2013,2013-11-24,11,23.019,OAK,,TEN,L 19-23,,1,0,0,,0,0.0%,0.00,0,0,0.0,1,0
12,2013,2013-11-28,12,23.023,OAK,@,DAL,L 24-31,,,,,,,0.0%,,,,,,
13,2013,2013-12-08,13,23.033,OAK,@,NYJ,L 27-37,,,,,,,0.0%,,,,,,
14,2013,2013-12-15,14,23.040,OAK,,KAN,L 31-56,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
15,2013,2013-12-22,15,23.047,OAK,@,SDG,L 13-26,,,,,,,0.0%,,,,,,
16,2013,2013-12-29,16,23.054,OAK,,DEN,L 14-34,,2,1,9,9.00,1,50.0%,4.50,1,6,0.0,0,0
