ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,23.190,MIA,@,BUF,W 9-7,,,,,,,,,,,,,,
2,1979,1979-09-09,2,23.197,MIA,,SEA,W 19-10,,,,,,,,,,,,,,
3,1979,1979-09-16,3,23.204,MIA,@,MIN,W 27-12,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
4,1979,1979-09-23,4,23.211,MIA,,CHI,W 31-16,2,45,22.50,0,0,0,,0,0,0,0.0,0,0,0
5,1979,1979-09-30,5,23.218,MIA,@,NYJ,L 27-33,1,19,19.00,0,0,0,,0,0,0,0.0,0,0,0
6,1979,1979-10-08,6,23.226,MIA,@,OAK,L 3-13,,,,,,,,,,,,,,
7,1979,1979-10-14,7,23.232,MIA,,BUF,W 17-7,0,0,,0,2,10,5.00,0,0,0,0.0,0,0,0
8,1979,1979-10-21,8,23.239,MIA,@,NWE,L 13-28,,,,,,,,,,,,,,
9,1979,1979-10-28,9,23.246,MIA,,GNB,W 27-7,,,,,,,,,,,,,,
10,1979,1979-11-05,10,23.254,MIA,,HOU,L 6-9,,,,,,,,,,,,,,
11,1979,1979-11-11,11,23.260,MIA,,BAL,W 19-0,,,,,,,,,,,,,,
12,1979,1979-11-18,12,23.267,MIA,@,CLE,L 24-30,0,0,,0,1,11,11.00,0,0,0,0.0,0,0,0
13,1979,1979-11-25,13,23.274,MIA,@,BAL,W 28-24,,,,,,,,,,,,,,
14,1979,1979-11-29,14,23.278,MIA,,NWE,W 39-24,,,,,,,,,,,,,,
15,1979,1979-12-09,15,23.288,MIA,@,DET,W 28-10,,,,,,,,,,,,,,
16,1979,1979-12-15,16,23.294,MIA,,NYJ,L 24-27,,,,,,,,,,,,,,
17,1981,1981-09-06,1,25.194,MIA,@,STL,W 20-7,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
18,1981,1981-09-10,2,25.198,MIA,,PIT,W 30-10,0,0,,0,0,0,,0,,,,,,
19,1981,1981-09-20,3,25.208,MIA,@,HOU,W 16-10,0,0,,0,0,0,,0,0,0,0.0,1,8,0
20,1981,1981-09-27,4,25.215,MIA,@,BAL,W 31-28,0,0,,0,0,0,,0,,,,,,
21,1981,1981-10-04,5,25.222,MIA,,NYJ,T 28-28,1,40,40.00,0,0,0,,0,0,0,0.0,0,0,0
22,1981,1981-10-12,6,25.230,MIA,@,BUF,L 21-31,0,0,,0,0,0,,0,,,,,,
23,1981,1981-10-18,7,25.236,MIA,,WAS,W 13-10,0,0,,0,0,0,,0,,,,,,
24,1981,1981-10-25,8,25.243,MIA,@,DAL,L 27-28,0,0,,0,0,0,,0,,,,,,
25,1981,1981-11-01,9,25.250,MIA,,BAL,W 27-10,0,0,,0,0,0,,0,,,,,,
26,1981,1981-11-08,10,25.257,MIA,@,NWE,W 30-27,0,0,,0,0,0,,0,,,,,,
27,1981,1981-11-30,13,25.279,MIA,,PHI,W 13-10,0,0,,0,0,0,,0,,,,,,
28,1981,1981-12-06,14,25.285,MIA,,NWE,W 24-14,0,0,,0,0,0,,0,,,,,,
29,1981,1981-12-13,15,25.292,MIA,@,KAN,W 17-7,0,0,,0,0,0,,0,,,,,,
30,1981,1981-12-19,16,25.298,MIA,,BUF,W 16-6,0,0,,0,0,0,,0,0,0,0.0,2,29,0
31,1982,1982-09-12,1,26.200,MIA,@,NYJ,W 45-28,0,0,,0,0,0,,0,,,,,,
32,1982,1982-09-19,2,26.207,MIA,,BAL,W 24-20,0,0,,0,0,0,,0,,,,,,
33,1982,1982-11-21,3,26.270,MIA,@,BUF,W 9-7,0,0,,0,0,0,,0,0,0,0.0,1,36,0
34,1982,1982-11-29,4,26.278,MIA,@,TAM,L 17-23,0,0,,0,0,0,,0,0,0,1.0,0,0,0
35,1982,1982-12-05,5,26.284,MIA,,MIN,W 22-14,0,0,,0,0,0,,0,,,,,,
