ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1994,1994-11-06,9,23.344,RAI,@,KAN,L 3-13,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0
2,1994,1994-11-13,10,23.351,RAI,@,RAM,W 20-17,6,32,5.33,0,0,0,0,,0,0.0%,,0,0,,0
3,1994,1994-11-20,11,23.358,RAI,,NOR,W 24-19,6,20,3.33,0,0,0,0,,0,0.0%,,0,0,,0
4,1994,1994-11-27,12,24.000,RAI,,PIT,L 3-21,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0
5,1994,1994-12-05,13,24.008,RAI,@,SDG,W 24-17,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0
6,1994,1994-12-11,14,24.014,RAI,,DEN,W 23-13,4,18,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0
7,1994,1994-12-18,15,24.021,RAI,@,SEA,W 17-16,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0
8,1995,1995-09-03,1,24.280,OAK,,SDG,W 17-7,0,0,,0,,,,,,0.0%,,0,0,,0
9,1995,1995-09-10,2,24.287,OAK,@,WAS,W 20-8,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0
10,1995,1995-09-17,3,24.294,OAK,@,KAN,L 17-23,0,0,,0,,,,,,0.0%,,0,0,,0
11,1995,1995-10-22,8,24.329,OAK,,IND,W 30-17,4,21,5.25,0,0,0,0,,0,0.0%,,2,37,18.50,0
12,1995,1995-11-05,9,24.343,OAK,@,CIN,W 20-17,0,0,,0,,,,,,0.0%,,0,0,,0
13,1995,1995-11-12,10,24.350,OAK,@,NYG,W 17-13,0,0,,0,0,,,,,0.0%,,0,0,,0
14,1995,1995-11-27,12,25.000,OAK,@,SDG,L 6-12,0,0,,0,,,,,,0.0%,,0,0,,0
15,1995,1995-12-03,13,25.006,OAK,,KAN,L 23-29,0,0,,0,0,0,0,,0,0.0%,,3,55,18.33,0
16,1996,1996-12-15,15,26.018,GNB,@,DET,W 31-3,,,,,,,,,,0.0%,,,,,
