ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,22.012,NOR,,MIN,W 31-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,57,28.50,0,1,13,13.00,0,0,0,0,0,,0
2,1978,1978-09-10,2,22.019,NOR,@,GNB,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,78,19.50,0,1,-6,-6.00,0,0,0,0,0,,0
3,1978,1978-09-17,3,22.026,NOR,,PHI,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,85,28.33,0,2,12,6.00,0,0,0,0,0,,0
4,1978,1978-09-24,4,22.033,NOR,@,CIN,W 20-18,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,5,49,9.80,0,0,0,0,0,,0
5,1978,1978-10-01,5,22.040,NOR,,RAM,L 20-26,2,19,9.50,0,2,10,5.00,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,1,5,5.00,0,0,0,0,0,,0
6,1978,1978-10-08,6,22.047,NOR,,CLE,L 16-24,4,59,14.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,70,23.33,0,2,20,10.00,0,0,0,0,0,,0
7,1978,1978-10-15,7,22.054,NOR,@,SFO,W 14-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,3,3.00,0,0,0,0,0,,0
8,1978,1978-10-22,8,22.061,NOR,@,RAM,W 10-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,0,0,0,0,,0
9,1978,1978-10-29,9,22.068,NOR,,NYG,W 28-17,2,38,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,38,38.00,0,2,21,10.50,0,0,0,0,0,,0
10,1978,1978-11-05,10,22.075,NOR,@,PIT,L 14-20,2,39,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0,,0,0,0,0,0,,0
11,1978,1978-11-12,11,22.082,NOR,,ATL,L 17-20,7,117,16.71,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,2,16,8.00,0,0,0,0,0,,0
12,1978,1978-11-19,12,22.089,NOR,@,DAL,L 7-27,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,95,23.75,0,2,5,2.50,0,0,0,0,0,,0
13,1978,1978-11-26,13,22.096,NOR,@,ATL,L 17-20,4,31,7.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,24,12.00,0,3,13,4.33,0,0,0,0,0,,0
14,1978,1978-12-03,14,22.103,NOR,,SFO,W 24-13,6,103,17.17,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,2,15,7.50,0,2,12,0,0,,0
15,1978,1978-12-10,15,22.110,NOR,,HOU,L 12-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,54,27.00,0,3,28,9.33,0,0,0,0,0,,0
16,1978,1978-12-17,16,22.117,NOR,@,TAM,W 17-10,6,56,9.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,33,33.00,0,5,36,7.20,0,0,0,0,0,,0
17,1979,1979-09-02,1,23.011,NOR,,ATL,L 34-40,6,205,34.17,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,67,22.33,0,2,14,7.00,0,1,6,0,0,,0
18,1979,1979-09-09,2,23.018,NOR,@,GNB,L 19-28,10,92,9.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,0,0,1,23,23.00,0
19,1979,1979-09-16,3,23.025,NOR,,PHI,L 14-26,4,92,23.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,7,225,32.14,0
20,1979,1979-09-23,4,23.032,NOR,@,SFO,W 30-21,4,127,31.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
21,1979,1979-09-30,5,23.039,NOR,,NYG,W 24-14,5,62,12.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
22,1979,1979-10-07,6,23.046,NOR,,RAM,L 17-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
