ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1969,1969-11-16,10,22.076,KAN,@,NYJ,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0
2,1969,1969-11-23,11,22.083,KAN,,OAK,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,53,26.50,0,0,0,,0,0,0
3,1969,1969-11-27,12,22.087,KAN,,DEN,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,0,0,,0,0,0
4,1969,1969-12-07,13,22.097,KAN,,BUF,W 22-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,0,0,,0,0,0
5,1970,1970-09-20,1,23.019,KAN,@,MIN,L 10-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,45,22.50,0,0,0,,0,0,0
6,1970,1970-09-28,2,23.027,KAN,@,BAL,W 44-24,5,24,4.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,95,23.75,0,0,0
7,1970,1970-10-04,3,23.033,KAN,@,DEN,L 13-26,3,8,2.67,0,3,36,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,81,27.00,0,0,0
8,1970,1970-10-11,4,23.040,KAN,,BOS,W 23-10,10,81,8.10,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,21,10.50,0,3,8,2.67,0,0,0
9,1970,1970-10-18,5,23.047,KAN,@,CIN,W 27-19,16,52,3.25,0,3,78,26.00,1,0,0,,0,0,0,,0,0,,,2,57,28.50,0,2,41,20.50,0,1,6
10,1970,1970-10-25,6,23.054,KAN,,DAL,L 16-27,7,18,2.57,1,2,74,37.00,0,0,0,,0,0,0,,0,0,,,2,26,13.00,0,2,4,2.00,0,1,6
11,1970,1970-11-01,7,23.061,KAN,,OAK,T 17-17,19,108,5.68,0,2,4,2.00,0,0,0,,0,0,0,,0,0,,,2,27,13.50,0,3,36,12.00,0,0,0
12,1970,1970-11-08,8,23.068,KAN,,HOU,W 24-9,11,36,3.27,1,1,7,7.00,0,1,1,100.00,24,0,0,118.7,0,0,24.00,24.00,2,55,27.50,0,0,0,,0,1,6
13,1970,1970-11-15,9,23.075,KAN,@,PIT,W 31-14,17,42,2.47,0,3,7,2.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
14,1970,1970-11-22,10,23.082,KAN,,STL,T 6-6,23,112,4.87,0,0,0,,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0,,0,0,0,,0,0,0
15,1970,1970-11-29,11,23.089,KAN,,SDG,W 26-14,19,52,2.74,0,3,37,12.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0
16,1970,1970-12-06,12,23.096,KAN,,DEN,W 16-0,12,139,11.58,1,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,32,8.00,0,1,6
17,1970,1970-12-12,13,23.102,KAN,@,OAK,L 6-20,12,21,1.75,0,2,4,2.00,0,0,0,,0,0,0,,0,0,,,2,62,31.00,0,0,0,,0,0,0
18,1970,1970-12-20,14,23.110,KAN,@,SDG,L 13-31,14,56,4.00,0,6,52,8.67,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,1,5,5.00,0,0,0
19,1971,1971-09-19,1,24.018,KAN,@,SDG,L 14-21,17,65,3.82,1,2,15,7.50,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,2,9,4.50,0,1,6
20,1971,1971-10-03,3,24.032,KAN,@,DEN,W 16-3,15,38,2.53,0,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,18,18.00,0,0,0
21,1971,1971-10-10,4,24.039,KAN,,SDG,W 31-10,14,72,5.14,1,4,27,6.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,1,6
22,1971,1971-10-18,5,24.047,KAN,,PIT,W 38-16,20,43,2.15,1,4,19,4.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
23,1971,1971-10-24,6,24.053,KAN,,WAS,W 27-20,24,110,4.58,0,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0
24,1971,1971-10-31,7,24.060,KAN,@,OAK,T 20-20,13,71,5.46,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,2,12
25,1971,1971-11-07,8,24.067,KAN,@,NYJ,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1971,1971-11-14,9,24.074,KAN,,CLE,W 13-7,20,69,3.45,0,4,50,12.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0
27,1971,1971-11-21,10,24.081,KAN,,DEN,W 28-10,14,69,4.93,1,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,1,6
28,1971,1971-11-25,11,24.085,KAN,@,DET,L 21-32,15,51,3.40,3,5,61,12.20,0,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,0,0,,0,0,0,,0,3,18
29,1971,1971-12-06,12,24.096,KAN,@,SFO,W 26-17,17,75,4.41,0,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,0,0
30,1971,1971-12-12,13,24.102,KAN,,OAK,W 16-14,10,35,3.50,0,7,28,4.00,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,2,24,12.00,0,0,0
31,1971,1971-12-19,14,24.109,KAN,,BUF,W 22-9,5,10,2.00,0,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
32,1972,1972-09-17,1,25.016,KAN,,MIA,L 10-20,13,81,6.23,0,7,48,6.86,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0
33,1972,1972-09-25,2,25.024,KAN,@,NOR,W 20-17,18,69,3.83,0,7,47,6.71,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0
34,1972,1972-10-01,3,25.030,KAN,@,DEN,W 45-24,11,35,3.18,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
35,1972,1972-10-15,5,25.044,KAN,,CIN,L 16-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1972,1972-10-22,6,25.051,KAN,,PHI,L 20-21,12,9,0.75,1,7,60,8.57,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,1,3,3.00,0,1,6
37,1972,1972-10-29,7,25.058,KAN,@,SDG,W 26-14,18,71,3.94,1,2,12,6.00,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,1,6
38,1972,1972-11-05,8,25.065,KAN,,OAK,W 27-14,27,115,4.26,0,2,42,21.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,1,6
39,1972,1972-11-12,9,25.072,KAN,@,PIT,L 7-16,15,19,1.27,0,5,37,7.40,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,1,3,3.00,0,0,0
40,1972,1972-11-19,10,25.079,KAN,,SDG,L 17-27,5,25,5.00,0,4,24,6.00,0,0,0,,0,0,0,,0,0,,,2,19,9.50,0,2,12,6.00,0,0,0
41,1972,1972-11-26,11,25.086,KAN,@,OAK,L 3-26,3,12,4.00,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
42,1972,1972-12-03,12,25.093,KAN,,DEN,W 24-21,14,54,3.86,1,3,34,11.33,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,-8,-8.00,0,1,6
43,1972,1972-12-10,13,25.100,KAN,,BAL,W 24-10,18,58,3.22,1,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
44,1972,1972-12-17,14,25.107,KAN,@,ATL,W 17-14,17,67,3.94,0,5,18,3.60,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,-2,-2.00,0,1,6
45,1973,1973-09-16,1,26.015,KAN,,RAM,L 13-23,8,-2,-0.25,0,2,27,13.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0
46,1973,1973-09-23,2,26.022,KAN,@,NWE,W 10-7,13,40,3.08,0,2,31,15.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0
47,1973,1973-09-30,3,26.029,KAN,,OAK,W 16-3,16,49,3.06,0,3,22,7.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
48,1973,1973-10-07,4,26.036,KAN,,DEN,W 16-14,16,72,4.50,0,12,84,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
49,1973,1973-10-14,5,26.043,KAN,@,GNB,T 10-10,15,49,3.27,0,6,30,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0
50,1973,1973-10-21,6,26.050,KAN,@,CIN,L 6-14,14,59,4.21,0,4,43,10.75,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,2,1.00,0,0,0
51,1973,1973-10-29,7,26.058,KAN,@,BUF,L 14-23,7,29,4.14,0,3,27,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
52,1973,1973-11-04,8,26.064,KAN,@,SDG,W 19-0,18,32,1.78,1,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
