ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1964,1964-09-27,3,25.310,BOS,,NYJ,W 26-10,0,0,,0,2,14,7.00,0
2,1964,1964-10-04,4,25.317,BOS,@,DEN,W 39-10,0,0,,0,1,15,15.00,0
3,1964,1964-10-09,5,25.322,BOS,,SDG,L 17-26,1,46,46.00,0,1,9,9.00,0
4,1964,1964-10-23,7,25.336,BOS,,KAN,W 24-7,0,0,,0,3,6,2.00,0
5,1964,1964-10-31,8,25.344,BOS,@,NYJ,L 14-35,0,0,,0,4,46,11.50,0
6,1964,1964-11-15,10,25.359,BOS,@,BUF,W 36-28,0,0,,0,2,12,6.00,0
7,1964,1964-11-20,11,25.364,BOS,,DEN,W 12-7,0,0,,0,1,3,3.00,0
8,1964,1964-11-29,12,26.007,BOS,@,HOU,W 34-17,0,0,,0,1,14,14.00,0
9,1964,1964-12-06,13,26.014,BOS,@,KAN,W 31-24,0,0,,0,4,15,3.75,0
10,1964,1964-12-20,14,26.028,BOS,,BUF,L 14-24,0,0,,0,2,4,2.00,0
