ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2008,2008-11-09,9,22.177,NOR,@,ATL,L 20-34,,2,2,100.0,2,2,100.0,0,8
2,2008,2008-11-16,10,22.184,NOR,@,KAN,W 30-20,,3,3,100.0,3,3,100.0,0,12
3,2008,2008-11-24,11,22.192,NOR,,GNB,W 51-29,,6,6,100.0,1,1,100.0,0,9
4,2008,2008-11-30,12,22.198,NOR,@,TAM,L 20-23,,2,2,100.0,2,2,100.0,0,8
5,2008,2008-12-07,13,22.205,NOR,,ATL,W 29-25,,2,2,100.0,3,3,100.0,0,11
6,2008,2008-12-11,14,22.209,NOR,@,CHI,L 24-27,,3,3,100.0,1,1,100.0,0,6
7,2008,2008-12-21,15,22.219,NOR,@,DET,W 42-7,,6,6,100.0,,,,0,6
8,2008,2008-12-28,16,22.226,NOR,,CAR,L 31-33,,4,4,100.0,1,1,100.0,0,7
9,2009,2009-12-06,12,23.204,NOR,@,WAS,W 33-30,,3,3,100.0,4,5,80.0,0,15
10,2009,2009-12-13,13,23.211,NOR,@,ATL,W 26-23,,2,3,66.7,2,2,100.0,0,8
11,2009,2009-12-19,14,23.217,NOR,,DAL,L 17-24,,2,2,100.0,1,1,100.0,0,5
12,2009,2009-12-27,15,23.225,NOR,,TAM,L 17-20,,2,2,100.0,1,2,50.0,0,5
13,2009,2010-01-03,16,23.232,NOR,@,CAR,L 10-23,,1,1,100.0,1,1,100.0,0,4
14,2010,2010-09-09,1,24.116,NOR,,MIN,W 14-9,,2,2,100.0,,2,0.0,0,2
15,2010,2010-09-20,2,24.127,NOR,@,SFO,W 25-22,,2,2,100.0,3,3,100.0,0,11
16,2010,2010-09-26,3,24.133,NOR,,ATL,L 24-27,,3,3,100.0,1,2,50.0,0,6
17,2010,2010-10-17,6,24.154,NOR,@,TAM,W 31-6,,4,4,100.0,1,2,50.0,0,7
18,2010,2010-10-24,7,24.161,NOR,,CLE,L 17-30,,2,2,100.0,1,1,100.0,0,5
19,2010,2010-10-31,8,24.168,NOR,,PIT,W 20-10,,2,2,100.0,2,2,100.0,0,8
20,2010,2010-11-07,9,24.175,NOR,@,CAR,W 34-3,,4,4,100.0,2,2,100.0,0,10
21,2010,2010-11-21,10,24.189,NOR,,SEA,W 34-19,,4,4,100.0,,1,0.0,0,4
22,2010,2010-11-25,11,24.193,NOR,@,DAL,W 30-27,,3,3,100.0,3,3,100.0,0,12
23,2010,2010-12-05,12,24.203,NOR,@,CIN,W 34-30,,4,4,100.0,2,2,100.0,0,10
24,2010,2010-12-12,13,24.210,NOR,,STL,W 31-13,,4,4,100.0,1,1,100.0,0,7
25,2010,2010-12-19,14,24.217,NOR,@,BAL,L 24-30,,3,3,100.0,1,1,100.0,0,6
26,2010,2010-12-27,15,24.225,NOR,@,ATL,W 17-14,,2,2,100.0,1,1,100.0,0,5
27,2010,2011-01-02,16,24.231,NOR,,TAM,L 13-23,,1,1,100.0,2,2,100.0,0,7
28,2012,2012-09-09,1,26.116,NOR,,WAS,L 32-40,,3,3,100.0,1,1,100.0,0,6
29,2012,2012-09-16,2,26.123,NOR,@,CAR,L 27-35,,3,3,100.0,2,2,100.0,0,9
30,2012,2012-09-23,3,26.130,NOR,,KAN,L 24-27,,3,3,100.0,1,2,50.0,0,6
31,2012,2012-09-30,4,26.137,NOR,@,GNB,L 27-28,,3,3,100.0,2,3,66.7,0,9
32,2012,2012-10-07,5,26.144,NOR,,SDG,W 31-24,,4,4,100.0,1,1,100.0,0,7
33,2012,2012-10-21,6,26.158,NOR,@,TAM,W 35-28,,5,5,100.0,,,,0,5
34,2012,2012-10-28,7,26.165,NOR,@,DEN,L 14-34,,2,2,100.0,,,,0,2
35,2012,2012-11-05,8,26.173,NOR,,PHI,W 28-13,,4,4,100.0,,1,0.0,0,4
36,2012,2012-11-11,9,26.179,NOR,,ATL,W 31-27,,4,4,100.0,1,1,100.0,0,7
37,2012,2012-11-18,10,26.186,NOR,@,OAK,W 38-17,,5,5,100.0,1,1,100.0,0,8
38,2012,2012-11-25,11,26.193,NOR,,SFO,L 21-31,,3,3,100.0,,,,0,3
