ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2012,2012-09-10,1,22.294,BAL,,CIN,W 44-13,,0,0,,0,0,0,,0,0,,,5,5,100.0,3,3,100.0,0,14
2,2012,2012-09-16,2,22.300,BAL,@,PHI,L 23-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
3,2012,2012-09-23,3,22.307,BAL,,NWE,W 31-30,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7
4,2012,2012-09-27,4,22.311,BAL,,CLE,W 23-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
5,2012,2012-10-07,5,22.321,BAL,@,KAN,W 9-6,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9
6,2012,2012-10-14,6,22.328,BAL,,DAL,W 31-29,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7
7,2012,2012-10-21,7,22.335,BAL,@,HOU,L 13-43,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
8,2012,2012-11-04,8,22.349,BAL,@,CLE,W 25-15,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
9,2012,2012-11-11,9,22.356,BAL,,OAK,W 55-20,,0,0,,0,0,0,,0,0,,,7,7,100.0,2,2,100.0,0,13
10,2012,2012-11-18,10,22.363,BAL,@,PIT,W 13-10,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7
11,2012,2012-11-25,11,23.004,BAL,@,SDG,W 16-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
12,2012,2012-12-02,12,23.011,BAL,,PIT,L 20-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
13,2012,2012-12-09,13,23.018,BAL,@,WAS,L 28-31,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4
14,2012,2012-12-16,14,23.025,BAL,,DEN,L 17-34,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
15,2012,2012-12-23,15,23.032,BAL,,NYG,W 33-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
16,2012,2012-12-30,16,23.039,BAL,@,CIN,L 17-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
17,2013,2013-09-05,1,23.288,BAL,@,DEN,L 27-49,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
18,2013,2013-09-15,2,23.298,BAL,,CLE,W 14-6,,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2
19,2013,2013-09-22,3,23.305,BAL,,HOU,W 30-9,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12
20,2013,2013-09-29,4,23.312,BAL,@,BUF,L 20-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
21,2013,2013-10-06,5,23.319,BAL,@,MIA,W 26-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14
22,2013,2013-10-13,6,23.326,BAL,,GNB,L 17-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
23,2013,2013-10-20,7,23.333,BAL,@,PIT,L 16-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
24,2013,2013-11-03,8,23.347,BAL,@,CLE,L 18-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
25,2013,2013-11-10,9,23.354,BAL,,CIN,W 20-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
26,2013,2013-11-17,10,23.361,BAL,@,CHI,L 20-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
27,2013,2013-11-24,11,24.003,BAL,,NYJ,W 19-3,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13
28,2013,2013-11-28,12,24.007,BAL,,PIT,W 22-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,5,5,100.0,0,16
29,2013,2013-12-08,13,24.017,BAL,,MIN,W 29-26,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3
30,2013,2013-12-16,14,24.025,BAL,@,DET,W 18-16,,0,0,,0,0,0,,0,0,,,,,,6,6,100.0,0,18
31,2013,2013-12-22,15,24.031,BAL,,NWE,L 7-41,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
32,2013,2013-12-29,16,24.038,BAL,@,CIN,L 17-34,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9
33,2014,2014-09-07,1,24.290,BAL,,CIN,L 16-23,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
34,2014,2014-09-11,2,24.294,BAL,,PIT,W 26-6,,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14
35,2014,2014-09-21,3,24.304,BAL,@,CLE,W 23-21,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
36,2014,2014-09-28,4,24.311,BAL,,CAR,W 38-10,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,2,50.0,0,8
37,2014,2014-10-05,5,24.318,BAL,@,IND,L 13-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
38,2014,2014-10-12,6,24.325,BAL,@,TAM,W 48-17,,0,0,,0,0,0,,0,0,,,6,6,100.0,2,3,66.7,0,12
39,2014,2014-10-19,7,24.332,BAL,,ATL,W 29-7,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
40,2014,2014-10-26,8,24.339,BAL,@,CIN,L 24-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
41,2014,2014-11-02,9,24.346,BAL,@,PIT,L 23-43,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
42,2014,2014-11-09,10,24.353,BAL,,TEN,W 21-7,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3
43,2014,2014-11-24,11,25.003,BAL,@,NOR,W 34-27,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10
44,2014,2014-11-30,12,25.009,BAL,,SDG,L 33-34,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
45,2014,2014-12-07,13,25.016,BAL,@,MIA,W 28-13,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4
