ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1981,1981-09-07,1,21.227,SDG,@,CLE,W 44-14,,,,
2,1981,1981-09-13,2,21.233,SDG,,DET,W 28-23,,,,
3,1981,1981-09-20,3,21.240,SDG,@,KAN,W 42-31,,,,
4,1981,1981-10-04,5,21.254,SDG,,SEA,W 24-10,,,,
5,1981,1981-10-11,6,21.261,SDG,,MIN,L 31-33,,,,
6,1981,1981-10-18,7,21.268,SDG,@,BAL,W 43-14,,,,
7,1981,1981-10-25,8,21.275,SDG,@,CHI,L 17-20,,,,
8,1981,1981-11-01,9,21.282,SDG,,KAN,W 22-20,1,0,0.00,0
9,1981,1981-11-08,10,21.289,SDG,,CIN,L 17-40,,,,
10,1981,1981-11-16,11,21.297,SDG,@,SEA,L 23-44,,,,
11,1981,1981-11-22,12,21.303,SDG,@,OAK,W 55-21,,,,
12,1981,1981-11-29,13,21.310,SDG,,DEN,W 34-17,,,,
13,1981,1981-12-06,14,21.317,SDG,,BUF,L 27-28,,,,
14,1981,1981-12-13,15,21.324,SDG,@,TAM,W 24-23,,,,
15,1981,1981-12-21,16,21.332,SDG,,OAK,W 23-10,,,,
16,1983,1983-09-04,1,23.224,RAI,@,CIN,W 20-10,,,,
17,1983,1983-09-11,2,23.231,RAI,,HOU,W 20-6,,,,
18,1983,1983-09-19,3,23.239,RAI,,MIA,W 27-14,,,,
19,1983,1983-09-25,4,23.245,RAI,@,DEN,W 22-7,,,,
20,1983,1983-10-02,5,23.252,RAI,@,WAS,L 35-37,,,,
