ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-10-19,6,23.299,PIT,@,CIN,W 38-10,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,0,0
2,2008,2008-10-26,7,23.306,PIT,,NYG,L 14-21,,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0.0,1,0
3,2008,2008-11-03,8,23.314,PIT,@,WAS,W 23-6,,,,,,,0.0%,,,,,,,,
4,2008,2008-11-09,9,23.320,PIT,,IND,L 20-24,,,,,,,0.0%,,,,,,,,
5,2008,2008-11-16,10,23.327,PIT,,SDG,W 11-10,,0,,,,,0.0%,,,,,,,,
6,2008,2008-11-20,11,23.331,PIT,,CIN,W 27-10,,2,2,25,12.50,0,100.0%,12.50,1,0,0.00,0,0.0,0,0
7,2008,2008-11-30,12,23.341,PIT,@,NWE,W 33-10,,,,,,,0.0%,,,,,,,,
8,2008,2008-12-07,13,23.348,PIT,,DAL,W 20-13,,1,,,,,0.0%,,,,,,,,
9,2008,2008-12-14,14,23.355,PIT,@,BAL,W 13-9,,,,,,,0.0%,,,,,,,,
10,2008,2008-12-21,15,23.362,PIT,@,TEN,L 14-31,,0,,,,,0.0%,,,,,,,,
11,2008,2008-12-28,16,24.003,PIT,,CLE,W 31-0,,0,,,,,0.0%,,,,,,,,
12,2009,2009-09-10,1,24.259,PIT,,TEN,W 13-10,,,,,,,0.0%,,,,,,,,
13,2009,2009-09-27,3,24.276,PIT,@,CIN,L 20-23,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0.0,1,0
14,2009,2009-10-11,5,24.290,PIT,@,DET,W 28-20,,1,,,,,0.0%,,,,,,,,
15,2009,2009-11-09,8,24.319,PIT,@,DEN,W 28-10,,1,,,,,0.0%,,,,,,,,
16,2009,2009-11-15,9,24.325,PIT,,CIN,L 12-18,,,,,,,0.0%,,,,,,,,
17,2009,2009-11-22,10,24.332,PIT,@,KAN,L 24-27,,,,,,,0.0%,,,,,,,,
18,2009,2009-11-29,11,24.339,PIT,@,BAL,L 17-20,,,,,,,0.0%,,,,,,,,
19,2009,2009-12-06,12,24.346,PIT,,OAK,L 24-27,,1,,,,,0.0%,,,,,,,,
20,2009,2009-12-10,13,24.350,PIT,@,CLE,L 6-13,,,,,,,0.0%,,,,,,,,
