ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1961,1961-09-17,1,24.042,SFO,,WAS,W 35-3,0,0,,0,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0
2,1961,1961-09-24,2,24.049,SFO,@,GNB,L 10-30,0,0,,0,0,0,,0,2,26,13.00,0,0,0,,0,0,0,0
3,1961,1961-10-01,3,24.056,SFO,@,DET,W 49-0,0,0,,0,3,13,4.33,0,0,0,,0,1,5,5.00,0,0,0,0
4,1961,1961-10-08,4,24.063,SFO,,RAM,W 35-0,3,33,11.00,0,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0
5,1962,1962-09-16,1,25.041,SFO,,CHI,L 14-30,0,0,,0,0,0,,0,2,41,20.50,0,3,7,2.33,0,0,0,0
6,1962,1962-09-23,2,25.048,SFO,@,DET,L 24-45,0,0,,0,0,0,,0,1,43,43.00,0,0,0,,0,0,0,0
7,1962,1962-10-14,5,25.069,SFO,@,CHI,W 34-27,0,0,,0,0,0,,0,1,28,28.00,0,0,0,,0,0,0,0
8,1962,1962-11-04,8,25.090,SFO,,BAL,L 3-22,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
9,1962,1962-11-25,11,25.111,SFO,@,STL,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,35,0
10,1963,1963-09-22,2,26.047,SFO,,BAL,L 14-20,0,0,,0,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0
11,1963,1963-10-13,5,26.068,SFO,@,BAL,L 3-20,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
12,1963,1963-10-20,6,26.075,SFO,,CHI,W 20-14,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
13,1963,1963-10-27,7,26.082,SFO,@,RAM,L 21-28,0,0,,0,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0
14,1963,1963-12-01,12,26.117,SFO,,RAM,L 17-21,,,,,,,,,,,,,1,0,0.00,0,,,
15,1964,1964-10-04,4,27.059,SFO,,CHI,W 31-21,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
16,1964,1964-10-11,5,27.066,SFO,@,GNB,L 14-24,2,44,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
17,1965,1965-09-19,1,28.044,SFO,,CHI,W 52-24,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,0,0,0
18,1965,1965-12-12,13,28.128,SFO,@,CHI,L 20-61,2,41,20.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
