ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-10-14,5,23.190,HOU,,NYT,W 56-17,0,0,,0,0,0,,0,0,0,1,22,0
2,1963,1963-09-08,1,24.154,BOS,,NYJ,W 38-14,1,35,35.00,0,2,22,11.00,0,0,0,1,23,0
3,1963,1963-09-14,2,24.160,BOS,@,SDG,L 13-17,1,15,15.00,0,0,0,,0,0,0,0,0,0
4,1963,1963-09-22,3,24.168,BOS,@,OAK,W 20-14,1,24,24.00,0,4,29,7.25,0,0,0,0,0,0
5,1963,1963-09-29,4,24.175,BOS,@,DEN,L 10-14,2,50,25.00,0,2,31,15.50,0,0,0,0,0,0
6,1963,1963-10-05,5,24.181,BOS,@,NYJ,L 24-31,3,64,21.33,0,1,7,7.00,0,0,0,0,0,0
7,1963,1963-10-11,6,24.187,BOS,,OAK,W 20-14,0,0,,0,4,30,7.50,0,0,0,0,0,0
8,1963,1963-10-18,7,24.194,BOS,,DEN,W 40-21,1,17,17.00,0,3,46,15.33,0,0,0,1,62,0
9,1963,1963-10-26,8,24.202,BOS,@,BUF,L 21-28,1,15,15.00,0,0,0,,0,0,0,0,0,0
10,1963,1963-11-01,9,24.208,BOS,,HOU,W 45-3,1,10,10.00,0,2,7,3.50,0,1,6,2,110,1
11,1963,1963-11-10,10,24.217,BOS,,SDG,L 6-7,1,23,23.00,0,1,3,3.00,0,0,0,1,15,0
12,1963,1963-11-17,11,24.224,BOS,,KAN,T 24-24,1,18,18.00,0,1,11,11.00,0,0,0,0,0,0
13,1963,1963-12-01,12,24.238,BOS,,BUF,W 17-7,0,0,,0,1,3,3.00,0,0,0,0,0,0
14,1963,1963-12-08,13,24.245,BOS,@,HOU,W 46-28,2,27,13.50,0,2,31,15.50,0,1,6,2,67,1
15,1963,1963-12-14,14,24.251,BOS,@,KAN,L 3-35,2,62,31.00,0,2,13,6.50,0,0,0,0,0,0
