ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1961,1961-09-24,2,25.128,PIT,,NYG,L 14-17,6,14,2.33,0,0,0,,0,0,0,,0,0,0,0
2,1961,1961-10-15,5,25.149,PIT,,WAS,W 20-0,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
3,1961,1961-10-29,7,25.163,PIT,,SFO,W 20-10,0,0,,0,0,0,,0,1,5,5.00,0,1,12,0
4,1961,1961-11-05,8,25.170,PIT,@,CLE,W 17-13,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0
5,1961,1961-11-12,9,25.177,PIT,,DAL,W 37-7,0,0,,0,0,0,,0,3,83,27.67,0,0,0,0
6,1961,1961-11-26,11,25.191,PIT,,STL,W 30-27,0,0,,0,0,0,,0,1,21,21.00,0,0,0,0
7,1961,1961-12-03,12,25.198,PIT,,PHI,L 24-35,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0
8,1961,1961-12-10,13,25.205,PIT,@,WAS,W 30-14,0,0,,0,0,0,,0,0,0,,0,1,5,0
9,1961,1961-12-17,14,25.212,PIT,@,STL,L 0-20,0,0,,0,2,41,20.50,0,1,9,9.00,0,0,0,0
10,1962,1962-09-16,1,26.120,PIT,@,DET,L 7-45,0,0,,0,1,0,0.00,0,1,25,25.00,0,0,0,0
11,1962,1962-09-23,2,26.127,PIT,@,DAL,W 30-28,0,0,,0,1,50,50.00,0,0,0,,0,0,0,0
12,1962,1962-09-30,3,26.134,PIT,,NYG,L 27-31,0,0,,0,5,184,36.80,0,0,0,,0,1,3,0
13,1962,1962-10-06,4,26.140,PIT,,PHI,W 13-7,0,0,,0,2,56,28.00,0,0,0,,0,0,0,0
