ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1994,1994-09-04,1,22.213,NYG,,PHI,W 28-23,,0,0,,0,,,,,,0.0%,,,,,
2,1994,1994-09-11,2,22.220,NYG,@,ARI,W 20-17,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0
3,1995,1995-09-04,1,23.213,NYG,,DAL,L 0-35,,2,9,4.50,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0
4,1995,1995-09-10,2,23.219,NYG,@,KAN,L 17-20,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0
5,1995,1995-09-17,3,23.226,NYG,@,GNB,L 6-14,,0,0,,0,,0,0,,0,0.0%,,,,,
6,1995,1995-10-01,5,23.240,NYG,@,SFO,L 6-20,,0,0,,0,,0,0,,0,0.0%,,,,,
7,1995,1995-10-08,6,23.247,NYG,,ARI,W 27-21,,0,0,,0,,0,0,,0,0.0%,,,,,
8,1995,1995-10-15,7,23.254,NYG,,PHI,L 14-17,,0,0,,0,0,0,0,,0,0.0%,,,,,
9,1995,1995-10-29,8,23.268,NYG,@,WAS,W 24-15,,0,0,,0,,0,0,,0,0.0%,,,,,
10,1995,1995-11-05,9,23.275,NYG,@,SEA,L 28-30,,0,0,,0,,0,0,,0,0.0%,,,,,
11,1995,1995-11-12,10,23.282,NYG,,OAK,L 13-17,,0,0,,0,,0,0,,0,0.0%,,,,,
12,1995,1995-11-19,11,23.289,NYG,@,PHI,L 19-28,,1,5,5.00,0,2,2,-4,-2.00,0,100.0%,-2.00,0,0,,0
13,1995,1995-11-26,12,23.296,NYG,,CHI,L 24-27,,2,11,5.50,0,3,0,0,,0,0.0%,0.00,0,0,,0
14,1995,1995-11-30,13,23.300,NYG,@,ARI,W 10-6,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0
15,1995,1995-12-10,14,23.310,NYG,,WAS,W 20-13,,0,0,,0,,0,0,,0,0.0%,,,,,
16,1995,1995-12-17,15,23.317,NYG,@,DAL,L 20-21,,1,5,5.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0
17,1995,1995-12-23,16,23.323,NYG,,SDG,L 17-27,,1,8,8.00,0,4,4,46,11.50,0,100.0%,11.50,0,0,,0
18,1996,1996-09-01,1,24.211,NYG,,BUF,L 20-23,,1,2,2.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0
19,1996,1996-09-08,2,24.218,NYG,@,DAL,L 0-27,,1,2,2.00,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0
20,1996,1996-09-15,3,24.225,NYG,,WAS,L 10-31,,2,6,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0
21,1996,1996-09-22,4,24.232,NYG,@,NYJ,W 13-6,,0,0,,0,,0,0,,0,0.0%,,,,,
22,1996,1996-09-29,5,24.239,NYG,,MIN,W 15-10,,3,8,2.67,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0
23,1996,1996-10-13,6,24.253,NYG,,PHI,L 10-19,,0,0,,0,,0,0,,0,0.0%,,,,,
24,1996,1996-11-03,9,24.274,NYG,,ARI,W 16-8,,0,0,,0,0,0,0,,0,0.0%,,,,,
25,1996,1996-11-10,10,24.281,NYG,@,CAR,L 17-27,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0
