ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.167,SDG,,PIT,L 0-37,0,0,,0,0,0,,0,0,0,,0,0,,,4,107,26.75,0,1,2,2.00,0,0,0,0,0,0
2,1975,1975-09-28,2,22.174,SDG,@,HOU,L 17-33,0,0,,0,0,0,,0,0,0,,0,0,,,3,73,24.33,0,5,93,18.60,0,0,0,0,0,0
3,1975,1975-10-05,3,22.181,SDG,,OAK,L 0-6,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,14,7.00,0,0,0,0,0,0
4,1975,1975-10-12,4,22.188,SDG,,RAM,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,4,11,2.75,0,0,0,0,0,0
5,1975,1975-10-19,5,22.195,SDG,,KAN,L 10-12,0,0,,0,0,0,,0,0,0,,0,0,,,2,51,25.50,0,5,95,19.00,0,0,0,0,0,0
6,1975,1975-10-26,6,22.202,SDG,@,OAK,L 0-25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,19,9.50,0,0,0,0,0,0
7,1975,1975-11-01,7,22.208,SDG,@,NYG,L 24-35,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,1,4,4.00,0,0,0,0,0,0
8,1975,1975-11-09,8,22.216,SDG,,NWE,L 19-33,0,0,,0,0,0,,0,0,0,,0,0,,,4,91,22.75,0,2,10,5.00,0,0,0,0,0,0
9,1975,1975-11-16,9,22.223,SDG,,DEN,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,2,29,14.50,0,0,0,0,0,0
10,1975,1975-11-23,10,22.230,SDG,@,MIN,L 13-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,28,7.00,0,0,0,0,0,0
11,1975,1975-11-30,11,22.237,SDG,@,DEN,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,60,30.00,1,1,6,1,1,0
12,1975,1975-12-07,12,22.244,SDG,@,KAN,W 28-20,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,4,26,6.50,0,0,0,0,0,0
13,1975,1975-12-15,13,22.252,SDG,,NYJ,W 24-16,0,0,,0,0,0,,0,0,0,,0,0,,,2,48,24.00,0,1,8,8.00,0,0,0,0,0,0
14,1975,1975-12-21,14,22.258,SDG,@,CIN,L 17-47,0,0,,0,0,0,,0,0,0,,0,0,,,6,135,22.50,0,1,11,11.00,0,0,0,0,0,0
15,1976,1976-09-12,1,23.158,SDG,@,KAN,W 30-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1976,1976-09-19,2,23.165,SDG,@,TAM,W 23-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1976,1976-09-26,3,23.172,SDG,,STL,W 43-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1976,1976-10-03,4,23.179,SDG,@,DEN,L 0-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1976,1976-10-10,5,23.186,SDG,,OAK,L 17-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1976,1976-10-17,6,23.193,SDG,,HOU,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1976,1976-10-24,7,23.200,SDG,@,CLE,L 17-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1976,1976-10-31,8,23.207,SDG,@,PIT,L 0-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1976,1976-11-07,9,23.214,SDG,,BAL,L 21-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
