ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.334,IND,,CHI,L 13-29,*,,,,,
2,2008,2008-09-14,2,23.341,IND,@,MIN,W 18-15,*,,,,,
3,2008,2008-09-21,3,23.348,IND,,JAX,L 21-23,,0,0,0.0,1,0
4,2008,2008-10-05,4,23.362,IND,@,HOU,W 31-27,*,,,,,
5,2008,2008-10-12,5,24.003,IND,,BAL,W 31-3,*,,,,,
6,2008,2008-10-19,6,24.010,IND,@,GNB,L 14-34,*,,,,,
7,2008,2008-10-27,7,24.018,IND,@,TEN,L 21-31,,,,,,
8,2008,2008-11-02,8,24.024,IND,,NWE,W 18-15,,,,,,
9,2008,2008-11-09,9,24.031,IND,@,PIT,W 24-20,,,,,,
10,2008,2008-11-16,10,24.038,IND,,HOU,W 33-27,,,,,,
11,2008,2008-11-23,11,24.045,IND,@,SDG,W 23-20,,,,,,
12,2008,2008-11-30,12,24.052,IND,@,CLE,W 10-6,*,,,,,
13,2008,2008-12-07,13,24.059,IND,,CIN,W 35-3,*,,,,,
14,2008,2008-12-14,14,24.066,IND,,DET,W 31-21,,,,,,
15,2008,2008-12-28,16,24.080,IND,,TEN,W 23-0,,1,6,0.0,0,0
16,2009,2009-09-13,1,24.339,IND,,JAX,W 14-12,,,,,,
17,2009,2009-10-11,5,25.002,IND,@,TEN,W 31-9,,,,,,
18,2009,2009-11-15,9,25.037,IND,,NWE,W 35-34,,,,,,
19,2009,2009-11-22,10,25.044,IND,@,BAL,W 17-15,,,,,,
20,2009,2009-11-29,11,25.051,IND,@,HOU,W 35-27,,,,,,
21,2009,2009-12-06,12,25.058,IND,,TEN,W 27-17,,,,,,
22,2009,2009-12-13,13,25.065,IND,,DEN,W 28-16,,,,,,
23,2009,2009-12-17,14,25.069,IND,@,JAX,W 35-31,,,,,,
24,2009,2009-12-27,15,25.079,IND,,NYJ,L 15-29,,,,,,
25,2009,2010-01-03,16,25.086,IND,@,BUF,L 7-30,,,,,,
26,2010,2010-09-12,1,25.338,IND,@,HOU,L 24-34,*,,,,,
27,2010,2010-09-19,2,25.345,IND,,NYG,W 38-14,*,,,,,
28,2010,2010-09-26,3,25.352,IND,@,DEN,W 27-13,*,,,,,
29,2010,2010-10-10,5,26.001,IND,,KAN,W 19-9,*,,,,,
30,2010,2010-10-17,6,26.008,IND,@,WAS,W 27-24,,,,,,
31,2010,2010-11-01,7,26.023,IND,,HOU,W 30-17,,,,,,
32,2010,2010-11-07,8,26.029,IND,@,PHI,L 24-26,,,,,,
33,2010,2010-11-14,9,26.036,IND,,CIN,W 23-17,,,,,,
34,2010,2010-11-21,10,26.043,IND,@,NWE,L 28-31,,,,,,
35,2010,2010-11-28,11,26.050,IND,,SDG,L 14-36,,,,,,
36,2010,2010-12-05,12,26.057,IND,,DAL,L 35-38,,,,,,
37,2010,2010-12-09,13,26.061,IND,@,TEN,W 30-28,,,,,,
38,2010,2010-12-26,15,26.078,IND,@,OAK,W 31-26,,,,,,
39,2010,2011-01-02,16,26.085,IND,,TEN,W 23-20,,,,,,
40,2011,2011-10-30,8,27.021,IND,@,TEN,L 10-27,,0,0,0.0,1,0
41,2011,2011-11-06,9,27.028,IND,,ATL,L 7-31,,,,,,
42,2011,2011-11-13,10,27.035,IND,,JAX,L 3-17,,,,,,
43,2011,2011-11-27,11,27.049,IND,,CAR,L 19-27,,,,,,
44,2011,2011-12-04,12,27.056,IND,@,NWE,L 24-31,,,,,,
45,2011,2011-12-11,13,27.063,IND,@,BAL,L 10-24,,,,,,
46,2011,2011-12-18,14,27.070,IND,,TEN,W 27-13,,,,,,
47,2011,2011-12-22,15,27.074,IND,,HOU,W 19-16,,,,,,
48,2011,2012-01-01,16,27.084,IND,@,JAX,L 13-19,,,,,,
